항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"2,846.5","3,030.2","2,955.3","2,951.5","3,552.4",20.4
유동자산,"1,388.4","1,289.7","1,202.7","1,124.2","1,165.3",3.6
재고자산,244.3,168.8,167.4,239.0,365.6,53.0
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,0.0,
상각후원가측정유가증권,,0.1,0.1,0.1,0.0,-82.4
상각후원가측정금융자산,,,,,,
단기금융자산,171.5,107.2,103.0,121.5,51.0,-58.0
매출채권및기타채권,893.9,770.7,608.6,542.8,430.7,-20.6
당기법인세자산(선급법인세),,,,8.9,1.3,-85.0
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,38.7,107.4,47.4,46.4,62.3,34.2
현금및현금성자산,40.0,135.3,276.3,165.7,254.4,53.6
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,458.1","1,740.6","1,752.6","1,827.3","2,387.1",30.6
유형자산,621.0,760.1,735.8,660.4,608.0,-7.9
무형자산,0.7,0.7,0.7,0.7,0.7,-0.3
비유동생물자산,,,,,,
투자부동산,41.3,41.3,41.3,35.6,29.8,-16.3
투자자산,791.4,933.9,968.6,"1,122.3","1,740.8",55.1
장기매출채권및기타채권,3.7,4.7,6.0,8.2,7.8,-5.7
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,0.2,0.1,0.1,-52.5
기타금융업자산,,,,,,
*순자산1,"1,478.1","1,687.2","1,791.0","1,895.4","2,359.3",24.5
*순자산2,"1,477.4","1,686.5","1,790.3","1,894.8","2,358.7",24.5
부채총계,"1,368.4","1,343.0","1,164.3","1,056.1","1,193.1",13.0
유동부채,"1,064.8",908.9,730.2,636.5,693.4,8.9
단기사채,,,,,,
단기차입금,529.6,363.8,227.6,213.5,118.0,-44.7
유동성장기부채,,,16.0,25.0,28.4,13.6
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,1.1,,,1.5,0.6,-58.8
매입채무및기타채무,505.1,474.6,421.1,351.5,373.8,6.3
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),25.0,4.1,7.2,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,4.0,66.5,58.3,45.0,172.5,283.3
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,303.6,434.1,434.1,419.5,499.7,19.1
사채,,,,,,
장기차입금,,100.0,111.3,86.3,73.9,-14.3
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,1.0,1.0,0.6,-40.9
장기매입채무및기타채무,,,,,,
비유동종업원급여충당부채,218.0,221.0,203.0,188.9,184.2,-2.5
장기충당부채,0.9,2.3,2.9,2.7,2.1,-25.2
이연법인세부채,74.7,97.8,106.0,130.3,225.9,73.4
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,9.9,13.0,10.0,10.3,13.0,26.6
기타금융업부채,,,,,,
*이자발생부채,529.6,463.8,355.9,327.3,221.6,-32.3
*순부채,482.8,324.7,73.2,136.2,-83.6,-161.4
*CAPEX,34.6,199.1,30.3,25.7,23.8,-7.4
자본총계,"1,478.1","1,687.2","1,791.0","1,895.4","2,359.3",24.5
지배주주지분,"1,478.1","1,687.2","1,791.0","1,895.4","2,359.3",24.5
자본금,552.4,552.4,552.4,552.4,552.4,0.0
신종자본증권,,,,,,
자본잉여금,43.7,43.7,43.7,43.7,43.7,0.0
기타자본,,,,,,
기타포괄이익누계액,46.0,5.2,-31.5,-33.0,-8.1,75.4
이익잉여금,835.9,"1,085.9","1,226.4","1,332.4","1,771.3",32.9
*(지배)당기순이익,217.4,252.2,144.8,105.4,416.9,295.6
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"220,000","220,000","220,000","220,000","400,000",82
1주당금액,500,500,500,500,500,0
발행주식수,"110,487","110,487","110,487","110,487","110,487",0
보통주,"110,179","110,179","110,179","110,179","110,179",0
우선주,308,308,308,308,308,0
