항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,전년대비
자산총계,353.1,350.1,434.0,448.0,480.9,7.3
유동자산,65.7,71.3,82.7,98.2,124.2,26.5
재고자산,13.8,17.1,17.9,27.0,25.6,-5.1
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,5.0,
단기금융자산,,,0.0,,,
매출채권및기타채권,47.6,50.9,58.7,64.6,86.6,34.1
당기법인세자산(선급법인세),0.1,,0.0,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,2.7,2.6,2.8,2.5,2.5,-0.1
현금및현금성자산,1.5,0.7,3.4,4.2,4.5,8.9
매각예정비유동자산및처분자산,,,,,,
비유동자산,287.5,278.7,351.2,349.8,356.7,2.0
유형자산,281.9,273.3,345.7,344.2,341.9,-0.7
무형자산,,,,,0.0,
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,0.2,0.1,,,,
장기매출채권및기타채권,,,,,,
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,5.3,5.3,5.6,5.6,14.8,164.2
기타금융업자산,,,,,,
*순자산1,182.0,190.3,265.8,269.1,294.7,9.5
*순자산2,182.0,190.3,265.8,269.1,294.7,9.5
부채총계,171.2,159.8,168.1,178.8,186.2,4.1
유동부채,141.6,129.7,73.4,81.9,98.3,20.0
단기사채,,,,,,
단기차입금,36.6,24.8,28.0,28.5,21.0,-26.3
유동성장기부채,,,,,5.1,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,2.8,1.4,3.7,169.2
매입채무및기타채무,35.1,34.5,36.7,48.9,61.4,25.4
유동종업원급여충당부채,,,,,,
단기충당부채,69.9,69.9,,,,
당기법인세부채(미지급법인세),,0.5,6.0,3.0,7.1,137.6
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,0.0,0.0,0.0,0.1,0.1,-53.9
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,29.6,30.1,94.7,96.9,87.9,-9.3
사채,,,,,,
장기차입금,,,50.0,52.0,46.9,-9.8
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,0.3,2.3,1.9,-16.7
장기매입채무및기타채무,,,,,,
비유동종업원급여충당부채,5.9,7.1,7.7,7.7,5.2,-32.2
장기충당부채,,,,,,
이연법인세부채,23.7,23.0,36.7,34.9,33.8,-3.1
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,36.6,24.8,81.1,84.2,78.6,-6.6
*순부채,35.2,24.1,77.6,80.0,69.1,-13.7
*CAPEX,2.5,3.0,81.7,12.7,12.0,-5.8
자본총계,182.0,190.3,265.8,269.1,294.7,9.5
지배주주지분,182.0,190.3,265.8,269.1,294.7,9.5
자본금,50.0,50.0,50.0,50.0,50.0,0.0
신종자본증권,,,,,,
자본잉여금,24.3,24.3,24.3,24.3,24.3,0.0
기타자본,,,,,,
기타포괄이익누계액,,,,,,
이익잉여금,107.7,116.0,191.5,194.8,220.4,13.1
*(지배)당기순이익,5.4,9.6,75.5,16.1,38.0,135.8
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"15,000","15,000","15,000","15,000","15,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"10,000","10,000","10,000","10,000","10,000",0
보통주,"10,000","10,000","10,000","10,000","10,000",0
우선주,,,,,,
