항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"1,952.7","1,890.7","1,868.2","1,768.4","2,116.9",19.7
유동자산,744.4,774.3,814.6,821.1,"1,034.5",26.0
재고자산,176.8,248.5,238.9,186.9,352.1,88.5
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,46.2,29.2,15.7,16.4,4.9
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,0.0,89.0,118.2,10.0,10.0,-0.2
매출채권및기타채권,385.7,321.1,322.7,335.6,432.2,28.8
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,0.7,0.5,,,
기타유동자산,20.9,18.7,21.7,12.8,27.6,116.1
현금및현금성자산,161.0,50.2,83.3,260.2,196.2,-24.6
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,208.3","1,116.5","1,053.6",947.3,"1,082.4",14.3
유형자산,"1,132.8","1,048.0",970.3,854.8,798.8,-6.6
무형자산,57.6,53.6,49.7,40.3,25.2,-37.5
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,0.1,0.1,5.1,23.1,239.1,935.5
장기매출채권및기타채권,17.8,14.7,8.6,,,
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,19.9,29.1,19.3,-33.8
기타금융업자산,,,,,,
*순자산1,"1,097.4","1,072.4","1,084.9","1,132.4","1,233.9",9.0
*순자산2,"1,039.8","1,018.8","1,035.2","1,092.1","1,208.7",10.7
부채총계,855.3,818.3,783.2,636.0,883.0,38.8
유동부채,755.8,714.7,661.0,516.1,778.1,50.8
단기사채,,,,,,
단기차입금,492.7,469.7,397.1,242.3,380.2,56.9
유동성장기부채,,,5.2,6.3,8.8,40.5
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,0.1,,,,,
매입채무및기타채무,255.1,242.7,242.0,243.8,325.7,33.6
유동종업원급여충당부채,2.1,2.1,3.4,3.2,5.3,67.7
단기충당부채,,,,,,
당기법인세부채(미지급법인세),0.0,0.2,13.3,20.1,57.7,187.2
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,5.9,,,,,
기타유동부채,,,,0.5,0.5,0.0
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,99.4,103.7,122.2,120.0,104.8,-12.6
사채,,,,,,
장기차입금,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,2.9,6.0,23.4,22.3,13.7,-38.7
장기매입채무및기타채무,,,,,,
비유동종업원급여충당부채,24.0,24.0,31.4,32.9,37.9,15.1
장기충당부채,,,,,,
이연법인세부채,72.6,73.6,67.3,64.8,53.3,-17.8
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,492.7,469.7,417.2,263.4,395.4,50.1
*순부채,331.7,284.3,206.9,-22.5,172.8,869.3
*CAPEX,68.3,63.2,60.5,33.8,89.2,163.5
자본총계,"1,097.4","1,072.4","1,084.9","1,132.4","1,233.9",9.0
지배주주지분,"1,097.4","1,072.4","1,084.9","1,132.4","1,233.9",9.0
자본금,100.0,100.0,120.0,120.0,120.0,0.0
신종자본증권,,,,,,
자본잉여금,229.7,229.7,209.7,210.7,210.7,0.0
기타자본,,-18.5,-18.6,-27.5,-27.5,0.0
기타포괄이익누계액,,,,,-0.0,
이익잉여금,767.7,761.2,773.8,829.2,930.8,12.3
*(지배)당기순이익,25.2,25.1,55.8,103.4,159.3,54.0
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"40,000","40,000","40,000","40,000","40,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"20,000","20,000","24,000","24,000","24,000",0
보통주,"20,000","20,000","24,000","24,000","24,000",0
우선주,,,,,,
