항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,634.4,"1,121.6","1,580.8","2,295.3","2,547.3","2,818.5",11.0,10.7
유동자산,150.7,274.8,405.6,775.1,796.2,888.0,2.7,11.5
재고자산,23.4,33.1,61.5,133.4,137.2,,2.9,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,,,15.0,15.2,,1.1,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,18.8,114.7,57.5,235.6,47.1,,-80.0,
매출채권및기타채권,24.9,18.8,19.6,32.3,105.3,,226.6,
당기법인세자산(선급법인세),,0.0,,0.0,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,11.0,9.8,9.8,17.9,12.8,,-28.2,
현금및현금성자산,72.7,98.4,257.2,340.9,478.5,,40.3,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,483.7,846.9,"1,175.2","1,520.2","1,751.1",,15.2,
유형자산,320.7,780.9,"1,045.4","1,383.1","1,595.3",,15.3,
무형자산,34.5,26.5,21.5,31.1,30.6,,-1.3,
비유동생물자산,,,,,,,,
투자부동산,,3.4,3.3,3.3,3.2,,-1.9,
투자자산,101.1,29.6,24.8,27.2,29.0,,6.7,
장기매출채권및기타채권,27.4,,,,,,,
이연법인세자산,,6.1,19.8,18.4,12.8,,-30.6,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,,0.4,60.4,57.2,80.2,,40.1,
기타금융업자산,,,,,,,,
*순자산1,281.1,548.6,802.5,"1,535.2","1,798.1",,17.1,
*순자산2,246.6,522.0,781.0,"1,504.2","1,767.4",,17.5,
부채총계,353.3,573.1,778.4,760.1,749.2,745.0,-1.4,-0.6
유동부채,317.6,343.7,476.3,484.1,579.2,531.5,19.6,-8.2
단기사채,,,,,,,,
단기차입금,76.0,68.0,43.0,38.0,38.0,,0.0,
유동성장기부채,30.1,31.3,62.8,41.6,101.4,,143.7,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,1.4,,25.0,44.1,58.9,,33.3,
매입채무및기타채무,172.1,202.6,245.4,264.7,278.4,,5.2,
유동종업원급여충당부채,,,,,,,,
단기충당부채,,,3.1,7.2,11.5,,60.0,
당기법인세부채(미지급법인세),22.6,22.6,61.0,54.0,55.4,,2.5,
계약부채,,1.2,4.1,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,15.4,18.1,31.9,34.5,35.7,,3.5,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,35.8,229.3,302.1,276.0,169.9,213.5,-38.4,25.6
사채,,,,,,,,
장기차입금,,205.0,213.1,184.9,87.3,,-52.8,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,,34.5,77.0,80.4,,4.4,
장기매입채무및기타채무,29.7,12.7,19.6,3.4,1.5,,-57.4,
비유동종업원급여충당부채,5.5,11.6,34.8,10.6,0.8,,-92.8,
장기충당부채,,,,,,,,
이연법인세부채,0.6,,,,,,,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,,,,,,,,
기타금융업부채,,,,,,,,
*이자발생부채,106.1,304.4,378.5,322.4,290.1,,-10.0,
*순부채,31.4,107.9,65.0,-269.0,-249.6,-299.5,7.2,-20.0
*CAPEX,123.8,206.4,286.1,412.8,266.6,268.0,-35.4,0.5
자본총계,281.1,548.6,802.5,"1,535.2","1,798.1","2,073.5",17.1,15.3
지배주주지분,281.1,548.6,802.5,"1,535.2","1,798.1","2,117.0",17.1,17.7
자본금,2.9,105.5,105.5,125.8,125.8,128.0,0.0,1.8
신종자본증권,,,,,,,,
자본잉여금,6.5,67.1,67.1,533.2,533.2,,0.0,
기타자본,-56.1,-56.1,-55.8,-45.5,-35.4,,22.2,
기타포괄이익누계액,-0.5,-3.2,-2.5,-3.8,-0.6,,84.7,
이익잉여금,328.2,435.2,688.1,925.5,"1,175.0",,27.0,
*(지배)당기순이익,35.7,114.6,295.2,238.4,298.5,,25.2,
비지배주주지분,,,,,,,,
*(비지배)당기순이익,,,,,,,,
수권주식수,"5,000","50,000","50,000","50,000","50,000",,0,
1주당금액,"10,000","10,000",500,500,500,,0,
발행주식수,20,"1,046","20,923","24,983","24,983",,0,
보통주,20,"1,046","20,923","24,983","24,983",,0,
우선주,,,,,,,,
