항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,777.6,801.8,872.8,940.4,918.9,-2.3
유동자산,270.1,293.7,355.6,420.0,395.0,-6.0
재고자산,118.5,110.8,123.4,124.3,147.3,18.5
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,10.0,10.0,10.0,50.0,30.9,-38.3
매출채권및기타채권,76.7,95.3,121.8,95.2,98.0,3.0
당기법인세자산(선급법인세),0.1,,0.2,,,
계약자산,,19.8,15.0,17.2,15.8,-7.9
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,13.3,4.7,5.3,5.0,3.7,-26.0
현금및현금성자산,51.5,53.0,79.8,128.4,99.3,-22.7
매각예정비유동자산및처분자산,,,,,,
비유동자산,507.5,508.1,517.2,520.4,523.9,0.7
유형자산,372.0,359.8,368.9,365.7,284.3,-22.3
무형자산,15.0,12.9,12.0,19.8,19.3,-2.6
비유동생물자산,,,,,,
투자부동산,92.7,114.1,114.1,115.8,201.7,74.1
투자자산,27.6,21.3,21.9,19.0,18.3,-3.7
장기매출채권및기타채권,,,,,,
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,0.3,0.0,0.2,0.0,0.3,838.0
기타금융업자산,,,,,,
*순자산1,507.2,510.4,519.4,522.2,522.5,0.1
*순자산2,492.2,497.6,507.4,502.3,503.2,0.2
부채총계,270.4,291.3,353.4,418.3,396.4,-5.2
유동부채,182.6,201.5,141.8,206.4,299.2,44.9
단기사채,,,,,,
단기차입금,117.3,117.3,32.3,32.3,32.2,-0.2
유동성장기부채,,,,,115.6,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,3.0,2.1,1.9,-10.0
매입채무및기타채무,56.8,66.0,82.1,76.7,78.0,1.7
유동종업원급여충당부채,,,,,,
단기충당부채,2.6,4.7,2.4,2.5,2.5,3.0
당기법인세부채(미지급법인세),,1.1,,1.9,2.0,7.3
계약부채,,9.7,20.2,90.0,63.0,-29.9
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,5.9,2.7,1.9,1.0,3.8,288.3
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,87.8,89.9,211.7,211.8,97.2,-54.1
사채,,,,,,
장기차입금,,,115.0,115.0,1.1,-99.0
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,4.0,4.0,5.6,40.6
장기매입채무및기타채무,6.5,9.1,7.0,4.4,1.7,-61.7
비유동종업원급여충당부채,17.4,14.3,16.0,15.5,14.7,-5.1
장기충당부채,19.2,22.1,25.3,28.6,29.8,4.1
이연법인세부채,44.7,44.4,44.4,44.4,44.3,-0.1
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,117.3,117.3,150.8,149.9,152.9,2.0
*순부채,55.8,54.3,61.0,-28.5,23.6,183.0
*CAPEX,3.9,10.5,3.4,6.9,10.9,57.5
자본총계,507.2,510.4,519.4,522.2,522.5,0.1
지배주주지분,507.2,510.4,519.4,522.2,522.5,0.1
자본금,387.3,387.3,387.3,387.3,387.3,0.0
신종자본증권,,,,,,
자본잉여금,,,,,,
기타자본,-3.6,-3.6,-3.6,-3.6,-3.6,0.0
기타포괄이익누계액,0.4,-2.8,-2.0,-3.3,-3.9,-17.1
이익잉여금,123.1,129.6,137.7,141.8,142.7,0.7
*(지배)당기순이익,1.7,4.1,9.1,6.3,-0.6,-109.7
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"120,000","120,000","120,000","120,000","120,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"77,457","77,457","77,457","77,457","77,457",0
보통주,"77,457","77,457","77,457","77,457","77,457",0
우선주,,,,,,
