항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"2,513.3","2,439.1","2,586.8","2,873.8","3,410.6",18.7
유동자산,473.6,383.1,513.7,574.4,901.6,57.0
재고자산,174.5,154.0,222.1,218.5,402.2,84.0
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,0.3,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,0.4,2.5,2.0,,5.4,
매출채권및기타채권,283.2,217.6,267.4,348.4,377.7,8.4
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,16.6,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,4.0,4.7,2.2,1.6,2.1,35.5
현금및현금성자산,11.5,4.0,20.0,6.0,24.5,311.1
매각예정비유동자산및처분자산,,,,,73.1,
비유동자산,"2,039.7","2,056.0","2,073.1","2,299.3","2,509.0",9.1
유형자산,"1,954.3","2,011.2","2,019.0","2,215.7","2,426.3",9.5
무형자산,9.4,7.1,5.6,4.2,5.5,32.6
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,71.3,31.4,29.8,33.7,38.2,13.3
장기매출채권및기타채권,,,,,,
이연법인세자산,,,5.2,7.6,3.2,-58.2
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,4.8,6.2,13.5,38.1,35.8,-6.0
기타금융업자산,,,,,,
*순자산1,981.2,"1,063.0","1,108.8","1,214.4","1,418.5",16.8
*순자산2,971.9,"1,055.8","1,103.2","1,210.2","1,413.0",16.8
부채총계,"1,532.1","1,376.1","1,477.9","1,659.4","1,992.0",20.1
유동부채,"1,069.8","1,033.3","1,272.3","1,458.5","1,686.3",15.6
단기사채,,,15.2,,,
단기차입금,725.9,647.5,821.4,"1,011.4","1,064.4",5.2
유동성장기부채,103.0,185.3,232.2,80.2,147.7,84.1
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,5.4,,5.3,11.9,8.7,-26.9
매입채무및기타채무,190.8,139.2,163.7,296.1,345.3,16.6
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,1.5,
당기법인세부채(미지급법인세),8.7,28.2,13.1,26.8,42.3,58.0
계약부채,,,,,68.8,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,36.1,33.0,21.3,32.1,7.7,-76.0
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,462.2,342.8,205.6,200.8,305.7,52.2
사채,182.2,,,,,
장기차입금,219.5,282.0,138.0,103.7,204.1,96.8
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,1.4,23.6,20.1,-14.7
장기매입채무및기타채무,0.5,0.8,0.8,0.4,0.4,0.0
비유동종업원급여충당부채,48.9,57.5,65.5,73.1,81.1,10.9
장기충당부채,,,,,,
이연법인세부채,11.1,2.6,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,"1,230.6","1,114.8","1,213.5","1,226.9","1,445.1",17.8
*순부채,"1,218.7","1,110.5","1,193.5","1,220.9","1,420.6",16.4
*CAPEX,468.2,193.1,167.8,293.4,415.4,41.5
자본총계,981.2,"1,063.0","1,108.8","1,214.4","1,418.5",16.8
지배주주지분,981.2,"1,063.0","1,108.8","1,214.4","1,418.5",16.8
자본금,142.1,143.0,143.0,143.0,143.0,0.0
신종자본증권,,,,,,
자본잉여금,87.9,85.6,83.3,83.3,83.3,0.0
기타자본,,,,,,
기타포괄이익누계액,67.9,66.7,65.0,63.5,-12.9,-120.3
이익잉여금,683.3,767.7,817.6,924.6,"1,205.1",30.3
*(지배)당기순이익,109.8,102.0,64.2,121.3,220.5,81.8
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"90,000","90,000","90,000","90,000","90,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"28,427","28,600","28,600","28,600","28,600",0
보통주,"28,427","28,600","28,600","28,600","28,600",0
우선주,,,,,,
