항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,956.6,978.1,"1,190.6","1,253.4","1,338.4",6.8
유동자산,375.8,358.5,387.7,399.9,540.8,35.2
재고자산,117.7,76.4,104.9,119.0,150.2,26.3
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,4.2,3.8,5.4,5.6,5.0,-11.0
매출채권및기타채권,175.0,168.8,215.4,187.7,294.1,56.6
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,6.4,18.4,9.5,11.0,25.5,130.9
현금및현금성자산,72.5,91.0,52.5,76.5,66.0,-13.8
매각예정비유동자산및처분자산,,,,,,
비유동자산,580.8,619.6,802.9,853.4,797.7,-6.5
유형자산,487.3,562.8,762.1,816.9,757.0,-7.3
무형자산,7.2,5.0,5.0,5.2,6.6,25.3
비유동생물자산,,,,,,
투자부동산,17.5,16.9,16.4,15.9,15.9,0.0
투자자산,66.8,34.1,18.6,14.7,17.7,19.9
장기매출채권및기타채권,2.1,0.7,0.8,0.6,0.5,-10.3
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,,,
기타금융업자산,,,,,,
*순자산1,833.3,898.4,"1,021.3","1,129.0","1,199.5",6.2
*순자산2,826.1,893.4,"1,016.3","1,123.8","1,193.0",6.2
부채총계,123.3,79.7,169.3,124.3,138.9,11.7
유동부채,71.8,19.8,103.2,53.7,54.0,0.5
단기사채,,,,,,
단기차입금,9.6,4.5,11.3,11.9,8.6,-27.5
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,,,,
매입채무및기타채무,40.7,9.1,72.6,24.8,26.4,6.4
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),20.0,4.0,15.5,6.5,12.2,86.6
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,1.5,2.2,3.8,10.6,6.9,-35.0
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,51.4,59.9,66.1,70.6,84.9,20.3
사채,,,,,,
장기차입금,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,,,,
장기매입채무및기타채무,14.3,14.3,14.3,14.3,14.3,0.0
비유동종업원급여충당부채,30.9,40.6,49.3,56.0,58.8,4.9
장기충당부채,,,,,,
이연법인세부채,6.3,5.1,2.6,0.3,11.9,"3,643.5"
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,9.6,4.5,11.3,11.9,8.6,-27.5
*순부채,-62.9,-86.5,-41.2,-64.7,-57.4,11.3
*CAPEX,162.0,131.2,254.1,159.5,57.7,-63.8
자본총계,833.3,898.4,"1,021.3","1,129.0","1,199.5",6.2
지배주주지분,833.3,898.4,"1,021.3","1,129.0","1,199.5",6.2
자본금,23.9,23.9,24.0,24.0,24.0,0.0
신종자본증권,,,,,,
자본잉여금,345.8,349.0,352.6,352.6,352.8,0.1
기타자본,-112.3,-112.0,-112.0,-102.8,-97.3,5.3
기타포괄이익누계액,11.0,7.4,,-0.5,0.2,137.5
이익잉여금,564.9,630.0,756.7,855.8,919.8,7.5
*(지배)당기순이익,135.8,73.7,135.1,137.8,113.5,-17.6
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"9,100","9,100","9,100","9,100","9,100",0
1주당금액,"1,000","1,000","1,000","1,000","1,000",0
발행주식수,"2,185","2,190","2,199","2,199","2,199",0
보통주,"2,185","2,190","2,199","2,199","2,199",0
우선주,,,,,,
