항목,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"138,694.6","137,996.6","150,786.7","147,418.0",9.3,-2.2
유동자산,"70,851.8","69,993.6","78,860.6","75,178.0",12.7,-4.7
재고자산,"8,165.0","7,789.9","8,986.7",,15.4,
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,"3,810.0",,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,"2,747.4","7,177.1","2,622.8",,-63.5,
매출채권및기타채권,"13,152.7","8,882.1","10,292.9",,15.9,
당기법인세자산(선급법인세),34.7,31.9,24.5,,-23.3,
계약자산,"25,481.3","26,249.7","28,367.1",,8.1,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,"7,474.1","6,714.8","7,145.6",,6.4,
현금및현금성자산,"9,936.3","13,148.2","21,373.9",,62.6,
매각예정비유동자산및처분자산,50.4,,47.2,,,
비유동자산,"67,842.7","68,003.0","71,926.1",,5.8,
유형자산,"60,975.4","60,203.1","59,862.5",,-0.6,
무형자산,582.4,649.6,794.6,,22.3,
비유동생물자산,,,,,,
투자부동산,44.5,43.1,41.1,,-4.6,
투자자산,"1,056.5",796.9,"2,018.6",,153.3,
장기매출채권및기타채권,458.3,522.9,382.4,,-26.9,
이연법인세자산,"4,631.2","5,323.9","8,376.6",,57.3,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,94.4,463.5,450.3,,-2.9,
기타금융업자산,,,,,,
*순자산1,"56,229.1","53,607.8","55,940.2",,4.3,
*순자산2,"55,646.6","52,958.2","55,145.7",,4.1,
부채총계,"82,465.5","84,388.7","94,846.5","91,652.7",12.4,-3.4
유동부채,"59,142.6","59,769.2","70,486.1","65,846.7",17.9,-6.6
단기사채,,,,,,
단기차입금,"17,204.5","7,618.0","6,615.4",,-13.2,
유동성장기부채,"3,000.0","17,454.7","8,452.3",,-51.6,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,"1,277.2","1,311.4","1,601.5",,22.1,
매입채무및기타채무,"16,795.9","16,456.5","17,459.3",,6.1,
유동종업원급여충당부채,,,,,,
단기충당부채,"3,839.7","2,836.7","10,279.9",,262.4,
당기법인세부채(미지급법인세),,,,,,
계약부채,"17,016.7","14,092.0","26,077.7",,85.0,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,8.7,,,,,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,"23,322.9","24,619.5","24,360.4","25,806.0",-1.1,5.9
사채,"3,717.8","2,522.3","5,362.9",,112.6,
장기차입금,"15,101.7","17,871.9","14,227.0",,-20.4,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,890.5,997.2,"1,632.2",,63.7,
장기매입채무및기타채무,2.2,2.1,2.5,,17.5,
비유동종업원급여충당부채,717.3,363.3,332.0,,-8.6,
장기충당부채,"2,780.4","2,752.1","2,695.6",,-2.0,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,113.2,110.7,108.2,,-2.3,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,"39,110.5","45,630.3","34,845.6",,-23.6,
*순부채,"23,482.5","26,940.1","11,961.7","10,997.5",-55.6,-8.1
*CAPEX,"1,594.0","2,262.5","2,439.7",958.3,7.8,-60.7
자본총계,"56,229.1","53,607.8","55,940.2","55,765.3",4.3,-0.3
지배주주지분,"56,229.1","53,607.8","55,940.2","55,895.0",4.3,-0.1
자본금,"3,538.7","3,538.7","4,438.7","4,439.7",25.4,0.0
신종자본증권,,,,,,
자본잉여금,"46,399.4","46,399.4","31,183.6",,-32.8,
기타자본,-14.1,-14.1,-14.1,,0.0,
기타포괄이익누계액,"7,354.3","8,734.7","8,814.9",,0.9,
이익잉여금,"-1,049.2","-5,050.9","11,517.2",,328.0,
*(지배)당기순이익,-889.5,"-4,314.5","-8,142.3",,-88.7,
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"160,000","160,000","160,000",,0,
1주당금액,"5,000","5,000","5,000",,0,
발행주식수,"70,773","70,773","88,773",,25,
보통주,"70,773","70,773","88,773",,25,
우선주,,,,,,
