항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,618.9,591.2,632.7,697.4,958.1,37.4
유동자산,258.5,325.3,346.5,429.4,665.2,54.9
재고자산,54.4,53.8,82.3,63.4,168.9,166.5
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,3.4,20.6,21.2,50.3,100.5,99.7
매출채권및기타채권,65.9,60.7,71.8,102.7,126.2,22.8
당기법인세자산(선급법인세),0.2,0.2,0.3,0.2,0.2,-2.8
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,4.5,4.1,3.9,3.4,7.4,117.5
현금및현금성자산,130.2,185.9,167.0,209.4,262.1,25.2
매각예정비유동자산및처분자산,,,,,,
비유동자산,360.4,265.8,286.1,268.0,292.9,9.3
유형자산,146.0,181.3,178.0,168.4,191.6,13.8
무형자산,203.7,67.3,70.6,63.0,62.4,-1.1
비유동생물자산,,,,,,
투자부동산,1.1,1.1,0.4,0.4,0.4,0.0
투자자산,0.5,0.0,0.0,0.0,0.0,0.0
장기매출채권및기타채권,,,,,,
이연법인세자산,,,20.4,20.4,20.4,0.0
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,9.2,16.2,16.7,15.7,18.1,14.8
기타금융업자산,,,,,,
*순자산1,541.3,474.9,515.2,571.1,653.5,14.4
*순자산2,337.7,407.6,444.6,508.0,591.2,16.4
부채총계,77.6,116.3,117.5,126.4,304.6,141.0
유동부채,23.8,33.2,55.3,65.1,249.4,283.3
단기사채,,,,,170.5,
단기차입금,,,,,,
유동성장기부채,,,30.0,30.0,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,0.3,0.3,46.9,"15,190.1"
매입채무및기타채무,17.9,22.9,15.7,28.2,25.3,-10.6
유동종업원급여충당부채,1.9,2.8,3.1,2.6,3.5,36.3
단기충당부채,,,,,,
당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,3.9,7.5,6.1,4.0,3.3,-15.9
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,53.8,83.1,62.2,61.3,55.2,-10.0
사채,,,,,,
장기차입금,4.0,30.0,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,0.5,0.4,0.8,141.9
장기매입채무및기타채무,0.0,0.0,0.0,0.0,0.0,-0.3
비유동종업원급여충당부채,42.3,46.0,55.2,55.3,49.6,-10.3
장기충당부채,0.0,0.0,0.0,0.0,0.0,-0.0
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,7.5,7.0,6.5,5.6,4.6,-16.4
기타금융업부채,,,,,,
*이자발생부채,4.0,30.0,30.8,30.7,172.5,462.6
*순부채,-127.6,-176.1,-157.2,-228.8,-190.0,17.0
*CAPEX,37.9,46.6,11.2,5.6,43.0,669.6
자본총계,541.3,474.9,515.2,571.1,653.5,14.4
지배주주지분,541.3,474.9,515.2,571.1,653.5,14.4
자본금,292.0,299.8,299.8,299.8,299.8,0.0
신종자본증권,,,,,,
자본잉여금,"1,798.9","1,883.4","1,884.1","1,884.1","1,884.1",0.0
기타자본,28.9,-0.4,-1.1,-1.1,-1.1,0.0
기타포괄이익누계액,,,,,,
이익잉여금,"-1,578.6","-1,707.9","-1,667.6","-1,611.7","-1,529.3",5.1
*(지배)당기순이익,-219.6,-126.8,43.5,52.4,95.1,81.5
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"500,000","500,000","500,000","500,000","500,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"58,408","59,959","59,959","59,959","59,959",0
보통주,"58,408","59,959","59,959","59,959","59,959",0
우선주,,,,,,
