항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,966.1,"1,022.4","1,592.6","14,616.5","30,051.3","36,841.3",105.6,22.6
유동자산,453.9,539.9,"1,001.9","12,892.6","25,779.8","31,704.0",100.0,23.0
재고자산,172.3,204.3,301.3,"3,663.6","3,244.4",,-11.4,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,,,950.1,"6,903.1",,626.5,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,254.5,,,,
단기금융자산,,,,"1,115.6","3,834.2",,243.7,
매출채권및기타채권,217.4,305.2,293.0,"3,805.4","2,159.4",,-43.3,
당기법인세자산(선급법인세),0.0,0.0,,5.8,,,,
계약자산,,,,0.9,0.4,,-58.3,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,6.5,8.3,11.6,664.5,822.3,,23.8,
현금및현금성자산,57.8,22.0,396.1,"2,432.2","8,815.9",,262.5,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,512.1,482.5,590.6,"1,723.9","4,271.5",,147.8,
유형자산,405.1,387.7,409.0,"1,152.5","2,071.3",,79.7,
무형자산,32.9,29.1,24.8,55.2,380.4,,589.5,
비유동생물자산,,,,,,,,
투자부동산,,,,,922.2,,,
투자자산,39.8,34.8,89.1,300.6,715.0,,137.8,
장기매출채권및기타채권,0.7,1.0,33.5,,2.2,,,
이연법인세자산,30.3,29.9,34.1,215.6,180.3,,-16.4,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,3.3,,,,,,,
기타금융업자산,,,,,,,,
*순자산1,774.4,803.8,"1,316.3","7,575.5","22,034.0",,190.9,
*순자산2,741.4,774.7,"1,291.4","7,520.3","21,653.6",,187.9,
부채총계,191.7,218.6,276.3,"7,041.0","8,017.2","6,133.7",13.9,-23.5
유동부채,169.1,218.6,255.9,"6,894.0","7,798.7","5,955.7",13.1,-23.6
단기사채,,,,,,,,
단기차입금,90.0,110.0,110.0,16.9,,,,
유동성장기부채,,,,,,,,
당기손익-공정가치측정금융부채,,,,,"1,707.0",,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,,,42.7,65.9,,54.4,
매입채무및기타채무,76.8,102.4,133.5,"4,692.0","1,702.2",,-63.7,
유동종업원급여충당부채,,,,5.4,,,,
단기충당부채,,,,,,,,
당기법인세부채(미지급법인세),,,0.7,"1,122.5","3,519.8",,213.6,
계약부채,,,,"1,014.5",789.3,,-22.2,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,2.3,6.2,11.7,,14.5,,,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,22.5,,20.4,147.0,218.5,178.3,48.7,-18.4
사채,,,,,,,,
장기차입금,20.0,,20.4,,2.7,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,,,145.4,181.0,,24.5,
장기매입채무및기타채무,,,,0.1,28.4,,"35,727.0",
비유동종업원급여충당부채,,,,1.5,3.1,,103.3,
장기충당부채,,,,,3.3,,,
이연법인세부채,,,,,,,,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,2.5,,,,,,,
기타금융업부채,,,,,,,,
*이자발생부채,110.0,110.0,130.4,205.0,"1,956.7",,854.6,
*순부채,52.2,88.0,-265.7,"-4,438.7","-16,998.3","-26,479.0",-283.0,-55.8
*CAPEX,34.1,22.3,60.8,549.0,973.1,"1,609.3",77.2,65.4
자본총계,774.4,803.8,"1,316.3","7,575.5","22,034.0","30,704.3",190.9,39.4
지배주주지분,774.4,803.8,"1,316.3","7,480.2","21,905.4","30,575.3",192.8,39.6
자본금,43.3,43.3,51.8,466.6,516.4,518.7,10.7,0.5
신종자본증권,,,,,,,,
자본잉여금,702.5,702.5,"1,187.5",770.7,"5,795.6",,652.0,
기타자본,,,,22.2,-815.5,,"-3,768.4",
기타포괄이익누계액,-4.5,-5.5,-0.5,-30.1,10.0,,133.2,
이익잉여금,33.1,63.4,77.4,"6,250.8","16,398.9",,162.3,
*(지배)당기순이익,-33.0,30.3,14.0,"6,156.4","10,647.8",,73.0,
비지배주주지분,,,,95.3,128.6,,34.9,
*(비지배)당기순이익,,,,59.8,-3.5,,-105.8,
수권주식수,"20,000","20,000","20,000","300,000","300,000",,0,
1주당금액,500,500,500,500,500,,0,
발행주식수,"8,659","8,659","10,370","93,318","103,271",,11,
보통주,"8,659","8,659","10,370","93,318","103,271",,11,
우선주,,,,,,,,
