항목,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"3,873.3","5,246.3","12,079.8","34,327.1","33,511.0",184.2,-2.4
유동자산,"3,695.0","4,753.0","6,443.0","22,920.3","23,450.3",255.7,2.3
재고자산,,,,,,,
유동생물자산,,,,,,,
당기손익-공정가치측정금융자산,,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,
상각후원가측정유가증권,,,,,,,
상각후원가측정금융자산,,,,,,,
단기금융자산,618.4,344.6,"1,908.3","11,242.5",,489.1,
매출채권및기타채권,451.9,504.1,820.3,"1,151.0",,40.3,
당기법인세자산(선급법인세),4.2,6.1,3.8,23.3,,508.7,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타유동자산,6.7,111.3,29.1,41.3,,41.9,
현금및현금성자산,"2,613.7","3,786.9","3,681.6","10,462.2",,184.2,
매각예정비유동자산및처분자산,,,,,,,
비유동자산,178.4,493.3,600.3,"1,744.6",,190.6,
유형자산,43.4,77.4,94.8,173.5,,83.0,
무형자산,34.5,63.4,102.1,174.9,,71.2,
비유동생물자산,,,,,,,
투자부동산,,,,,,,
투자자산,100.5,167.1,98.1,187.8,,91.4,
장기매출채권및기타채권,,,,,,,
이연법인세자산,,,,,,,
장기당기법인세자산,,,,,,,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타비유동자산,,185.4,305.2,"1,208.4",,295.9,
기타금융업자산,,,"5,036.5","9,662.2",,91.8,
*순자산1,"1,108.7",466.1,"2,041.4","17,956.4",,779.6,
*순자산2,"1,074.2",402.7,"1,939.2","17,781.5",,817.0,
부채총계,"2,764.6","4,780.1","10,038.5","16,370.7","20,211.3",63.1,23.5
유동부채,"2,715.0","4,571.3","5,489.8","8,444.4","9,779.7",53.8,15.8
단기사채,,,,,,,
단기차입금,1.9,,,,,,
유동성장기부채,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
유동금융부채,,29.4,58.3,120.2,,106.4,
매입채무및기타채무,"2,691.1","4,463.2","5,342.7","8,116.5",,51.9,
유동종업원급여충당부채,16.4,70.5,62.1,109.3,,76.0,
단기충당부채,,,1.2,6.7,,460.2,
당기법인세부채(미지급법인세),,,,,,,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타유동부채,5.6,8.2,25.6,91.7,,258.6,
매각예정으로분류된처분자산에포함된부채,,,,,,,
비유동부채,49.6,208.8,242.0,"1,181.5","2,372.0",388.3,100.8
사채,,,,,,,
장기차입금,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
비유동금융부채,,164.3,164.6,"1,065.8",,547.3,
장기매입채무및기타채무,21.4,,,4.1,,,
비유동종업원급여충당부채,24.8,33.8,56.0,88.1,,57.3,
장기충당부채,3.4,,,22.3,,,
이연법인세부채,,,1.5,1.2,,-20.5,
장기당기법인세부채(미지급법인세),,,,,,,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타비유동부채,,10.7,19.8,,,,
기타금융업부채,,,"4,306.7","6,744.8",,56.6,
*이자발생부채,1.9,193.7,202.9,"1,186.0",,484.5,
*순부채,"-3,025.3","-3,823.7","-5,382.3","-20,505.8","-17,931.5",-281.0,12.6
*CAPEX,33.0,57.1,48.8,183.5,200.0,275.9,9.0
자본총계,"1,108.7",466.1,"2,041.4","17,956.4","17,995.3",779.6,0.2
지배주주지분,"1,109.2",465.7,"1,822.5","16,932.5","17,019.0",829.1,0.5
자본금,94.9,94.9,111.1,659.4,659.5,493.3,0.0
신종자본증권,,,,,,,
자본잉여금,"2,203.7","2,203.7","3,751.0","18,444.5",,391.7,
기타자본,,8.2,31.5,134.2,,326.1,
기타포괄이익누계액,-0.5,-2.6,-25.7,-25.2,,2.1,
이익잉여금,"-1,188.9","-1,838.5","-2,045.5","-2,280.5",,-11.5,
*(지배)당기순이익,-934.8,-649.6,-205.6,-229.3,,-11.5,
비지배주주지분,-0.5,0.4,218.9,"1,023.9",,367.8,
*(비지배)당기순이익,,-0.5,-44.9,-109.3,,-143.6,
수권주식수,"50,000","50,000","50,000","400,000",,700,
1주당금액,500,500,500,500,,0,
발행주식수,"18,988","18,988","22,229","131,883",,493,
보통주,"18,988","18,988","22,229","131,883",,493,
우선주,,,,,,,
