항목,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
자산총계,"10,541.2","10,288.0","10,520.5","12,281.9","13,463.3",16.7,9.6
유동자산,"4,796.6","4,693.8","4,873.8","6,813.8","7,899.7",39.8,15.9
재고자산,"2,030.3","1,847.5","1,729.0","2,423.3",,40.2,
유동생물자산,,,,,,,
당기손익-공정가치측정금융자산,214.1,173.3,417.8,650.3,,55.7,
기타포괄손익-공정가치측정금융자산,,,,,,,
상각후원가측정유가증권,,,,,,,
상각후원가측정금융자산,39.6,60.0,53.5,60.5,,13.1,
단기금융자산,4.8,3.5,4.0,4.6,,14.7,
매출채권및기타채권,"2,470.7","2,535.8","2,319.0","2,592.1",,11.8,
당기법인세자산(선급법인세),,,,,,,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타유동자산,8.0,9.0,0.5,0.2,,-65.1,
현금및현금성자산,29.1,64.6,350.0,"1,082.8",,209.4,
매각예정비유동자산및처분자산,,,,,,,
비유동자산,"5,744.6","5,594.2","5,646.8","5,468.1",,-3.2,
유형자산,"5,554.2","5,391.5","5,369.4","5,186.1",,-3.4,
무형자산,76.8,72.5,67.1,66.0,,-1.6,
비유동생물자산,,,,,,,
투자부동산,34.8,34.0,33.1,32.3,,-2.4,
투자자산,22.4,43.1,54.8,77.8,,41.8,
장기매출채권및기타채권,56.3,53.1,49.1,48.6,,-1.1,
이연법인세자산,,,,,,,
장기당기법인세자산,,,,,,,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타비유동자산,,,73.2,57.4,,-21.7,
기타금융업자산,,,,,,,
*순자산1,"5,534.5","5,712.0","5,952.5","6,795.9",,14.2,
*순자산2,"5,457.7","5,639.5","5,885.5","6,729.9",,14.3,
부채총계,"5,006.7","4,576.0","4,568.0","5,486.0","5,527.7",20.1,0.8
유동부채,"3,293.3","2,515.3","2,258.5","3,319.8","3,458.0",47.0,4.2
단기사채,,,,,,,
단기차입금,"1,048.2",226.7,450.9,576.3,,27.8,
유동성장기부채,626.6,638.3,322.3,920.4,,185.6,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
유동금융부채,1.3,0.0,,,,,
매입채무및기타채무,"1,572.4","1,387.3","1,395.7","1,488.6",,6.7,
유동종업원급여충당부채,,,,,,,
단기충당부채,,,,,,,
당기법인세부채(미지급법인세),26.2,169.3,87.8,301.7,,243.6,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타유동부채,18.6,93.7,1.8,32.7,,"1,705.9",
매각예정으로분류된처분자산에포함된부채,,,,,,,
비유동부채,"1,713.3","2,060.7","2,309.5","2,166.2","2,066.7",-6.2,-4.6
사채,599.0,898.0,"1,497.2","1,397.2",,-6.7,
장기차입금,319.6,330.2,9.1,8.7,,-4.0,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
비유동금융부채,86.4,79.1,61.5,55.1,,-10.4,
장기매입채무및기타채무,20.6,21.6,22.3,26.4,,18.3,
비유동종업원급여충당부채,8.3,65.2,73.2,60.9,,-16.8,
장기충당부채,,,,,,,
이연법인세부채,678.0,665.1,643.8,614.0,,-4.6,
장기당기법인세부채(미지급법인세),,,,,,,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타비유동부채,1.5,1.5,2.5,3.9,,57.9,
기타금융업부채,,,,,,,
*이자발생부채,"2,679.8","2,172.3","2,340.9","2,957.7",,26.4,
*순부채,"2,397.0","1,874.4","1,519.7","1,164.2",352.3,-23.4,-69.7
*CAPEX,29.9,63.7,259.4,179.2,355.0,-30.9,98.1
자본총계,"5,534.5","5,712.0","5,952.5","6,795.9","7,935.7",14.2,16.8
지배주주지분,"5,534.5","5,712.0","5,952.5","6,795.9","7,935.7",14.2,16.8
자본금,141.8,141.8,141.8,141.8,140.7,0.0,-0.8
신종자본증권,,,,,,,
자본잉여금,"5,301.8","5,301.8","5,301.8","5,301.8",,0.0,
기타자본,-2.6,,-24.9,-24.9,,0.0,
기타포괄이익누계액,,,,,,,
이익잉여금,93.5,268.4,533.8,"1,377.3",,158.0,
*(지배)당기순이익,70.3,248.5,330.6,914.0,,176.5,
비지배주주지분,,,,,,,
*(비지배)당기순이익,,,,,,,
수권주식수,"12,000","12,000","12,000","12,000",,0,
1주당금액,"5,000","5,000","5,000","5,000",,0,
발행주식수,"2,836","2,836","2,836","2,836",,0,
보통주,"2,836","2,836","2,836","2,836",,0,
우선주,,,,,,,
