항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)",2019/12,2020/12,2021/12,전년대비
자산총계,911.8,985.6,"2,464.3","2,515.9","2,855.9",13.5
유동자산,355.5,330.1,"1,008.9","1,119.8","1,485.5",32.6
재고자산,,,3.0,6.2,6.9,11.6
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,100.2,108.9,16.7,-84.7
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,24.0,117.0,243.3,357.3,749.1,109.7
매출채권및기타채권,33.9,17.9,213.6,180.8,180.8,-0.0
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,141.2,182.8,293.4,292.3,328.5,12.4
현금및현금성자산,156.4,12.4,155.4,174.3,203.4,16.8
매각예정비유동자산및처분자산,,,,,,
비유동자산,556.3,655.5,"1,455.5","1,396.1","1,370.4",-1.8
유형자산,36.3,26.3,173.7,193.0,359.2,86.1
무형자산,6.3,8.0,40.4,53.2,66.9,25.8
비유동생물자산,,,,,,
투자부동산,,,244.9,247.7,123.5,-50.1
투자자산,424.8,514.3,760.0,775.8,704.2,-9.2
장기매출채권및기타채권,74.8,70.1,,,,
이연법인세자산,14.1,13.5,133.6,14.9,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,23.4,102.8,111.4,116.6,4.6
기타금융업자산,,,,,,
*순자산1,561.3,705.4,703.6,"1,121.7","1,276.0",13.8
*순자산2,555.0,697.4,663.2,"1,068.5","1,209.1",13.2
부채총계,350.5,280.2,"1,760.7","1,394.2","1,579.9",13.3
유동부채,123.6,251.2,644.6,637.7,782.3,22.7
단기사채,,104.7,,,162.7,
단기차입금,,,30.0,20.0,20.0,0.0
유동성장기부채,,,3.7,3.7,6.1,65.9
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,84.4,72.4,100.0,38.1
매입채무및기타채무,54.1,65.2,223.6,209.3,212.6,1.6
유동종업원급여충당부채,,,,,,
단기충당부채,,,,14.5,14.0,-3.3
당기법인세부채(미지급법인세),15.2,24.4,49.4,43.3,20.8,-52.1
계약부채,,,,,,
반품(환불)부채,,,44.4,34.3,24.0,-30.1
배출부채,,,,,,
기타유동부채,54.2,56.9,209.1,240.2,222.2,-7.5
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,226.9,29.1,"1,116.2",756.5,797.6,5.4
사채,202.0,,156.7,148.1,,
장기차입금,,3.9,6.8,3.1,110.5,"3,420.4"
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,294.3,62.7,133.8,113.4
장기매입채무및기타채무,,,486.7,494.4,520.1,5.2
비유동종업원급여충당부채,13.4,10.7,17.4,14.1,2.9,-79.6
장기충당부채,11.5,14.5,18.0,8.1,11.4,40.8
이연법인세부채,,,124.7,1.2,9.3,685.5
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,11.6,24.8,9.6,-61.4
기타금융업부채,,,,,,
*이자발생부채,202.0,108.5,573.4,296.2,533.1,80.0
*순부채,21.7,-20.9,88.4,-278.2,-322.8,-16.1
*CAPEX,18.5,14.6,27.2,31.6,74.5,135.8
자본총계,561.3,705.4,703.6,"1,121.7","1,276.0",13.8
지배주주지분,561.3,705.4,518.5,941.1,981.3,4.3
자본금,114.6,114.6,100.0,113.0,113.0,0.0
신종자본증권,,,,,,
자본잉여금,237.2,222.7,67.5,267.5,273.1,2.1
기타자본,,,0.2,0.2,0.2,0.0
기타포괄이익누계액,-10.8,-3.7,-9.0,-14.6,-14.6,0.3
이익잉여금,220.4,371.8,359.8,575.0,609.6,6.0
*(지배)당기순이익,102.4,156.3,139.9,216.7,121.0,-44.1
비지배주주지분,,,185.1,180.6,294.7,63.1
*(비지배)당기순이익,,,14.0,1.2,33.1,"2,692.3"
수권주식수,"56,000","56,000","56,000","100,000","100,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"22,923","22,923","22,923","22,608","22,608",0
보통주,"20,000","20,000","20,000","22,608","22,608",0
우선주,"2,923","2,923","2,923",,,
