항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산,"128,021.7","142,149.9","162,672.8","163,481.8","189,111.9",15.7
현금및예치금,"5,636.7","4,542.2","4,442.9","2,593.7","2,553.4",-1.6
당기손익인식(지정)금융자산,103.8,,,,,
당기손익-공정가치측정금융자산,,"31,175.3","35,889.9","37,388.7","36,734.4",-1.8
단기매매금융자산,332.4,,,,,
매매목적파생상품자산,0.2,29.9,55.8,64.7,29.7,-54.1
위험회피파생상품자산,502.7,70.5,154.6,639.3,68.6,-89.3
매도가능금융자산,"26,446.3",,,,,
기타포괄손익-공정가치측정금융자산,,"7,754.1","8,582.6","7,440.7","6,291.5",-15.4
만기보유금융자산,"12,962.8",,,,,
상각후원가측정유가증권,,"8,124.8","10,693.7","13,098.6","19,773.7",51.0
관계기업등지분관련투자자산,,,,,,
기타유가증권,,,,,,
상각후원가측정금융자산,,,,,,
대출채권,"14,714.1","13,253.4","12,559.7","11,548.8","12,569.1",8.8
기타금융업자산,,,,,,
유형자산,798.8,"1,123.4","1,037.2","1,125.8",929.7,-17.4
영업권,,,,,,
무형자산,149.8,181.7,514.2,389.3,290.9,-25.3
투자부동산,990.6,812.3,800.0,761.8,4.8,-99.4
비업무용자산,,,,,,
이연법인세자산,,,,,234.5,
당기법인세자산(선급법인세),12.2,201.3,260.2,153.4,,
기타자산,"7,496.8","8,497.6","9,800.0","15,481.8","15,034.0",-2.9
특별계정자산,"57,874.5","66,383.5","77,882.0","72,795.1","94,597.6",29.9
부채,"122,549.1","136,516.5","153,014.3","154,016.4","179,091.7",16.3
당기손익인식(지정)금융부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
매도파생결합증권,,,,,,
단기매매금융부채,,,,,,
매매목적파생상품부채,0.2,23.0,,5.6,27.5,388.7
위험회피파생상품부채,,478.9,249.4,147.1,389.0,164.4
보험계약부채(책임준비금),"59,750.0","64,367.6","68,646.3","74,648.9","76,494.6",2.5
계약자지분조정,,,,,,
비상위험준비금,,,,,,
차입부채,"2,473.3","3,072.4","3,370.4","3,868.5","3,191.1",-17.5
기타금융업부채,,,,,,
비유동종업원급여충당부채,36.6,10.8,,,,
기타충당부채,25.2,28.6,61.2,32.3,21.5,-33.6
이연법인세부채,283.2,328.5,408.2,146.3,,
당기법인세부채(미지급법인세),,,,,328.6,
기타부채,"1,890.5","1,801.5","2,897.6","1,883.1","2,441.0",29.6
특별계정부채,"58,090.2","66,405.4","77,381.2","73,284.5","96,198.5",31.3
자본,"5,472.5","5,633.4","9,658.5","9,465.4","10,020.2",5.9
지배주주지분,"5,472.5","5,633.4","9,658.5","9,465.4","10,020.2",5.9
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
*비지배주주지분초과손실액,,,,,,
수권주식수,"400,000","400,000","500,000","500,000","500,000",0
1주당금액,"1,000","1,000","1,000","1,000","1,000",0
발행주식수,"134,280","134,280","310,336","310,336","310,336",0
보통주,"134,280","134,280","310,336","310,336","310,336",0
우선주,,,,,,
