항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)"
자산총계,688.2,575.7,723.0,923.2,996.7
유동자산,264.5,232.2,221.8,598.2,365.3
재고자산,3.3,0.2,0.3,0.2,0.1
유동생물자산,,,,,
당기손익-공정가치측정금융자산,,0.9,,14.3,
기타포괄손익-공정가치측정금융자산,,,,,
상각후원가측정유가증권,,,,,
상각후원가측정금융자산,,,,,
단기금융자산,10.5,0.4,1.4,0.0,0.9
매출채권및기타채권,15.7,9.2,6.2,5.7,7.7
당기법인세자산(선급법인세),0.2,0.6,0.4,0.6,
계약자산,,,,,
반품(환불)자산,,,,,
배출권,,,,,
기타유동자산,11.6,35.9,2.3,3.7,3.8
현금및현금성자산,223.2,184.9,184.0,541.9,352.8
매각예정비유동자산및처분자산,,,27.1,31.7,
비유동자산,423.7,343.5,501.2,325.0,631.3
유형자산,63.2,62.2,34.0,16.6,1.4
무형자산,31.0,30.7,24.8,24.6,24.6
비유동생물자산,,,,,
투자부동산,,,,15.2,169.1
투자자산,310.4,243.8,318.0,210.5,295.8
장기매출채권및기타채권,19.1,6.9,4.7,3.4,14.8
이연법인세자산,,,51.3,3.3,3.3
장기당기법인세자산,,,,,
계약자산,,,,,
반품(환불)자산,,,,,
배출권,,,,,
기타비유동자산,,,68.3,51.4,122.4
기타금융업자산,,,,,
*순자산1,657.0,551.3,695.9,894.7,710.8
*순자산2,626.0,520.7,671.0,870.1,686.2
부채총계,31.2,24.4,27.2,28.5,285.9
유동부채,21.0,14.5,15.9,17.2,32.7
단기사채,,,,,
단기차입금,,,,,
유동성장기부채,,,1.8,1.1,15.7
당기손익-공정가치측정금융부채,,,,,
상각후원가측정금융부채,,,,,
유동금융부채,,,,,
매입채무및기타채무,18.7,13.8,5.5,6.0,1.4
유동종업원급여충당부채,,,,,
단기충당부채,,,,,
당기법인세부채(미지급법인세),,,,0.1,3.1
계약부채,,,,,
반품(환불)부채,,,,,
배출부채,,,,,
기타유동부채,2.3,0.6,8.5,10.1,12.5
매각예정으로분류된처분자산에포함된부채,,,,,
비유동부채,10.2,9.9,11.3,11.4,253.2
사채,,,,,
장기차입금,,,,,
당기손익-공정가치측정금융부채,,,,,
상각후원가측정금융부채,,,,,
비유동금융부채,,,1.5,0.6,228.7
장기매입채무및기타채무,,,,,14.0
비유동종업원급여충당부채,7.8,9.5,9.8,10.8,5.9
장기충당부채,2.4,0.4,,,4.6
이연법인세부채,,,,,
장기당기법인세부채(미지급법인세),,,,,
계약부채,,,,,
반품(환불)부채,,,,,
배출부채,,,,,
기타비유동부채,,,,,
기타금융업부채,,,,,
*이자발생부채,,,3.3,1.6,244.4
*순부채,-223.2,-185.8,-180.7,-554.6,-108.4
*CAPEX,26.6,1.6,0.6,16.0,1.2
자본총계,657.0,551.3,695.9,894.7,710.8
지배주주지분,656.4,550.7,695.3,894.7,710.8
자본금,517.9,517.9,129.5,129.5,129.5
신종자본증권,,,,,
자본잉여금,487.8,487.8,487.8,487.8,487.5
기타자본,-24.6,-24.6,-24.6,-24.6,-24.6
기타포괄이익누계액,3.5,10.7,15.3,15.6,12.1
이익잉여금,-328.2,-441.1,87.3,286.4,106.4
*(지배)당기순이익,-26.6,-108.4,140.2,196.7,-180.8
비지배주주지분,0.6,0.6,0.6,,
*(비지배)당기순이익,-0.3,-0.0,-0.0,-0.0,
수권주식수,"300,000","300,000","1,000,000","1,000,000","1,000,000"
1주당금액,500,500,100,100,100
발행주식수,"103,587","103,587","129,484","129,484","129,484"
보통주,"103,587","103,587","129,484","129,484","129,484"
우선주,,,,,
