항목,2017/12,"2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"20,067.6","23,220.9","23,174.9","25,956.1","25,768.5","28,651.3",-0.7,11.2
유동자산,"11,672.5","14,197.9","13,808.5","15,457.2","14,859.3","17,665.0",-3.9,18.9
재고자산,956.1,"1,053.0","1,304.7","2,272.2","2,186.2",,-3.8,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,0.2,14.5,868.6,"1,279.7",180.2,,-85.9,
매출채권및기타채권,"6,573.4","3,470.4","1,321.7","1,786.3","1,595.8",,-10.7,
당기법인세자산(선급법인세),7.3,,0.0,43.6,7.3,,-83.3,
계약자산,,"3,871.3","4,374.0","4,230.0","4,028.2",,-4.8,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,"3,230.6","5,253.7","5,652.6","5,335.5","6,115.5",,14.6,
현금및현금성자산,892.6,532.6,286.5,510.0,745.4,,46.1,
매각예정비유동자산및처분자산,12.2,2.5,0.4,,0.7,,,
비유동자산,"8,395.1","9,023.0","9,366.4","10,498.8","10,909.2",,3.9,
유형자산,"6,580.6","7,311.6","7,454.7","7,432.1","7,432.2",,0.0,
무형자산,734.7,759.7,975.7,"1,267.7","1,476.5",,16.5,
비유동생물자산,,,,,,,,
투자부동산,48.8,43.4,43.0,42.7,42.3,,-0.9,
투자자산,306.1,393.4,372.8,"1,029.6","1,207.1",,17.2,
장기매출채권및기타채권,,,,23.5,17.8,,-24.4,
이연법인세자산,667.8,477.2,481.2,663.6,448.4,,-32.4,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,57.2,37.6,39.0,39.6,285.0,,620.6,
기타금융업자산,,,,,,,,
*순자산1,"6,039.8","6,501.3","6,339.7","6,725.1","7,633.0",,13.5,
*순자산2,"5,305.1","5,741.6","5,364.1","5,457.4","6,156.6",,12.8,
부채총계,"14,027.8","16,719.6","16,835.2","19,231.0","18,135.4","20,035.1",-5.7,10.5
유동부채,"11,389.4","13,058.7","12,374.9","13,804.3","14,811.5","16,634.1",7.3,12.3
단기사채,,,,,,,,
단기차입금,"2,600.0","2,360.0",259.2,67.9,131.7,,93.9,
유동성장기부채,114.9,623.0,"1,874.6","1,516.2","2,077.2",,37.0,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,23.8,49.1,44.5,49.3,,10.8,
매입채무및기타채무,"8,407.6","3,203.6","2,055.9","2,429.8","3,322.3",,36.7,
유동종업원급여충당부채,,,,,,,,
단기충당부채,179.3,434.7,406.4,285.8,350.1,,22.5,
당기법인세부채(미지급법인세),8.9,14.4,57.5,,4.8,,,
계약부채,,"6,365.1","7,647.2","9,415.3","8,786.6",,-6.7,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,75.6,34.2,24.9,44.8,89.4,,99.3,
매각예정으로분류된처분자산에포함된부채,3.0,,,,,,,
비유동부채,"2,638.5","3,660.9","4,460.3","5,426.6","3,324.0","3,399.6",-38.8,2.3
사채,"1,496.3","2,694.9","3,392.7","4,191.4","2,496.1",,-40.5,
장기차입금,887.7,679.3,717.9,719.9,683.9,,-5.0,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,,74.2,48.5,51.7,,6.8,
장기매입채무및기타채무,6.4,9.3,4.0,2.6,7.6,,196.1,
비유동종업원급여충당부채,248.0,277.4,271.5,464.4,84.6,,-81.8,
장기충당부채,,,,,,,,
이연법인세부채,,,,,,,,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,,,,,,,,
기타금융업부채,,,,,,,,
*이자발생부채,"5,098.9","6,357.2","6,334.2","6,588.3","5,490.0",,-16.7,
*순부채,"4,206.3","5,824.6","5,268.5","4,799.3","4,565.6","3,185.0",-4.9,-30.2
*CAPEX,"1,029.3",111.2,312.4,319.3,322.4,438.5,1.0,36.0
자본총계,"6,039.8","6,501.3","6,339.7","6,725.1","7,633.0","8,616.6",13.5,12.9
지배주주지분,"6,039.8","6,501.3","6,339.7","6,725.1","7,633.0","8,582.0",13.5,12.4
자본금,"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0",0.0,0.0
신종자본증권,,,,,,,,
자본잉여금,"1,407.0","1,407.0","1,407.0","1,407.0","1,421.0",,1.0,
기타자본,0.5,,,-85.2,-53.1,,37.7,
기타포괄이익누계액,-0.0,724.6,725.7,723.0,725.9,,0.4,
이익잉여금,"3,532.3","3,269.7","3,107.0","3,580.3","4,439.3",,24.0,
*(지배)당기순이익,-86.3,44.6,31.9,578.8,"1,050.6",,81.5,
비지배주주지분,,,,,,,,
*(비지배)당기순이익,,,,,,,,
수권주식수,"100,000","100,000","100,000","100,000","100,000",,0,
1주당금액,"5,000","5,000","5,000","5,000","5,000",,0,
발행주식수,"22,000","22,000","22,000","22,000","22,000",,0,
보통주,"22,000","22,000","22,000","22,000","22,000",,0,
우선주,,,,,,,,
