항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
자산,"58,422.0","121,267.2","227,241.1","266,499.9","360,400.7","435,303.2",35.2,20.8
현금및예치금,"4,233.5","16,404.7","2,260.5","11,959.4","12,191.6",,1.9,
당기손익인식(지정)금융자산,,,,,,,,
당기손익-공정가치측정금융자산,,,,"2,500.9","15,019.1",,500.5,
파생결합증권(신종증권),,,,,,,,
단기매매금융자산,,,,,,,,
매매목적파생상품자산,,,,,,,,
위험회피파생상품자산,,,,,,,,
매도가능금융자산,"3,089.4",,,,,,,
기타포괄손익-공정가치측정금융자산,,"4,340.4","17,263.8","26,706.1","42,025.4",,57.4,
만기보유금융자산,"2,147.0",,,,,,,
상각후원가측정유가증권,,"6,656.6","11,507.6","13,406.6","19,364.9",,44.4,
관계기업등지분관련투자자산,,,,,,,,
기타유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
대출채권,"46,216.6","90,821.0","191,937.9","206,628.1","263,621.0",,27.6,
기타금융업자산,,,,,,,,
유형자산,326.6,320.2,471.2,461.6,702.3,,52.1,
영업권,,,,,,,,
무형자산,773.6,641.8,563.9,448.8,334.6,,-25.4,
투자부동산,,,,,,,,
비업무용자산,,,,,,,,
이연법인세자산,,,,,204.7,,,
당기법인세자산(선급법인세),3.8,22.5,48.5,,,,,
기타자산,"1,631.4","2,060.1","3,187.7","4,388.4","6,937.2",,58.1,
부채,"51,743.5","109,863.2","210,453.9","238,530.3","305,187.0","377,031.3",27.9,23.5
당기손익인식(지정)금융부채,,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
매도파생결합증권,,,,,,,,
단기매매금융부채,,,,,,,,
매도유가증권,,,,,,,,
매매목적파생상품부채,,,,,,,,
위험회피파생상품부채,,,,,,,,
예수부채,"50,483.0","108,116.3","207,119.1","235,392.8","300,261.3",,27.6,
차입부채,,,,,,,,
기타금융업부채,,,,,,,,
비유동종업원급여충당부채,16.3,40.0,80.0,105.7,139.4,,31.9,
기타충당부채,53.0,46.8,63.9,118.5,120.7,,1.9,
이연법인세부채,,,,,,,,
당기법인세부채(미지급법인세),,,,36.1,140.8,,289.6,
기타부채,"1,191.2","1,660.1","3,190.8","2,877.2","4,524.8",,57.3,
자본,"6,678.6","11,404.1","16,787.2","27,969.6","55,213.7","58,274.1",97.4,5.5
지배주주지분,"6,678.6","11,404.1","16,787.2","27,969.6","55,213.7","58,274.1",97.4,5.5
비지배주주지분,,,,,,,,
*(비지배)당기순이익,,,,,,,,
수권주식수,"400,000","800,000","800,000","800,000","1,000,000",,25,
1주당금액,"5,000","5,000","5,000","5,000","5,000",,0,
발행주식수,"160,000","260,000","365,096","407,653","475,159",,17,
보통주,"160,000","200,000","365,096","407,653","475,159",,17,
우선주,,"60,000",,,,,,
