항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"1,736.8","1,787.5","1,878.3","1,895.4","1,953.3",3.0
유동자산,557.3,557.0,576.4,562.9,609.6,8.3
재고자산,162.3,167.2,158.5,133.4,163.9,22.9
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,12.1,15.0,15.0,36.9,2.0,-94.6
매출채권및기타채권,317.8,296.9,317.8,273.9,279.9,2.2
당기법인세자산(선급법인세),0.3,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,4.6,8.5,10.1,5.6,11.8,111.1
현금및현금성자산,60.2,69.4,74.9,113.1,152.0,34.4
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,179.5","1,230.5","1,302.0","1,332.6","1,343.8",0.8
유형자산,"1,158.1","1,207.2","1,290.2","1,308.5","1,324.3",1.2
무형자산,3.1,2.9,3.0,1.0,1.7,66.4
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,2.1,2.2,2.2,12.1,12.1,-0.1
장기매출채권및기타채권,16.2,18.3,6.6,10.9,5.6,-48.8
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,,,
기타금융업자산,,,,,,
*순자산1,186.0,268.4,379.1,877.7,979.5,11.6
*순자산2,182.9,265.5,376.1,876.7,977.7,11.5
부채총계,"1,550.8","1,519.1","1,499.2","1,017.7",973.9,-4.3
유동부채,"1,250.0","1,220.4","1,166.1",729.0,702.8,-3.6
단기사채,471.9,75.0,75.0,,,
단기차입금,553.5,931.3,857.2,443.6,437.3,-1.4
유동성장기부채,,,,49.0,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,7.9,7.9,10.8,35.8
매입채무및기타채무,223.4,205.4,210.9,201.1,240.0,19.4
유동종업원급여충당부채,,4.4,6.7,7.6,7.2,-5.4
단기충당부채,,,0.4,0.3,,
당기법인세부채(미지급법인세),,1.8,6.3,16.9,4.7,-72.3
계약부채,,,,,,
반품(환불)부채,0.0,0.4,0.4,0.1,0.3,104.3
배출부채,,,,,,
기타유동부채,1.2,2.1,1.4,2.4,2.5,2.6
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,300.8,298.7,333.1,288.7,271.1,-6.1
사채,,,,,,
장기차입금,48.3,50.4,52.2,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,27.8,21.9,22.6,3.3
장기매입채무및기타채무,70.5,54.7,72.6,40.5,23.1,-43.0
비유동종업원급여충당부채,118.6,120.0,133.0,155.0,144.0,-7.1
장기충당부채,2.3,2.4,2.1,2.2,2.4,9.2
이연법인세부채,61.0,71.2,45.4,69.1,79.0,14.4
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,"1,073.7","1,056.7","1,020.1",522.5,470.8,-9.9
*순부채,"1,003.5",972.3,930.1,372.5,316.8,-15.0
*CAPEX,38.4,61.6,65.5,84.7,96.3,13.7
자본총계,186.0,268.4,379.1,877.7,979.5,11.6
지배주주지분,186.0,268.4,379.1,877.7,979.5,11.6
자본금,295.6,295.6,295.6,575.6,575.6,0.0
신종자본증권,,,,,,
자본잉여금,367.3,366.9,366.9,435.0,290.9,-33.1
기타자본,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
기타포괄이익누계액,114.9,145.8,145.8,172.5,172.5,0.0
이익잉여금,-591.7,-540.0,-429.3,-305.4,-59.6,80.5
*(지배)당기순이익,-24.8,53.2,112.2,132.8,102.4,-22.9
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"200,000","200,000","200,000","200,000","200,000",0
1주당금액,"1,000","1,000","1,000","1,000","1,000",0
발행주식수,"29,563","29,563","29,563","57,563","57,563",0
보통주,"29,563","29,563","29,563","57,563","57,563",0
우선주,,,,,,
