항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12
자산총계,"5,571.7","5,479.1","5,811.4","5,894.4","7,191.1"
유동자산,"3,447.2","3,410.0","3,738.1","3,830.5","5,033.0"
재고자산,"1,204.6","1,302.7","1,419.8","1,316.5","2,717.8"
유동생물자산,,,,,
당기손익-공정가치측정금융자산,,941.2,"1,101.5","1,285.5",399.5
기타포괄손익-공정가치측정금융자산,,,,,
상각후원가측정유가증권,,0.0,0.0,0.0,0.0
상각후원가측정금융자산,,,,,
단기금융자산,10.2,0.5,10.0,,7.8
매출채권및기타채권,817.2,860.3,692.7,644.0,"1,117.6"
당기법인세자산(선급법인세),,,,,
계약자산,,,,,
반품(환불)자산,,,,,
배출권,,,,,
기타유동자산,187.8,113.2,154.3,142.5,294.7
현금및현금성자산,"1,227.4",192.1,359.7,442.0,495.6
매각예정비유동자산및처분자산,,,,,
비유동자산,"2,124.5","2,069.1","2,073.3","2,063.9","2,158.1"
유형자산,"1,731.7","1,710.8","1,720.8","1,712.0","1,651.9"
무형자산,7.0,8.6,7.4,7.6,6.5
비유동생물자산,,,,,
투자부동산,97.3,97.1,119.7,120.7,124.7
투자자산,124.0,116.2,119.9,121.4,111.9
장기매출채권및기타채권,12.5,,,,31.5
이연법인세자산,148.4,131.8,102.0,102.2,122.7
장기당기법인세자산,,,,,
계약자산,,,,,
반품(환불)자산,,,,,
배출권,,,,,
기타비유동자산,3.6,4.6,3.5,0.1,109.0
기타금융업자산,,,,,
*순자산1,"4,213.9","4,246.9","4,339.6","4,529.2","4,716.0"
*순자산2,"4,206.9","4,238.4","4,332.2","4,521.6","4,709.5"
부채총계,"1,357.7","1,232.2","1,471.8","1,365.3","2,475.1"
유동부채,"1,301.8","1,083.5","1,267.2","1,187.9","2,321.3"
단기사채,,,,,
단기차입금,455.2,431.7,459.2,383.1,905.0
유동성장기부채,,,,,
당기손익-공정가치측정금융부채,,,,,
상각후원가측정금융부채,,,,,
유동금융부채,0.2,0.0,5.6,9.2,9.3
매입채무및기타채무,814.5,587.4,764.2,709.5,"1,305.2"
유동종업원급여충당부채,,,,,
단기충당부채,0.6,,,,
당기법인세부채(미지급법인세),15.8,35.1,12.7,55.8,32.8
계약부채,,,,,
반품(환불)부채,,,,,
배출부채,,,,,
기타유동부채,15.6,29.4,25.5,30.2,69.0
매각예정으로분류된처분자산에포함된부채,,,,,
비유동부채,55.9,148.6,204.6,177.4,153.8
사채,,,,,
장기차입금,,,,,
당기손익-공정가치측정금융부채,,,,,
상각후원가측정금융부채,,,,,
비유동금융부채,,,47.9,44.4,34.2
장기매입채무및기타채무,,,,,
비유동종업원급여충당부채,55.9,98.9,107.0,121.5,108.1
장기충당부채,,49.7,49.7,11.5,11.5
이연법인세부채,,,,,
장기당기법인세부채(미지급법인세),,,,,
계약부채,,,,,
반품(환불)부채,,,,,
배출부채,,,,,
기타비유동부채,,,,,
기타금융업부채,,,,,
*이자발생부채,455.2,431.7,512.0,433.7,947.1
*순부채,-782.5,-701.6,-959.3,"-1,293.8",52.1
*CAPEX,192.5,128.1,121.0,151.3,168.7
자본총계,"4,213.9","4,246.9","4,339.6","4,529.2","4,716.0"
지배주주지분,"4,212.0","4,246.9","4,339.6","4,529.2","4,674.0"
자본금,496.8,496.8,496.8,496.8,496.8
신종자본증권,,,,,
자본잉여금,451.7,451.7,451.7,451.7,451.7
기타자본,-75.7,-75.7,-75.7,-75.7,-75.7
기타포괄이익누계액,-0.6,-0.6,-0.4,4.1,6.7
이익잉여금,"3,339.8","3,374.8","3,467.2","3,652.3","3,794.6"
*(지배)당기순이익,268.5,84.1,160.4,250.4,216.6
비지배주주지분,1.9,,,,42.0
*(비지배)당기순이익,-1.5,-0.6,,,0.0
수권주식수,"200,000","200,000","200,000","200,000","200,000"
1주당금액,"1,000","1,000","1,000","1,000","1,000"
발행주식수,"49,679","49,679","49,679","49,679","49,679"
보통주,"49,679","49,679","49,679","49,679","49,679"
우선주,,,,,
