항목,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
자산총계,"4,000.0","4,039.8","5,622.3","21,101.2","24,361.3",275.3,15.4
유동자산,"1,807.3","1,707.4","3,339.0","18,378.0","21,039.4",450.4,14.5
재고자산,318.8,363.8,702.8,"1,350.5",,92.2,
유동생물자산,,,,,,,
당기손익-공정가치측정금융자산,,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,
상각후원가측정유가증권,,,,,,,
상각후원가측정금융자산,,,,,,,
단기금융자산,992.4,800.9,"1,910.5","15,480.9",,710.3,
매출채권및기타채권,434.7,324.3,458.4,481.3,,5.0,
당기법인세자산(선급법인세),,,,,,,
계약자산,,,9.8,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타유동자산,16.5,74.7,7.8,85.1,,987.9,
현금및현금성자산,44.9,143.8,249.7,980.3,,292.6,
매각예정비유동자산및처분자산,,,,,,,
비유동자산,"2,192.7","2,332.4","2,283.3","2,723.2",,19.3,
유형자산,"1,728.3","1,824.8","1,809.9","2,102.6",,16.2,
무형자산,218.4,194.8,178.6,170.6,,-4.5,
비유동생물자산,,,,,,,
투자부동산,,,,,,,
투자자산,113.4,110.1,4.6,239.4,,"5,159.0",
장기매출채권및기타채권,,,,,,,
이연법인세자산,131.7,118.9,204.4,102.4,,-49.9,
장기당기법인세자산,,,,,,,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타비유동자산,0.9,83.8,85.8,108.1,,26.0,
기타금융업자산,,,,,,,
*순자산1,"2,192.5","2,327.3","2,637.9","16,013.1",,507.0,
*순자산2,"1,974.1","2,132.6","2,459.3","15,842.5",,544.2,
부채총계,"1,807.5","1,712.5","2,984.4","5,088.1","5,185.1",70.5,1.9
유동부채,506.1,455.1,"1,806.4","4,599.5","4,591.1",154.6,-0.2
단기사채,,,,,,,
단기차입금,,,,116.7,,,
유동성장기부채,114.1,13.5,126.1,502.9,,298.9,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
유동금융부채,,,0.8,8.9,,"1,086.6",
매입채무및기타채무,303.6,374.9,570.3,"1,552.6",,172.3,
유동종업원급여충당부채,,,,,,,
단기충당부채,,,,,,,
당기법인세부채(미지급법인세),,0.8,52.6,"1,014.9",,"1,828.1",
계약부채,52.8,46.9,949.0,987.9,,4.1,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타유동부채,35.6,19.0,107.7,415.7,,286.0,
매각예정으로분류된처분자산에포함된부채,,,,,,,
비유동부채,"1,301.4","1,257.4","1,178.0",488.6,593.9,-58.5,21.6
사채,922.0,934.7,804.7,355.0,,-55.9,
장기차입금,336.1,231.6,217.6,,,,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
비유동금융부채,25.6,70.9,107.4,87.7,,-18.3,
장기매입채무및기타채무,,,,,,,
비유동종업원급여충당부채,17.7,20.2,48.3,45.8,,-5.1,
장기충당부채,,,,,,,
이연법인세부채,,,,,,,
장기당기법인세부채(미지급법인세),,,,,,,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타비유동부채,,,,,,,
기타금융업부채,,,,,,,
*이자발생부채,"1,379.6","1,250.7","1,219.7","1,062.4",,-12.9,
*순부채,342.8,306.0,-939.3,"-15,394.3","-17,642.7","-1,538.9",-14.6
*CAPEX,54.2,237.0,99.3,429.1,754.5,332.3,75.8
자본총계,"2,192.5","2,327.3","2,637.9","16,013.1","19,176.3",507.0,19.8
지배주주지분,"2,192.5","2,327.3","2,637.9","16,013.1","19,176.3",507.0,19.8
자본금,102.0,102.0,306.0,382.5,372.1,25.0,-2.7
신종자본증권,,,,,,,
자본잉여금,"2,012.2","2,012.2","1,805.2","11,570.6",,541.0,
기타자본,0.3,3.3,9.0,9.0,,0.0,
기타포괄이익누계액,-12.4,-13.2,-14.6,-2.1,,85.8,
이익잉여금,90.4,223.1,532.4,"4,053.1",,661.3,
*(지배)당기순이익,89.3,146.8,328.9,"3,551.4",,979.8,
비지배주주지분,,,,,,,
*(비지배)당기순이익,,,,,,,
수권주식수,"10,000","10,000","300,000","300,000",,0,
1주당금액,"5,000","5,000",500,500,,0,
발행주식수,"2,040","2,040","61,200","76,500",,25,
보통주,"2,040","2,040","61,200","76,500",,25,
우선주,,,,,,,
