항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"2,048.7","2,216.2","2,378.2","2,532.4","2,369.8",-6.4
유동자산,"1,106.4","1,289.4","1,241.8","1,381.9","1,111.7",-19.6
재고자산,479.6,534.9,623.1,621.7,576.7,-7.2
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,,,,95.4,,
매출채권및기타채권,546.5,672.9,521.9,527.3,478.9,-9.2
당기법인세자산(선급법인세),,,4.5,,0.1,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,16.2,31.7,24.5,23.1,13.0,-43.8
현금및현금성자산,64.0,49.9,67.7,114.4,42.9,-62.5
매각예정비유동자산및처분자산,,,,,,
비유동자산,942.3,926.9,"1,136.4","1,150.5","1,258.1",9.4
유형자산,785.0,765.0,881.2,885.4,947.1,7.0
무형자산,25.8,25.0,34.8,30.9,33.5,8.6
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,12.2,29.9,81.0,130.7,154.4,18.1
장기매출채권및기타채권,13.2,,,,,
이연법인세자산,106.1,107.0,106.2,76.1,101.8,33.8
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,33.3,27.4,21.3,-22.2
기타금융업자산,,,,,,
*순자산1,"1,415.1","1,490.1","1,491.6","1,560.6","1,457.0",-6.6
*순자산2,"1,389.3","1,465.1","1,456.8","1,529.7","1,423.5",-6.9
부채총계,633.6,726.1,886.5,971.8,912.8,-6.1
유동부채,603.8,693.2,838.1,937.6,888.1,-5.3
단기사채,,,,,,
단기차입금,283.8,421.2,536.5,612.2,552.3,-9.8
유동성장기부채,,,0.5,0.9,0.9,0.0
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,8.2,7.7,9.9,29.5
매입채무및기타채무,253.7,250.4,283.8,267.5,283.6,6.0
유동종업원급여충당부채,,,,24.9,25.2,1.2
단기충당부채,3.1,,,,,
당기법인세부채(미지급법인세),57.9,15.8,,9.8,,
계약부채,,1.2,2.8,2.1,2.9,38.0
반품(환불)부채,,4.5,6.4,12.7,13.3,5.0
배출부채,,,,,,
기타유동부채,5.4,,,,,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,29.8,32.9,48.4,34.2,24.6,-27.9
사채,,,,,,
장기차입금,4.5,4.5,4.1,3.2,2.3,-28.6
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,0.8,15.3,8.9,2.7,-70.2
장기매입채무및기타채무,3.0,2.5,,0.5,1.3,160.5
비유동종업원급여충당부채,22.3,25.1,29.1,21.6,18.4,-14.7
장기충당부채,,,,,,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,288.3,425.7,564.2,632.7,565.9,-10.6
*순부채,224.2,375.9,496.5,422.8,523.0,23.7
*CAPEX,72.4,76.2,206.5,120.6,175.1,45.2
자본총계,"1,415.1","1,490.1","1,491.6","1,560.6","1,457.0",-6.6
지배주주지분,"1,415.1","1,490.1","1,491.6","1,560.6","1,457.0",-6.6
자본금,119.5,119.5,119.5,119.5,119.5,0.0
신종자본증권,,,,,,
자본잉여금,400.7,400.7,400.7,400.7,400.7,0.0
기타자본,,,,,,
기타포괄이익누계액,-6.3,-1.2,-1.7,-1.7,-9.1,-429.7
이익잉여금,901.2,971.1,973.1,"1,042.1",945.9,-9.2
*(지배)당기순이익,179.6,131.2,52.9,94.0,-75.0,-179.7
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"100,000","100,000","100,000","100,000","100,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"23,907","23,907","23,907","23,907","23,907",0
보통주,"23,907","23,907","23,907","23,907","23,907",0
우선주,,,,,,
