항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"12,217.8","12,082.8","13,216.4","12,865.4","12,715.0","12,866.5",-1.2,1.2
유동자산,"5,152.1","4,502.1","6,245.3","5,520.4","4,823.8","5,250.0",-12.6,8.8
재고자산,"1,787.7","1,923.4","2,271.5","1,833.0","2,190.7",,19.5,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,,105.0,105.0,105.0,,0.0,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,160.9,133.6,24.0,533.9,23.4,,-95.6,
매출채권및기타채권,"2,134.1","1,898.3","1,959.1","1,794.1","1,820.4",,1.5,
당기법인세자산(선급법인세),,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,7.7,,,
배출권,,,,,,,,
기타유동자산,85.3,64.4,64.1,43.4,43.3,,-0.3,
현금및현금성자산,984.2,429.6,285.5,"1,211.1",633.4,,-47.7,
매각예정비유동자산및처분자산,,52.9,"1,536.1",,,,,
비유동자산,"7,065.7","7,580.7","6,971.1","7,345.0","7,891.2",,7.4,
유형자산,"5,374.4","5,410.0","5,608.5","5,863.2","5,627.4",,-4.0,
무형자산,503.9,470.8,462.4,434.2,432.2,,-0.5,
비유동생물자산,,,,,,,,
투자부동산,763.7,"1,229.7",370.7,439.6,786.8,,79.0,
투자자산,375.7,399.5,277.0,353.5,714.6,,102.1,
장기매출채권및기타채권,28.5,28.5,,,,,,
이연법인세자산,,,,,4.9,,,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,19.5,42.2,252.6,254.5,325.3,,27.8,
기타금융업자산,,,,,,,,
*순자산1,"6,654.3","6,824.7","7,080.1","7,612.0","7,860.3",,3.3,
*순자산2,"6,150.4","6,353.9","6,617.7","7,177.8","7,428.1",,3.5,
부채총계,"5,563.5","5,258.1","6,136.3","5,253.4","4,854.7","4,897.0",-7.6,0.9
유동부채,"3,301.2","1,809.8","4,538.2","3,178.4","2,573.1","2,746.5",-19.0,6.7
단기사채,,,,840.0,,,,
단기차입금,"1,140.0",30.0,120.0,40.0,,,,
유동성장기부채,321.4,,999.8,536.7,557.5,,3.9,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,14.0,,36.4,,,,,
매입채무및기타채무,"1,710.4","1,646.6","1,684.8","1,529.3","1,729.2",,13.1,
유동종업원급여충당부채,,,,,223.2,,,
단기충당부채,5.2,18.4,14.4,10.8,11.1,,1.9,
당기법인세부채(미지급법인세),89.0,83.9,51.6,197.3,29.3,,-85.1,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,1.1,1.4,0.7,,,,
기타유동부채,21.2,29.9,"1,629.9",23.5,22.9,,-2.4,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,"2,262.3","3,448.3","1,598.1","2,075.0","2,281.5","2,150.5",9.9,-5.7
사채,"1,497.0","1,498.1",499.4,"1,497.7","1,697.6",,13.3,
장기차입금,,500.0,500.0,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,56.1,96.3,142.5,127.6,157.6,,23.5,
장기매입채무및기타채무,116.6,109.8,84.3,73.7,68.3,,-7.3,
비유동종업원급여충당부채,65.5,68.4,87.2,117.1,122.6,,4.7,
장기충당부채,2.7,5.3,5.4,5.5,5.7,,2.0,
이연법인세부채,295.1,253.3,279.2,253.5,229.9,,-9.3,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,229.3,917.1,,,,,,
기타금융업부채,,,,,,,,
*이자발생부채,"2,958.4","2,028.1","2,298.0","3,042.0","2,412.6",,-20.7,
*순부채,"1,869.0","1,493.5","1,907.5","1,225.9","1,674.2",810.0,36.6,-51.6
*CAPEX,850.5,592.0,748.0,827.7,639.3,600.0,-22.8,-6.2
자본총계,"6,654.3","6,824.7","7,080.1","7,612.0","7,860.3","7,969.5",3.3,1.4
지배주주지분,"6,654.3","6,824.7","7,080.1","7,612.0","7,860.3","7,969.5",3.3,1.4
자본금,56.6,56.6,56.6,56.6,60.5,60.5,6.8,0.1
신종자본증권,,,,,,,,
자본잉여금,599.7,599.7,599.7,599.7,958.5,,59.8,
기타자본,"-2,837.6","-2,837.6","-2,837.6","-2,837.6","-2,837.6",,0.0,
기타포괄이익누계액,4.8,-111.3,28.5,-22.4,-20.4,,8.9,
이익잉여금,"8,830.8","9,117.4","9,233.0","9,815.7","9,699.4",,-1.2,
*(지배)당기순이익,950.7,425.4,376.2,702.3,-10.5,,-101.5,
비지배주주지분,,,,,,,,
*(비지배)당기순이익,,,,,,,,
수권주식수,"3,000","3,000","3,000","3,000","3,000",,0,
1주당금액,"5,000","5,000","5,000","5,000","5,000",,0,
발행주식수,"1,132","1,132","1,132","1,132","1,209",,7,
보통주,"1,132","1,132","1,132","1,132","1,209",,7,
우선주,,,,,,,,
