항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"3,474.6","3,472.6","3,695.2","3,712.2","3,713.8",0.0
유동자산,"2,788.1","2,794.2","2,724.4","2,632.5","2,799.6",6.3
재고자산,230.2,153.9,141.5,131.3,124.8,-5.0
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,100.4,107.9,57.0,95.9,68.4
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,112.5,36.8,39.0,33.3,36.5,9.7
매출채권및기타채권,"2,143.7","2,078.6","2,044.3","2,025.7","2,018.7",-0.3
당기법인세자산(선급법인세),,,,7.3,,
계약자산,,,,,,
반품(환불)자산,,3.4,1.2,0.4,0.3,-30.7
배출권,,,,,,
기타유동자산,6.5,19.2,17.8,15.3,15.0,-1.8
현금및현금성자산,295.2,401.9,372.8,362.2,508.4,40.4
매각예정비유동자산및처분자산,,,,,,
비유동자산,686.5,678.4,970.8,"1,079.8",914.2,-15.3
유형자산,270.9,256.8,239.8,256.0,329.3,28.6
무형자산,2.2,3.3,3.0,2.8,19.2,588.0
비유동생물자산,,,,,,
투자부동산,,,,,9.1,
투자자산,408.0,413.5,721.8,809.1,537.4,-33.6
장기매출채권및기타채권,5.4,4.8,4.8,7.5,6.7,-10.2
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,1.3,4.4,12.4,183.1
기타금융업자산,,,,,,
*순자산1,"3,228.3","3,243.4","3,454.9","3,474.8","3,459.1",-0.5
*순자산2,"3,226.1","3,240.1","3,451.9","3,472.0","3,439.9",-0.9
부채총계,246.4,229.3,240.3,237.5,254.7,7.3
유동부채,155.1,159.0,183.2,168.2,207.3,23.2
단기사채,,,,,,
단기차입금,,,,,,
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,,3.1,1.7,-44.9
매입채무및기타채무,146.6,128.7,138.2,145.4,172.2,18.4
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),8.5,8.6,25.4,,11.6,
계약부채,,,,,,
반품(환불)부채,,21.7,19.5,19.8,21.7,9.9
배출부채,,,,,,
기타유동부채,,,0.1,,,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,91.2,70.3,57.1,69.2,47.5,-31.5
사채,,,,,,
장기차입금,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,1.3,1.3,0.1,-92.7
장기매입채무및기타채무,,,,,,
비유동종업원급여충당부채,7.5,9.9,4.0,0.5,,
장기충당부채,14.7,,,,,
이연법인세부채,69.1,60.3,51.8,52.2,33.7,-35.5
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,15.3,13.7,-10.3
기타금융업부채,,,,,,
*이자발생부채,,,1.3,4.4,1.8,-59.0
*순부채,-407.7,-539.2,-518.4,-448.0,-639.1,-42.6
*CAPEX,18.5,12.1,12.4,48.2,109.3,126.9
자본총계,"3,228.3","3,243.4","3,454.9","3,474.8","3,459.1",-0.5
지배주주지분,"3,228.3","3,243.4","3,454.9","3,474.8","3,459.1",-0.5
자본금,133.0,133.0,133.0,133.0,133.0,0.0
신종자본증권,,,,,,
자본잉여금,160.4,160.4,160.4,160.4,160.4,0.0
기타자본,"-1,019.5","-1,019.5",-864.0,-864.0,-864.0,0.0
기타포괄이익누계액,15.5,-0.0,1.8,-0.4,1.6,489.4
이익잉여금,"3,938.9","3,969.6","4,023.7","4,045.8","4,028.1",-0.4
*(지배)당기순이익,26.3,29.5,67.2,32.2,-13.7,-142.5
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"8,000","8,000","8,000","8,000","8,000",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"2,660","2,660","2,660","2,660","2,660",0
보통주,"2,660","2,660","2,660","2,660","2,660",0
우선주,,,,,,
