항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"5,537.8","2,662.5","1,755.3","1,394.3","1,170.2",-16.1
유동자산,"3,978.2",887.3,871.8,696.7,714.2,2.5
재고자산,"1,986.5",625.2,589.8,486.3,442.2,-9.1
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,3.8,3.8,3.5,2.5,2.5,0.6
매출채권및기타채권,"1,201.8",222.2,231.8,196.0,177.4,-9.5
당기법인세자산(선급법인세),,,,0.0,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,162.6,15.4,13.6,9.2,17.7,92.8
현금및현금성자산,596.6,20.7,5.3,2.7,43.1,"1,478.2"
매각예정비유동자산및처분자산,26.9,,27.7,,31.3,
비유동자산,"1,559.6","1,775.1",883.6,697.6,456.0,-34.6
유형자산,"1,190.6",594.0,334.6,315.7,254.0,-19.5
무형자산,30.9,11.8,5.2,4.8,7.0,44.4
비유동생물자산,,,,,,
투자부동산,84.6,89.1,17.4,17.3,7.6,-55.8
투자자산,24.4,"1,024.9",353.4,203.3,4.5,-97.8
장기매출채권및기타채권,66.8,55.3,73.6,58.7,52.5,-10.6
이연법인세자산,162.4,,,,46.0,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,99.5,97.7,84.5,-13.6
기타금융업자산,,,,,,
*순자산1,"2,288.7","1,834.5","1,076.8",781.0,546.9,-30.0
*순자산2,"2,257.8","1,822.7","1,071.7",776.1,540.0,-30.4
부채총계,"3,249.2",828.0,678.5,613.3,623.3,1.6
유동부채,"2,938.5",610.6,500.9,446.2,497.4,11.5
단기사채,,,,,,
단기차입금,320.6,322.7,268.7,229.2,237.5,3.6
유동성장기부채,54.2,106.7,6.1,2.0,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,39.3,52.8,50.2,-5.0
매입채무및기타채무,"2,527.5",173.8,176.9,155.1,189.2,22.0
유동종업원급여충당부채,,,,,,
단기충당부채,2.1,,,5.3,6.1,16.5
당기법인세부채(미지급법인세),21.4,,1.8,,7.9,
계약부채,,,,,,
반품(환불)부채,,3.1,2.4,,,
배출부채,,,,,,
기타유동부채,12.8,4.3,5.6,1.8,6.5,260.7
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,310.7,217.4,177.6,167.1,125.8,-24.7
사채,98.3,,,,,
장기차입금,110.7,160.9,14.0,20.1,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,2.3,,122.5,97.5,76.8,-21.2
장기매입채무및기타채무,8.8,8.2,5.6,6.4,0.4,-93.5
비유동종업원급여충당부채,20.3,22.5,35.5,38.0,44.0,15.8
장기충당부채,,,,5.0,4.6,-8.1
이연법인세부채,70.3,25.8,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,583.7,590.3,450.7,401.7,364.5,-9.3
*순부채,-12.8,569.6,443.4,396.8,321.4,-19.0
*CAPEX,329.5,277.6,39.2,32.8,25.9,-20.9
자본총계,"2,288.7","1,834.5","1,076.8",781.0,546.9,-30.0
지배주주지분,"1,477.1","1,834.5","1,076.8",781.0,546.9,-30.0
자본금,104.3,104.3,104.3,104.3,104.3,0.0
신종자본증권,,,,,,
자본잉여금,750.7,750.7,750.7,750.7,750.7,0.0
기타자본,-727.5,13.5,13.5,13.5,13.5,0.0
기타포괄이익누계액,-151.4,1.2,20.2,24.1,-13.2,-154.8
이익잉여금,"1,500.9",964.8,188.1,-111.5,-308.3,-176.4
*(지배)당기순이익,-10.0,-530.6,-774.0,-307.9,-196.2,36.3
비지배주주지분,811.6,,,,,
*(비지배)당기순이익,19.9,-45.9,,,,
수권주식수,"29,600","29,600","29,600","29,600","29,600",0
1주당금액,500,500,500,500,500,0
발행주식수,"20,857","20,857","20,857","20,857","20,857",0
보통주,"20,857","20,857","20,857","20,857","20,857",0
우선주,,,,,,
