항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"3,136.0","3,662.4","3,258.1","2,829.2","3,346.2",18.3
유동자산,"2,105.0","2,863.6","2,182.8","1,633.6","1,995.3",22.1
재고자산,39.4,37.1,35.4,34.5,34.7,0.6
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,483.4,,,200.0,
기타포괄손익-공정가치측정금융자산,,10.1,8.5,6.3,0.1,-98.2
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,18.7,8.1,35.4,,25.0,
매출채권및기타채권,"1,426.2","2,114.6","2,001.4","1,504.0","1,422.9",-5.4
당기법인세자산(선급법인세),0.5,0.9,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,150.4,83.9,96.3,65.3,95.1,45.6
현금및현금성자산,469.8,125.6,5.9,23.5,217.5,823.8
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,031.0",798.8,"1,075.3","1,195.6","1,350.9",13.0
유형자산,108.8,107.1,106.0,129.6,135.0,4.2
무형자산,3.8,3.4,3.3,3.1,4.2,35.0
비유동생물자산,,,,,,
투자부동산,3.3,2.2,1.7,1.1,1.1,0.0
투자자산,895.8,672.2,908.9,981.7,"1,065.3",8.5
장기매출채권및기타채권,,,34.9,,,
이연법인세자산,,,,50.1,117.2,134.1
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,19.3,14.0,20.5,30.0,28.1,-6.5
기타금융업자산,,,,,,
*순자산1,758.7,788.0,974.1,"1,188.5","1,709.5",43.8
*순자산2,755.0,784.6,970.8,"1,185.4","1,705.4",43.9
부채총계,"2,377.3","2,874.4","2,284.0","1,640.7","1,636.6",-0.3
유동부채,"1,865.3","2,285.5","1,485.7","1,093.5","1,041.3",-4.8
단기사채,,,,,,
단기차입금,116.9,116.9,116.9,,,
유동성장기부채,99.0,7.8,56.9,1.8,1.7,-5.7
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,6.9,12.5,17.1,15.8,28.6,80.8
매입채무및기타채무,"1,626.0","2,103.7","1,102.1",870.9,891.0,2.3
유동종업원급여충당부채,,,,,,
단기충당부채,,,43.2,74.8,58.4,-21.9
당기법인세부채(미지급법인세),,,27.6,5.7,18.1,218.9
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,16.4,44.5,121.8,124.5,43.5,-65.1
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,512.0,588.9,798.3,547.2,595.4,8.8
사채,,,,,,
장기차입금,13.4,112.3,59.6,8.9,7.3,-17.1
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,1.5,2.4,3.2,34.0
장기매입채무및기타채무,0.9,0.9,0.9,0.7,0.7,0.0
비유동종업원급여충당부채,84.6,99.0,117.4,114.9,131.7,14.6
장기충당부채,413.1,376.8,618.9,420.3,452.4,7.6
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,229.4,237.0,242.1,21.0,18.6,-11.7
*순부채,-258.8,-389.7,223.7,-8.8,-424.0,"-4,715.9"
*CAPEX,2.1,0.6,2.3,1.4,6.2,336.8
자본총계,758.7,788.0,974.1,"1,188.5","1,709.5",43.8
지배주주지분,758.7,788.0,974.1,"1,188.5","1,709.5",43.8
자본금,732.5,733.1,733.1,733.1,733.1,0.0
신종자본증권,,,,,,
자본잉여금,614.0,0.9,,,,
기타자본,-0.6,-0.6,-0.6,-0.6,-0.6,0.0
기타포괄이익누계액,112.4,64.0,63.5,69.8,69.5,-0.5
이익잉여금,-699.5,-9.4,178.1,386.2,907.6,135.0
*(지배)당기순이익,218.3,60.5,203.4,204.0,534.1,161.9
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"2,000,000","2,000,000","2,000,000","2,000,000","2,000,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"146,505","146,624","146,624","146,624","146,624",0
보통주,"145,353","145,472","145,472","145,472","145,472",0
우선주,"1,152","1,152","1,152","1,152","1,152",0
