항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"1,798.1","2,084.0","2,018.8","1,975.9","2,115.6",7.1
유동자산,671.3,795.2,755.4,783.9,968.6,23.6
재고자산,131.6,187.0,228.7,280.1,367.2,31.1
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,68.0,4.9,5.4,5.9,4.2,-28.3
매출채권및기타채권,424.7,473.8,439.6,395.7,508.7,28.6
당기법인세자산(선급법인세),4.6,1.0,,0.2,0.2,-32.0
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,7.7,22.0,22.6,11.1,26.9,141.1
현금및현금성자산,34.8,106.5,59.3,90.8,61.5,-32.3
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,126.8","1,288.8","1,263.4","1,192.0","1,147.0",-3.8
유형자산,"1,108.2","1,266.0","1,243.8","1,166.5","1,096.6",-6.0
무형자산,3.4,2.8,2.5,0.8,0.6,-27.4
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,11.6,16.3,11.0,21.3,47.7,124.0
장기매출채권및기타채권,2.0,2.1,1.8,1.2,1.2,0.0
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,1.6,1.6,4.3,2.3,0.9,-58.8
기타금융업자산,,,,,,
*순자산1,701.9,695.7,707.2,736.9,608.6,-17.4
*순자산2,698.5,692.9,704.7,736.1,608.0,-17.4
부채총계,"1,096.2","1,388.3","1,311.6","1,239.0","1,507.1",21.6
유동부채,544.6,774.8,643.5,731.4,992.7,35.7
단기사채,,,,,,
단기차입금,320.0,376.4,320.0,374.7,425.0,13.4
유동성장기부채,50.2,131.0,110.9,116.9,121.2,3.7
당기손익-공정가치측정금융부채,,,,,39.6,
상각후원가측정금융부채,,,,,,
유동금융부채,,,0.1,1.1,9.2,754.3
매입채무및기타채무,171.1,248.3,200.7,231.1,393.7,70.4
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),1.2,0.2,3.2,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,2.1,18.8,8.6,7.6,3.9,-48.9
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,551.7,613.5,668.1,507.6,514.4,1.3
사채,,,56.9,,58.7,
장기차입금,466.6,522.0,485.1,416.4,391.0,-6.1
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,44.7,1.1,4.6,340.4
장기매입채무및기타채무,0.2,0.6,0.9,1.1,,
비유동종업원급여충당부채,67.6,69.2,63.7,74.0,58.4,-21.1
장기충당부채,,,,,,
이연법인세부채,17.2,21.8,16.8,15.0,1.6,-89.3
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,836.8,"1,029.4",974.7,910.2,"1,045.7",14.9
*순부채,739.5,922.5,914.6,815.3,983.9,20.7
*CAPEX,374.8,220.7,50.8,13.3,61.3,359.7
자본총계,701.9,695.7,707.2,736.9,608.6,-17.4
지배주주지분,701.9,695.7,707.2,736.9,608.6,-17.4
자본금,236.0,236.0,236.0,275.7,275.7,0.0
신종자본증권,,,,,,
자본잉여금,41.9,41.9,41.9,128.1,137.0,7.0
기타자본,-29.9,-39.8,-39.8,-47.8,-11.5,76.0
기타포괄이익누계액,,,,,,
이익잉여금,453.9,457.7,469.2,380.9,207.3,-45.6
*(지배)당기순이익,46.6,10.3,2.6,-90.5,-185.2,-104.7
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"70,000","70,000","70,000","70,000","70,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"45,451","45,451","45,451","53,395","53,395",0
보통주,"45,451","45,451","45,451","53,395","53,395",0
우선주,,,,,,
