항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"1,971.6","1,606.9","1,821.1","1,806.5","1,856.1",2.8
유동자산,911.9,723.5,955.7,900.1,"1,025.1",13.9
재고자산,330.8,192.7,217.6,248.1,317.8,28.1
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,50.0,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,3.3,,,231.4,1.2,-99.5
매출채권및기타채권,409.2,223.6,220.7,147.1,164.4,11.7
당기법인세자산(선급법인세),0.0,0.1,0.8,,0.9,
계약자산,,96.4,91.0,73.0,111.6,52.8
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,125.6,102.4,88.1,122.1,215.9,76.8
현금및현금성자산,43.1,108.2,287.5,78.5,213.4,172.0
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,059.7",883.4,865.4,906.4,831.0,-8.3
유형자산,507.3,422.7,369.0,368.4,364.7,-1.0
무형자산,157.7,37.8,15.0,8.9,6.8,-23.6
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,383.6,373.4,388.7,434.9,375.1,-13.7
장기매출채권및기타채권,,4.5,3.9,3.7,4.0,6.1
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,11.0,45.1,88.7,90.5,80.4,-11.1
기타금융업자산,,,,,,
*순자산1,807.4,394.9,272.8,447.1,434.0,-2.9
*순자산2,649.7,357.1,257.7,438.2,427.2,-2.5
부채총계,"1,164.1","1,212.0","1,548.3","1,359.4","1,422.1",4.6
유동부채,904.1,797.7,"1,285.1","1,118.9","1,197.7",7.0
단기사채,,,137.8,31.5,18.8,-40.4
단기차입금,233.6,55.0,,,,
유동성장기부채,75.1,13.1,14.3,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,0.3,44.6,11.2,5.5,-51.3
매입채무및기타채무,313.7,262.1,279.6,183.2,182.6,-0.3
유동종업원급여충당부채,,,,,,
단기충당부채,3.0,16.8,26.1,30.3,7.6,-74.9
당기법인세부채(미지급법인세),6.9,,,1.5,,
계약부채,,449.7,782.0,861.3,983.1,14.2
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,271.7,0.7,0.7,,0.2,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,260.1,414.3,263.2,240.5,224.3,-6.7
사채,,132.1,,,,
장기차입금,52.9,38.2,25.2,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,30.6,5.2,3.5,1.0,-70.8
장기매입채무및기타채무,,,,21.9,23.8,8.6
비유동종업원급여충당부채,164.6,152.7,191.3,166.7,158.4,-5.0
장기충당부채,0.1,14.0,,,,
이연법인세부채,37.5,43.0,39.2,48.4,41.2,-15.0
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,4.9,3.9,2.3,,,
기타금융업부채,,,,,,
*이자발생부채,361.6,238.4,185.0,37.6,22.4,-40.5
*순부채,315.3,130.1,-152.5,-270.9,-191.0,29.5
*CAPEX,16.1,12.7,3.3,6.7,7.9,18.9
자본총계,807.4,394.9,272.8,447.1,434.0,-2.9
지배주주지분,761.4,394.9,272.8,447.1,434.0,-2.9
자본금,233.8,233.8,233.8,240.3,240.3,0.0
신종자본증권,,,,,,
자본잉여금,37.1,37.1,37.1,62.6,62.6,0.0
기타자본,-1.4,-0.9,-0.9,-0.9,-0.9,0.0
기타포괄이익누계액,316.3,282.6,289.4,328.7,189.7,-42.3
이익잉여금,175.6,-157.7,-286.6,-183.7,-57.7,68.6
*(지배)당기순이익,36.1,-337.5,-104.9,71.3,38.7,-45.7
비지배주주지분,46.0,,,,,
*(비지배)당기순이익,1.6,-18.0,,,,
수권주식수,"150,000","1,500,000","150,000","150,000","150,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"46,765","46,765","46,765","48,061","48,061",0
보통주,"46,765","46,765","46,765","48,061","48,061",0
우선주,,,,,,
