항목,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"16,532.5","20,635.2","24,173.7","30,562.0","31,757.2",26.4,3.9
유동자산,"4,383.2","4,460.6","4,357.5","7,976.2","10,963.3",83.0,37.5
재고자산,"1,252.9","1,275.1","1,431.6","4,010.0",,180.1,
유동생물자산,,,,,,,
당기손익-공정가치측정금융자산,,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,
상각후원가측정유가증권,,,,,,,
상각후원가측정금융자산,,,,,,,
단기금융자산,30.2,57.3,540.3,7.7,,-98.6,
매출채권및기타채권,"1,846.7","1,509.7","2,223.3","3,279.6",,47.5,
당기법인세자산(선급법인세),,,,,,,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타유동자산,460.9,"1,157.9",60.4,330.9,,447.5,
현금및현금성자산,792.6,460.6,101.8,348.0,,241.8,
매각예정비유동자산및처분자산,,,,,,,
비유동자산,"12,149.3","16,174.6","19,816.2","22,585.8",,14.0,
유형자산,"11,175.6","14,483.3","19,233.5","21,881.2",,13.8,
무형자산,741.4,730.7,231.3,339.7,,46.9,
비유동생물자산,,,,,,,
투자부동산,,,,,,,
투자자산,99.7,854.9,180.0,186.4,,3.6,
장기매출채권및기타채권,40.8,40.7,21.0,20.0,,-4.8,
이연법인세자산,83.0,45.1,93.6,106.3,,13.6,
장기당기법인세자산,,,,,,,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타비유동자산,8.8,19.9,56.9,52.2,,-8.2,
기타금융업자산,,,,,,,
*순자산1,"3,672.5","4,547.1","4,023.5","5,014.5",,24.6,
*순자산2,"2,931.0","3,816.4","3,792.3","4,674.8",,23.3,
부채총계,"12,860.0","16,088.1","20,150.1","25,547.5","25,759.2",26.8,0.8
유동부채,"6,859.8","4,313.2","6,275.4","10,831.6","11,004.2",72.6,1.6
단기사채,,,,,,,
단기차입금,"2,552.4",430.2,"1,923.5","3,397.1",,76.6,
유동성장기부채,"1,445.1","1,429.0","1,114.2","2,428.8",,118.0,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
유동금융부채,,11.9,41.1,42.5,,3.5,
매입채무및기타채무,"2,756.8","2,198.8","2,950.9","4,388.1",,48.7,
유동종업원급여충당부채,,,,,,,
단기충당부채,,,0.0,,,,
당기법인세부채(미지급법인세),63.9,204.4,157.4,394.2,,150.5,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,29.6,0.8,,-97.4,
기타유동부채,41.7,38.9,58.8,180.1,,206.3,
매각예정으로분류된처분자산에포함된부채,,,,,,,
비유동부채,"6,000.2","11,774.9","13,874.7","14,715.8","14,758.3",6.1,0.3
사채,"2,176.8","3,959.6","4,918.3","2,974.4",,-39.5,
장기차입금,"3,652.6","7,598.9","8,646.0","11,399.5",,31.9,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
비유동금융부채,,46.7,107.3,76.4,,-28.8,
장기매입채무및기타채무,120.5,125.2,131.9,132.7,,0.6,
비유동종업원급여충당부채,15.1,,,,,,
장기충당부채,,,58.4,123.0,,110.6,
이연법인세부채,16.5,28.7,,,,,
장기당기법인세부채(미지급법인세),,,,,,,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타비유동부채,18.6,15.8,12.9,10.0,,-22.9,
기타금융업부채,,,,,,,
*이자발생부채,"9,826.9","13,464.7","16,743.0","20,313.3",,21.3,
*순부채,"9,034.3","12,964.1","16,101.2","19,958.2","18,260.8",23.9,-8.5
*CAPEX,835.7,"4,808.9","5,557.6","3,282.7","1,690.0",-40.9,-48.5
자본총계,"3,672.5","4,547.1","4,023.5","5,014.5","5,998.0",24.6,19.6
지배주주지분,"3,672.5","4,547.1","4,023.5","5,014.5","5,961.6",24.6,18.9
자본금,159.5,159.5,159.5,159.5,160.0,0.0,0.3
신종자본증권,,,,,,,
자본잉여금,"3,289.7","3,289.7","3,289.7","3,289.7",,0.0,
기타자본,-18.4,-18.4,-18.4,-18.4,,0.0,
기타포괄이익누계액,58.9,134.6,-83.3,201.6,,342.1,
이익잉여금,182.8,981.7,676.1,"1,382.2",,104.5,
*(지배)당기순이익,203.9,878.2,-116.2,704.1,,706.2,
비지배주주지분,,,,,,,
*(비지배)당기순이익,,,,,,,
수권주식수,"200,000","200,000","200,000","200,000",,0,
1주당금액,"5,000","5,000","5,000","5,000",,0,
발행주식수,"3,190","3,190","3,190","3,190",,0,
보통주,"3,190","3,190","3,190","3,190",,0,
우선주,,,,,,,
