항목,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"31,388.4","32,243.1","28,241.3","45,264.7","48,795.3",60.3,7.8
유동자산,"14,280.6","14,701.0","12,708.4","26,054.3","29,341.6",105.0,12.6
재고자산,"5,173.1","5,242.3","3,546.9","10,091.4",,184.5,
유동생물자산,,,,,,,
당기손익-공정가치측정금융자산,,,,98.9,,,
기타포괄손익-공정가치측정금융자산,,,,,,,
상각후원가측정유가증권,,,,,,,
상각후원가측정금융자산,,,137.3,269.7,,96.5,
단기금융자산,222.9,120.9,1.6,25.6,,"1,542.5",
매출채권및기타채권,"7,717.3","8,208.4","7,131.8","13,599.1",,90.7,
당기법인세자산(선급법인세),5.3,7.3,83.6,29.5,,-64.8,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타유동자산,314.6,228.4,327.1,502.5,,53.6,
현금및현금성자산,847.3,893.7,"1,222.4","1,437.6",,17.6,
매각예정비유동자산및처분자산,,,257.7,,,,
비유동자산,"17,107.9","17,542.0","15,532.8","19,210.4",,23.7,
유형자산,"14,395.5","14,552.8","12,487.2","15,566.3",,24.7,
무형자산,759.1,919.5,306.2,265.7,,-13.2,
비유동생물자산,,,,,,,
투자부동산,"1,255.2","1,245.2","1,250.6","1,237.3",,-1.1,
투자자산,385.5,328.1,385.0,724.1,,88.1,
장기매출채권및기타채권,83.8,105.3,135.9,4.3,,-96.8,
이연법인세자산,193.3,197.4,189.9,203.9,,7.4,
장기당기법인세자산,,,,,,,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타비유동자산,35.5,193.7,777.9,"1,208.7",,55.4,
기타금융업자산,,,,,,,
*순자산1,"4,869.0","5,829.5","7,153.6","17,636.0",,146.5,
*순자산2,"4,109.9","4,910.0","6,847.3","17,370.3",,153.7,
부채총계,"26,519.4","26,413.5","21,087.7","27,628.7","26,489.1",31.0,-4.1
유동부채,"19,946.3","20,744.2","16,819.0","22,495.1","21,328.3",33.8,-5.2
단기사채,,,,,,,
단기차입금,"12,318.1","13,817.8","9,449.6","7,469.4",,-21.0,
유동성장기부채,931.6,85.4,"1,172.3","1,620.8",,38.3,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
유동금융부채,9.0,29.9,55.0,8.3,,-85.0,
매입채무및기타채무,"6,432.4","6,268.8","5,519.9","10,898.1",,97.4,
유동종업원급여충당부채,,,,,,,
단기충당부채,0.0,3.8,52.4,277.7,,429.8,
당기법인세부채(미지급법인세),28.8,160.0,272.9,"1,799.7",,559.5,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타유동부채,226.3,378.4,296.8,421.2,,41.9,
매각예정으로분류된처분자산에포함된부채,,,,,,,
비유동부채,"6,573.1","5,669.3","4,268.7","5,133.6","5,160.9",20.3,0.5
사채,,,,,,,
장기차입금,"5,736.9","4,515.5","2,980.3","3,338.8",,12.0,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
비유동금융부채,1.6,33.6,141.1,55.1,,-60.9,
장기매입채무및기타채무,264.4,311.6,288.2,286.3,,-0.7,
비유동종업원급여충당부채,40.2,41.8,51.0,26.4,,-48.2,
장기충당부채,,,31.1,32.2,,3.6,
이연법인세부채,515.0,750.3,763.9,"1,384.7",,81.3,
장기당기법인세부채(미지급법인세),,,,,,,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타비유동부채,15.0,16.5,13.1,10.0,,-23.6,
기타금융업부채,,,,,,,
*이자발생부채,"18,986.6","18,452.2","13,699.5","12,484.1",,-8.9,
*순부채,"17,931.4","17,457.1","12,339.7","10,677.8","5,040.0",-13.5,-52.8
*CAPEX,"1,768.8","2,074.2",536.3,"3,829.7","3,410.0",614.0,-11.0
자본총계,"4,869.0","5,829.5","7,153.6","17,636.0","22,306.1",146.5,26.5
지배주주지분,"4,036.7","4,889.6","6,009.7","14,205.2","17,557.9",136.4,23.6
자본금,216.4,216.4,216.4,216.4,218.3,0.0,0.9
신종자본증권,,,,,,,
자본잉여금,"4,061.2","4,061.2","4,036.8","4,037.1",,0.0,
기타자본,-29.7,-29.7,-29.7,-29.7,,0.0,
기타포괄이익누계액,-401.0,-385.7,-495.3,268.5,,154.2,
이익잉여금,189.7,"1,027.4","2,281.5","9,712.8",,325.7,
*(지배)당기순이익,212.4,930.9,"1,368.0","7,703.6",,463.1,
비지배주주지분,832.3,940.0,"1,143.8","3,430.8",,199.9,
*(비지배)당기순이익,102.5,289.4,314.7,"2,375.4",,654.7,
수권주식수,"200,000","200,000","200,000","200,000",,0,
1주당금액,"5,000","5,000","5,000","5,000",,0,
발행주식수,"4,328","4,328","4,328","4,328",,0,
보통주,"4,328","4,328","4,328","4,328",,0,
우선주,,,,,,,
