항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
자산총계,"1,415.5","2,423.8","2,630.3","2,765.8","3,035.0","3,424.0",9.7,12.8
유동자산,794.0,"1,715.7","1,588.9","1,477.9","1,404.5","1,773.0",-5.0,26.2
재고자산,192.7,220.1,268.9,307.3,406.9,,32.4,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,56.5,,,6.7,,,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,35.5,836.7,744.2,528.3,495.8,,-6.1,
매출채권및기타채권,430.6,430.3,424.3,435.1,427.8,,-1.7,
당기법인세자산(선급법인세),0.0,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,0.9,0.7,0.6,0.6,,-7.0,
배출권,,,,,,,,
기타유동자산,5.8,1.3,0.9,1.2,0.6,,-49.3,
현금및현금성자산,129.4,169.9,149.8,205.5,66.2,,-67.8,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,621.5,708.1,"1,041.5","1,287.8","1,630.4",,26.6,
유형자산,466.5,463.1,757.3,908.6,"1,198.8",,31.9,
무형자산,33.8,53.2,54.8,79.7,128.4,,61.0,
비유동생물자산,,,,,,,,
투자부동산,82.1,150.8,151.3,148.1,148.1,,0.0,
투자자산,24.5,25.0,26.5,79.4,108.8,,37.0,
장기매출채권및기타채권,,,,,,,,
이연법인세자산,,,3.7,,,,,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,0.8,0.6,0.5,0.5,,-5.9,
배출권,,,,,,,,
기타비유동자산,14.6,15.2,47.2,71.4,45.8,,-35.9,
기타금융업자산,,,,,,,,
*순자산1,813.0,"2,053.9","2,203.3","2,323.8","2,519.0",,8.4,
*순자산2,779.1,"2,000.7","2,148.5","2,244.1","2,390.6",,6.5,
부채총계,602.5,369.9,427.0,442.0,516.0,757.0,16.7,46.7
유동부채,487.1,296.3,336.6,342.4,408.4,646.0,19.3,58.2
단기사채,,,,,,,,
단기차입금,17.3,4.7,10.6,10.0,84.0,,739.7,
유동성장기부채,211.0,26.1,16.2,14.5,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,,10.0,11.6,11.5,,-0.7,
매입채무및기타채무,194.8,204.0,226.9,248.8,240.9,,-3.2,
유동종업원급여충당부채,,,,,,,,
단기충당부채,14.9,,,,,,,
당기법인세부채(미지급법인세),47.4,37.8,48.5,32.1,45.3,,41.2,
계약부채,,,,,,,,
반품(환불)부채,,21.1,21.6,23.2,24.6,,6.0,
배출부채,,,,,,,,
기타유동부채,1.7,2.5,2.7,2.3,2.2,,-1.0,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,115.4,73.7,90.4,99.6,107.5,111.0,7.9,3.2
사채,,,,,,,,
장기차입금,62.1,15.7,4.5,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,,13.3,9.0,12.3,,37.1,
장기매입채무및기타채무,1.3,3.3,7.3,11.6,5.7,,-50.7,
비유동종업원급여충당부채,27.1,35.4,48.6,58.3,65.5,,12.2,
장기충당부채,12.7,,2.2,2.3,2.3,,1.9,
이연법인세부채,12.1,4.6,,3.1,5.0,,60.6,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,14.7,14.6,15.3,16.7,,9.2,
배출부채,,,,,,,,
기타비유동부채,,,,,,,,
기타금융업부채,,,,,,,,
*이자발생부채,290.5,46.5,54.5,45.0,107.7,,139.5,
*순부채,125.6,"-1,016.6",-839.5,-688.8,-460.9,-618.0,33.1,-34.1
*CAPEX,19.8,32.5,327.9,145.9,336.7,66.0,130.7,-80.4
자본총계,813.0,"2,053.9","2,203.3","2,323.8","2,519.0","2,667.0",8.4,5.9
지배주주지분,809.4,"2,053.9","2,203.3","2,323.8","2,519.0","2,667.0",8.4,5.9
자본금,60.6,81.0,81.0,81.0,88.9,89.0,9.7,0.1
신종자본증권,,,,,,,,
자본잉여금,32.0,"1,052.4","1,052.5","1,052.5","1,044.6",,-0.8,
기타자본,,-25.0,-108.5,-108.5,-109.2,,-0.6,
기타포괄이익누계액,21.7,21.4,21.4,64.7,64.1,,-0.9,
이익잉여금,695.1,924.0,"1,157.0","1,234.2","1,430.6",,15.9,
*(지배)당기순이익,243.0,261.7,283.0,148.9,280.1,,88.1,
비지배주주지분,3.6,,,,,,,
*(비지배)당기순이익,-0.0,-0.0,,,,,,
수권주식수,"20,000","50,000","50,000","50,000","50,000",,0,
1주당금액,500,500,500,500,500,,0,
발행주식수,"12,119","16,200","16,200","16,200","17,773",,10,
보통주,"12,119","16,200","16,200","16,200","17,773",,10,
우선주,,,,,,,,
