항목,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"25,347.0","25,311.0","23,765.9","29,086.8","31,704.3",22.4,9.0
유동자산,"10,310.0","9,839.9","9,392.9","14,352.9","17,292.3",52.8,20.5
재고자산,"4,665.6","4,721.2","3,247.0","5,639.7",,73.7,
유동생물자산,,,,,,,
당기손익-공정가치측정금융자산,,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,
상각후원가측정유가증권,,,,,,,
상각후원가측정금융자산,,,,,,,
단기금융자산,54.9,77.1,44.1,97.8,,121.7,
매출채권및기타채권,"4,425.0","4,394.4","4,426.2","7,032.2",,58.9,
당기법인세자산(선급법인세),0.3,2.0,7.7,71.8,,830.0,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타유동자산,316.4,315.8,224.1,372.8,,66.3,
현금및현금성자산,847.7,318.4,471.3,335.9,,-28.7,
매각예정비유동자산및처분자산,,10.9,972.5,802.9,,-17.4,
비유동자산,"15,037.0","15,471.1","14,373.0","14,733.9",,2.5,
유형자산,"11,967.4","12,760.4","12,043.6","12,243.2",,1.7,
무형자산,"1,077.0",717.4,366.2,366.3,,0.0,
비유동생물자산,,,,,,,
투자부동산,"1,519.6","1,504.0","1,513.9","1,553.1",,2.6,
투자자산,13.3,50.6,50.7,80.4,,58.7,
장기매출채권및기타채권,33.4,38.0,43.6,44.4,,1.8,
이연법인세자산,288.1,232.9,302.0,333.8,,10.5,
장기당기법인세자산,,,,,,,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타비유동자산,138.2,167.8,53.1,112.7,,112.1,
기타금융업자산,,,,,,,
*순자산1,"4,660.2","4,054.0","3,811.1","7,215.9",,89.3,
*순자산2,"3,583.1","3,336.6","3,445.0","6,849.6",,98.8,
부채총계,"20,686.8","21,257.0","19,954.8","21,870.9","21,975.3",9.6,0.5
유동부채,"14,747.2","15,402.3","15,749.1","17,445.1","17,670.0",10.8,1.3
단기사채,,,,,,,
단기차입금,"10,727.0","11,299.3","9,935.9","11,049.9",,11.2,
유동성장기부채,156.6,811.4,"2,299.1",557.8,,-75.7,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
유동금융부채,,48.6,44.7,47.4,,5.9,
매입채무및기타채무,"3,692.4","3,017.6","3,352.4","5,085.8",,51.7,
유동종업원급여충당부채,,,,,,,
단기충당부채,,,,60.8,,,
당기법인세부채(미지급법인세),93.5,152.5,77.0,230.1,,198.8,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타유동부채,77.7,73.0,40.0,413.4,,932.4,
매각예정으로분류된처분자산에포함된부채,,,,,,,
비유동부채,"5,939.7","5,854.6","4,205.7","4,425.8","4,308.7",5.2,-2.6
사채,"2,992.4","3,109.3","1,753.8","2,538.6",,44.8,
장기차입금,"2,538.4","2,291.5","2,008.5","1,261.8",,-37.2,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
비유동금융부채,13.7,28.2,82.9,45.6,,-45.0,
장기매입채무및기타채무,77.2,119.8,125.7,70.9,,-43.6,
비유동종업원급여충당부채,39.6,13.1,19.4,18.7,,-3.6,
장기충당부채,2.5,2.6,4.0,4.3,,7.5,
이연법인세부채,273.5,283.9,206.7,484.1,,134.2,
장기당기법인세부채(미지급법인세),,,,,,,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타비유동부채,2.4,6.3,4.7,2.0,,-58.0,
기타금융업부채,,,,,,,
*이자발생부채,"16,414.3","17,575.1","16,110.1","15,498.5",,-3.8,
*순부채,"15,523.7","17,206.7","15,594.8","15,087.3","12,526.5",-3.3,-17.0
*CAPEX,"1,066.5","2,381.8","1,610.0","1,481.6","1,974.0",-8.0,33.2
자본총계,"4,660.2","4,054.0","3,811.1","7,215.9","9,729.0",89.3,34.8
지배주주지분,"3,858.1","3,234.3","3,128.4","6,040.0","8,062.0",93.1,33.5
자본금,224.0,224.0,224.0,224.0,221.3,0.0,-1.2
신종자본증권,,,,,,,
자본잉여금,"3,841.5","3,841.5","3,841.5","3,841.5",,0.0,
기타자본,-19.1,-19.1,-19.1,-19.1,,0.0,
기타포괄이익누계액,77.5,195.9,95.6,520.5,,444.7,
이익잉여금,-265.8,"-1,008.0","-1,013.6","1,473.1",,245.3,
*(지배)당기순이익,-264.6,-699.9,0.8,"2,507.0",,"318,756.6",
비지배주주지분,802.1,819.7,682.7,"1,175.9",,72.2,
*(비지배)당기순이익,27.2,170.8,67.3,793.3,,"1,078.4",
수권주식수,"200,000","200,000","200,000","200,000",,0,
1주당금액,"5,000","5,000","5,000","5,000",,0,
발행주식수,"4,480","4,480","4,480","4,480",,0,
보통주,"4,480","4,480","4,480","4,480",,0,
우선주,,,,,,,
