항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산,"111,539.4","119,388.7","126,485.5","132,111.8","137,622.6",4.2
현금및예치금,"2,124.1","1,707.1","1,810.3",842.0,902.9,7.2
당기손익인식(지정)금융자산,"1,079.7","1,084.0",794.8,364.1,,
당기손익-공정가치측정금융자산,,,,,,
단기매매금융자산,"1,693.1","2,262.8","2,012.1","1,670.5","1,688.5",1.1
매매목적파생상품자산,20.1,31.2,39.7,32.4,30.8,-4.9
위험회피파생상품자산,612.3,95.1,105.9,789.8,12.9,-98.4
매도가능금융자산,"22,110.8","27,433.7","33,394.1","40,091.1","32,495.3",-18.9
기타포괄손익-공정가치측정금융자산,,,,,,
만기보유금융자산,"36,427.6","41,938.0","44,018.7","44,296.9","56,061.2",26.6
상각후원가측정유가증권,,,,,,
관계기업등지분관련투자자산,,,,,,
기타유가증권,,,,,,
상각후원가측정금융자산,,,,,,
대출채권,"33,757.5","31,682.7","30,561.2","29,772.7","32,041.3",7.6
기타금융업자산,,,,,,
유형자산,936.0,919.7,"1,019.9","1,270.6","1,378.9",8.5
영업권,,,,,,
무형자산,222.7,238.6,277.7,652.7,654.1,0.2
투자부동산,"1,062.4","1,085.3","1,052.7","1,028.8","1,021.9",-0.7
비업무용자산,,,,,,
이연법인세자산,,,,,,
당기법인세자산(선급법인세),35.5,197.8,207.1,214.4,38.4,-82.1
기타자산,"11,452.8","10,708.3","11,186.8","11,081.3","11,291.8",1.9
특별계정자산,4.7,4.6,4.6,4.7,4.7,1.1
부채,"105,246.0","112,568.4","119,365.9","124,874.2","130,716.1",4.7
당기손익인식(지정)금융부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
매도파생결합증권,,,,,,
단기매매금융부채,,,,,,
매매목적파생상품부채,160.5,168.7,63.1,59.1,56.0,-5.3
위험회피파생상품부채,1.3,258.9,189.3,95.9,971.3,912.5
보험계약부채(책임준비금),"100,001.5","105,852.0","111,341.6","116,644.4","121,658.2",4.3
계약자지분조정,,,,,,
비상위험준비금,,,,,,
차입부채,"2,057.9","3,153.9","3,845.6","3,844.4","3,844.1",-0.0
기타금융업부채,,,,,,
비유동종업원급여충당부채,0.9,0.3,-0.1,-0.1,1.6,"3,280.0"
기타충당부채,53.1,53.3,68.9,70.7,70.4,-0.5
이연법인세부채,253.5,327.7,373.9,376.9,127.2,-66.2
당기법인세부채(미지급법인세),,,,,,
기타부채,"2,712.6","2,749.0","3,478.9","3,778.2","3,982.6",5.4
특별계정부채,4.7,4.6,4.6,4.7,4.7,1.1
자본,"6,293.4","6,820.3","7,119.6","7,237.7","6,906.5",-4.6
지배주주지분,"6,293.4","6,820.3","7,119.6","7,237.7","6,906.5",-4.6
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
*비지배주주지분초과손실액,,,,,,
수권주식수,"100,000","100,000","100,000","100,000","200,000",100
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"65,164","65,164","65,164","65,164","65,164",0
보통주,"64,243","64,243","64,243","64,243","64,243",0
우선주,922,922,922,922,922,0
