항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,374.4","1,392.7","1,260.6","1,249.3","1,603.0",28.3
*내수,"1,185.1","1,169.8","1,024.3",963.7,,
*수출,189.3,222.8,236.3,285.6,,
매출원가,"1,276.9","1,235.7","1,087.0","1,037.1","1,373.5",32.4
매출총이익,97.5,157.0,173.5,212.2,229.4,8.2
판매비와관리비,88.6,77.2,75.2,77.2,80.4,4.1
영업이익,8.9,79.7,98.3,134.9,149.1,10.5
*기타영업손익,,,,,,
영업이익(발표기준),8.9,79.7,98.3,134.9,149.1,10.5
*[구K-IFRS]영업이익,,,,,,
금융수익,13.4,4.1,7.9,6.9,10.1,46.1
금융원가,8.4,8.8,7.7,16.4,7.7,-53.4
기타영업외손익,0.3,-1.3,140.1,0.6,-2.6,-548.3
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,14.3,73.6,238.6,126.0,148.9,18.2
법인세비용,-1.9,15.1,60.2,26.5,31.7,19.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,16.2,58.6,178.4,99.5,117.3,17.9
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,16.2,58.6,178.4,99.5,117.3,17.9
기타포괄이익,1.3,-1.0,-1.1,10.3,13.1,26.9
총포괄이익,17.5,57.6,177.3,109.8,130.4,18.7
*주당계속사업이익,"1,124","1,638","4,926","2,763","3,271",18
*주당순이익,"1,124","1,638","4,926","2,763","3,271",18
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"1,124","1,638","4,926","2,763","3,271",18
*(지배주주지분)주당순이익,"1,124","1,638","4,926","2,763","3,271",18
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
