항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,419,323,523,239,479,614,100,28
  당기순이익(지배)＜당기＞,128.3,99.0,160.2,73.3,146.8,188.0, , 
  보통주수정평균발행주식수＜당기＞,"30,624,879","30,624,879","30,624,879","30,624,879","30,624,879",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"3,825","4,078","4,591","4,410","5,107","5,717",16,12
  자본총계(지배)＜당기＞,"1,171.5","1,248.9","1,406.1","1,332.9","1,543.8","1,728.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"30,624,879","30,624,879","30,624,879","30,227,576","30,227,576","30,227,576", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-242,672,-744,-447,"-1,061",883,-137,183
  영업활동현금흐름＜당기＞,-74.1,205.9,-227.8,-137.0,-324.8,110.0, , 
  보통주수정평균발행주식수＜당기＞,"30,624,879","30,624,879","30,624,879","30,624,879","30,624,879",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"13,183","14,409","16,990","18,926","24,510","27,140",30,11
  매출액＜당기＞,"4,037.4","4,412.7","5,203.0","5,796.1","7,506.2","8,311.5", , 
  보통주수정평균발행주식수＜당기＞,"30,624,879","30,624,879","30,624,879","30,624,879","30,624,879",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,15.02,17.42,15.33,32.53,16.54,12.59,-49.15,-23.87
  보통주수정주가(기말)＜당기＞,"6,290","5,630","8,020","7,780","7,930","7,730", , 
  EPS＜당기＞,419,323,523,239,479,614, , 
펼치기 PBR,1.64,1.38,1.75,1.76,1.55,1.35,-12.00,-12.91
  보통주수정주가(기말)＜당기＞,"6,290","5,630","8,020","7,780","7,930","7,730", , 
  BPS＜당기＞,"3,825","4,078","4,591","4,410","5,107","5,717", , 
펼치기 PCR,-25.99,8.38,-10.78,-17.39,-7.48,8.75,57.00,217.05
  보통주수정주가(기말)＜당기＞,"6,290","5,630","8,020","7,780","7,930","7,730", , 
  CPS＜당기＞,-242,672,-744,-447,"-1,061",883, , 
펼치기 PSR,0.48,0.39,0.47,0.41,0.32,0.28,-21.29,-11.97
  보통주수정주가(기말)＜당기＞,"6,290","5,630","8,020","7,780","7,930","7,730", , 
  SPS＜당기＞,"13,183","14,409","16,990","18,926","24,510","27,140", , 
펼치기 EV/EBITDA,8.21,8.37,9.36,13.98,11.05,9.63,-20.93,-12.87
  EV＜당기＞,"2,029.7","1,943.6","3,084.2","3,270.9","3,867.5","3,759.8", , 
  EBITDA＜당기＞,247.2,232.2,329.5,234.0,350.0,390.5, , 
펼치기 DPS,160,160,180,200,240,,20, 
  현금DPS,160,160,180,200,240,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,2.54,2.84,2.24,2.57,3.03,3.10,0.46,0.08
  현금배당성향(%),38.20,49.50,34.40,82.53,49.41,39.10,-33.12,-10.31
