항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,161","1,056",561,728,445,779,-39,75
  당기순이익(지배)＜당기＞,"1,134.0","1,031.4",548.0,711.4,434.6,761.0, , 
  보통주수정평균발행주식수＜당기＞,"97,704,482","97,704,482","97,704,482","97,704,482","97,704,482","97,704,482", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"19,173","19,565","19,669","20,402","20,905","21,432",2,3
  자본총계(지배)＜당기＞,"16,739.2","17,081.9","17,172.4","17,812.2","18,251.3","18,712.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"87,306,927","87,306,927","87,306,927","87,306,927","87,306,927",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,089",977,"1,813","1,714",157,"1,320",-91,739
  영업활동현금흐름＜당기＞,"1,064.2",954.2,"1,771.7","1,674.2",153.8,"1,274.0", , 
  보통주수정평균발행주식수＜당기＞,"97,704,482","97,704,482","97,704,482","97,704,482","97,704,482","97,704,482", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"25,935","33,281","31,977","33,146","35,680","36,521",8,2
  매출액＜당기＞,"25,339.7","32,517.4","31,243.4","32,384.9","34,860.8","35,683.0", , 
  보통주수정평균발행주식수＜당기＞,"97,704,482","97,704,482","97,704,482","97,704,482","97,704,482","97,704,482", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,12.88,13.55,21.13,12.03,19.27,11.07,60.14,-42.56
  보통주수정주가(기말)＜당기＞,"14,950","14,300","11,850","8,760","8,570","8,620", , 
  EPS＜당기＞,"1,161","1,056",561,728,445,779, , 
펼치기 PBR,0.78,0.73,0.60,0.43,0.41,0.40,-4.52,-1.89
  보통주수정주가(기말)＜당기＞,"14,950","14,300","11,850","8,760","8,570","8,620", , 
  BPS＜당기＞,"19,173","19,565","19,669","20,402","20,905","21,432", , 
펼치기 PCR,13.73,14.64,6.54,5.11,54.45,6.53,965.12,-88.01
  보통주수정주가(기말)＜당기＞,"14,950","14,300","11,850","8,760","8,570","8,620", , 
  CPS＜당기＞,"1,089",977,"1,813","1,714",157,"1,320", , 
펼치기 PSR,0.58,0.43,0.37,0.26,0.24,0.24,-9.12,-1.73
  보통주수정주가(기말)＜당기＞,"14,950","14,300","11,850","8,760","8,570","8,620", , 
  SPS＜당기＞,"25,935","33,281","31,977","33,146","35,680","36,521", , 
펼치기 EV/EBITDA,12.72,6.06,5.87,4.16,6.29,,51.45, 
  EV＜당기＞,"14,483.1","10,813.8","8,887.2","5,986.6","8,150.2",, , 
  EBITDA＜당기＞,"1,138.9","1,785.4","1,514.8","1,440.5","1,294.8","1,063.0", , 
펼치기 DPS,80,210,210,210,210,,0, 
  현금DPS,80,210,210,210,210,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.54,1.47,1.77,2.40,2.45,2.44,0.05,-0.01
  현금배당성향(%),6.16,17.78,33.46,25.77,42.19,26.96,16.42,-15.23
