항목,"2017/12
(IFRS별도)",2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"2,357","1,284","-1,636","-5,235","-2,815","-1,966",46,30
  당기순이익(지배)＜당기＞,740.8,444.7,-566.5,"-1,904.0","-1,335.8","-1,026.5", , 
  보통주수정평균발행주식수＜당기＞,"31,429,733","34,626,781","34,626,781","36,374,079","47,457,629","52,200,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,694","7,688","5,615","2,134","3,352","1,462",57,-56
  자본총계(지배)＜당기＞,"2,318.0","2,661.9","1,917.5",981.6,"1,727.5",753.2, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"34,626,780","34,626,780","34,149,280","45,997,823","51,533,634","51,533,634", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"3,966","1,581","1,864","-4,724","-1,552",-360,67,77
  영업활동현금흐름＜당기＞,"1,246.6",547.4,645.5,"-1,718.2",-736.7,-282.8, , 
  보통주수정평균발행주식수＜당기＞,"31,429,733","34,626,781","34,626,781","36,374,079","47,457,629","52,200,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"28,266","29,188","26,285","7,472","5,209","10,754",-30,106
  매출액＜당기＞,"8,883.9","10,106.8","9,101.6","2,717.7","2,471.9","5,613.8", , 
  보통주수정평균발행주식수＜당기＞,"31,429,733","34,626,781","34,626,781","36,374,079","47,457,629","52,200,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,9.77,13.02,N/A,N/A,N/A,N/A,-138.23,-46.57
  보통주수정주가(기말)＜당기＞,"23,018","16,721","13,290","13,036","16,700","17,100", , 
  EPS＜당기＞,"2,357","1,284","-1,636","-5,235","-2,815","-1,966", , 
펼치기 PBR,3.44,2.18,2.37,6.11,4.98,11.70,-18.45,134.85
  보통주수정주가(기말)＜당기＞,"23,018","16,721","13,290","13,036","16,700","17,100", , 
  BPS＜당기＞,"6,694","7,688","5,615","2,134","3,352","1,462", , 
펼치기 PCR,5.80,10.58,7.13,-2.76,-10.76,-47.48,-289.79,-341.36
  보통주수정주가(기말)＜당기＞,"23,018","16,721","13,290","13,036","16,700","17,100", , 
  CPS＜당기＞,"3,966","1,581","1,864","-4,724","-1,552",-360, , 
펼치기 PSR,0.81,0.57,0.51,1.74,3.21,1.59,83.75,-50.41
  보통주수정주가(기말)＜당기＞,"23,018","16,721","13,290","13,036","16,700","17,100", , 
  SPS＜당기＞,"28,266","29,188","26,285","7,472","5,209","10,754", , 
펼치기 EV/EBITDA,4.30,2.88,6.44,-12.04,-11.79,"2,371.56",2.05,"20,207.61"
  EV＜당기＞,"4,912.5","2,376.1","4,542.5","8,343.4","10,389.0","10,197.7", , 
  EBITDA＜당기＞,"1,143.0",825.2,705.3,-692.9,-880.8,4.3, , 
펼치기 DPS,217,260,0,0,,, , 
  현금DPS,217,260,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.94,1.55,0.00,0.00,,0.00, , 
  현금배당성향(%),10.12,20.24,0.00,0.00,,, , 
