항목,"2020/01
(IFRS별도)","2020/06
(IFRS별도)",2020/12,2021/06,2021/12,"2022/06(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-161,-12,100,109,103,,-6, 
  당기순이익(지배)＜당기＞,-0.1,-0.9,151.5,180.8,170.1,, , 
  보통주수정평균발행주식수＜당기＞,"87,123","7,539,073","151,366,304",,,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,,,, , 
펼치기 BPS,945,"4,921","4,969","4,921","4,867",,-1, 
  자본총계(지배)＜당기＞,2.8,"3,375.5","8,229.2","8,148.6","8,059.1",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"300,000","68,600,000","165,600,000","165,600,000","165,600,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,,-6,75,193,157,,-19, 
  영업활동현금흐름＜당기＞,,-0.4,113.7,319.9,260.3,, , 
  보통주수정평균발행주식수＜당기＞,"87,123","7,539,073","151,366,304",,,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,,,, , 
펼치기 SPS,0,0,280,328,279,,-15, 
  매출액＜당기＞,,,423.7,543.4,462.7,, , 
  보통주수정평균발행주식수＜당기＞,"87,123","7,539,073","151,366,304",,,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,,,, , 
펼치기 PER,,,51.55,47.25,51.88,,9.80, 
  보통주수정주가(기말)＜당기＞,,,,,"5,330","5,630", , 
  EPS＜당기＞,-161,-12,100,109,103,, , 
펼치기 PBR,0.00,0.00,1.04,1.05,1.10,,4.44, 
  보통주수정주가(기말)＜당기＞,,,,,"5,330","5,630", , 
  BPS＜당기＞,945,"4,921","4,969","4,921","4,867",, , 
펼치기 PCR,,,68.68,26.71,33.91,,26.95, 
  보통주수정주가(기말)＜당기＞,,,,,"5,330","5,630", , 
  CPS＜당기＞,,-6,75,193,157,, , 
펼치기 PSR,,,18.43,15.73,19.08,,21.30, 
  보통주수정주가(기말)＜당기＞,,,,,"5,330","5,630", , 
  SPS＜당기＞,0,0,280,328,279,, , 
펼치기 EV/EBITDA,,,50.96,49.52,49.58,,0.12, 
  EV＜당기＞,,,"17,338.3","17,322.4","17,709.8",, , 
  EBITDA＜당기＞,-0.1,-1.1,340.2,349.8,357.2,, , 
펼치기 DPS,0,0,153,190,,, , 
  현금DPS,0,0,153,190,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,2.97,3.68,,, , 
  현금배당성향(%),0.00,0.00,167.24,173.99,184.95,,10.97, 
