항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,463,306,-143,-299,68,,123, 
  당기순이익(지배)＜당기＞,92.7,61.3,-28.7,-59.9,13.6,, , 
  보통주수정평균발행주식수＜당기＞,"20,020,000","20,020,000","20,020,000","20,020,000","20,020,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"8,064","7,746","7,390","7,024","6,905",,-2, 
  자본총계(지배)＜당기＞,"1,614.1","1,536.9","1,466.3","1,366.7","1,358.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"20,015,531","19,841,058","19,841,058","19,457,224","19,666,474","19,666,474", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,232,410,-185,-20,564,,"2,907", 
  영업활동현금흐름＜당기＞,46.5,82.2,-37.0,-4.0,113.0,, , 
  보통주수정평균발행주식수＜당기＞,"20,020,000","20,020,000","20,020,000","20,020,000","20,020,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"2,916","2,473","2,091","2,584","2,881",,11, 
  매출액＜당기＞,583.7,495.2,418.6,517.3,576.8,, , 
  보통주수정평균발행주식수＜당기＞,"20,020,000","20,020,000","20,020,000","20,020,000","20,020,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,13.08,18.67,N/A,N/A,58.56,,493.00, 
  보통주수정주가(기말)＜당기＞,"6,060","5,720","4,460","4,460","3,980","4,115", , 
  EPS＜당기＞,463,306,-143,-299,68,, , 
펼치기 PBR,0.75,0.74,0.60,0.63,0.58,,-9.23, 
  보통주수정주가(기말)＜당기＞,"6,060","5,720","4,460","4,460","3,980","4,115", , 
  BPS＜당기＞,"8,064","7,746","7,390","7,024","6,905",, , 
펼치기 PCR,26.10,13.93,-24.14,-221.82,7.05,,103.18, 
  보통주수정주가(기말)＜당기＞,"6,060","5,720","4,460","4,460","3,980","4,115", , 
  CPS＜당기＞,232,410,-185,-20,564,, , 
펼치기 PSR,2.08,2.31,2.13,1.73,1.38,,-19.96, 
  보통주수정주가(기말)＜당기＞,"6,060","5,720","4,460","4,460","3,980","4,115", , 
  SPS＜당기＞,"2,916","2,473","2,091","2,584","2,881",, , 
펼치기 EV/EBITDA,-113.71,17.13,-50.26,-145.78,10.93,,107.50, 
  EV＜당기＞,757.5,574.8,444.4,546.2,437.1,, , 
  EBITDA＜당기＞,-6.7,33.6,-8.8,-3.7,40.0,, , 
펼치기 DPS,572,210,135,135,120,,-11, 
  현금DPS,572,210,135,135,120,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,9.44,3.67,3.03,3.03,3.02,,-0.01, 
  현금배당성향(%),123.49,67.92,-93.38,-43.84,173.45,,217.29, 
