항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,309",774,590,349,952,,173, 
  당기순이익(지배)＜당기＞,853.0,504.4,384.3,227.1,620.5,, , 
  보통주수정평균발행주식수＜당기＞,"64,242,645","64,242,645","64,242,645","64,242,645","64,242,645","64,242,645", , 
  우선주수정평균발행주식수＜당기＞,"921,600","921,600","921,600","921,600","921,600","921,600", , 
펼치기 BPS,"9,658","10,466","10,926","11,107","10,599",,-5, 
  자본총계(지배)＜당기＞,"6,293.4","6,820.3","7,119.6","7,237.7","6,906.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"64,242,645","64,242,645","64,242,645","64,242,645","64,242,645","64,242,645", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"921,600","921,600","921,600","921,600","921,600","921,600", , 
펼치기 CPS,"15,263","14,172","12,472","12,781","5,979",,-53, 
  영업활동현금흐름＜당기＞,"9,945.8","9,235.0","8,127.3","8,329.0","3,896.0",, , 
  보통주수정평균발행주식수＜당기＞,"64,242,645","64,242,645","64,242,645","64,242,645","64,242,645","64,242,645", , 
  우선주수정평균발행주식수＜당기＞,"921,600","921,600","921,600","921,600","921,600","921,600", , 
펼치기 SPS,"65,447","63,794","65,500","68,948","69,280",,0, 
  매출액＜당기＞,"42,647.7","41,570.7","42,682.3","44,929.6","45,146.0",, , 
  보통주수정평균발행주식수＜당기＞,"64,242,645","64,242,645","64,242,645","64,242,645","64,242,645","64,242,645", , 
  우선주수정평균발행주식수＜당기＞,"921,600","921,600","921,600","921,600","921,600","921,600", , 
펼치기 PER,4.09,6.08,5.20,8.12,3.78,,-53.44, 
  보통주수정주가(기말)＜당기＞,"5,350","4,705","3,065","2,830","3,600","3,755", , 
  EPS＜당기＞,"1,309",774,590,349,952,, , 
펼치기 PBR,0.55,0.45,0.28,0.25,0.34,,33.31, 
  보통주수정주가(기말)＜당기＞,"5,350","4,705","3,065","2,830","3,600","3,755", , 
  BPS＜당기＞,"9,658","10,466","10,926","11,107","10,599",, , 
펼치기 PCR,0.35,0.33,0.25,0.22,0.60,,171.96, 
  보통주수정주가(기말)＜당기＞,"5,350","4,705","3,065","2,830","3,600","3,755", , 
  CPS＜당기＞,"15,263","14,172","12,472","12,781","5,979",, , 
펼치기 PSR,0.08,0.07,0.05,0.04,0.05,,26.58, 
  보통주수정주가(기말)＜당기＞,"5,350","4,705","3,065","2,830","3,600","3,755", , 
  SPS＜당기＞,"65,447","63,794","65,500","68,948","69,280",, , 
펼치기 EV/EBITDA,2.80,5.93,6.19,10.85,5.23,,-51.75, 
  EV＜당기＞,"3,442.3","4,547.6","4,072.3","4,907.7","5,358.5",, , 
  EBITDA＜당기＞,"1,228.7",766.4,657.5,452.5,"1,024.0",, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
