항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,302","1,257","1,170","-1,040","-1,831",-454,-76,75
  당기순이익(지배)＜당기＞,805.4,777.4,724.0,-643.3,"-1,132.7",-280.9, , 
  보통주수정평균발행주식수＜당기＞,"61,855,670","61,855,670","61,855,670","61,855,670","61,855,670",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"8,602","9,087","9,460","7,863","6,201","5,649",-21,-9
  자본총계(지배)＜당기＞,"5,320.5","5,620.9","5,851.7","4,863.9","3,835.5","3,494.3", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"61,855,670","61,855,670","61,855,670","61,855,670","61,855,670",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,268","1,501","1,901","-2,247","-2,073",32,8,102
  영업활동현금흐름＜당기＞,784.5,928.5,"1,175.9","-1,389.8","-1,282.2",-19.6, , 
  보통주수정평균발행주식수＜당기＞,"61,855,670","61,855,670","61,855,670","61,855,670","61,855,670",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"8,104","7,765","7,934","2,982","1,376","3,934",-54,186
  매출액＜당기＞,"5,013.0","4,803.4","4,907.5","1,844.6",850.9,"2,433.4", , 
  보통주수정평균발행주식수＜당기＞,"61,855,670","61,855,670","61,855,670","61,855,670","61,855,670",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,22.46,19.81,16.62,N/A,N/A,N/A,55.28,-346.22
  보통주수정주가(기말)＜당기＞,"29,250","24,900","19,450","16,700","13,150","14,550", , 
  EPS＜당기＞,"1,302","1,257","1,170","-1,040","-1,831",-454, , 
펼치기 PBR,3.40,2.74,2.06,2.12,2.12,2.58,-0.14,21.45
  보통주수정주가(기말)＜당기＞,"29,250","24,900","19,450","16,700","13,150","14,550", , 
  BPS＜당기＞,"8,602","9,087","9,460","7,863","6,201","5,649", , 
펼치기 PCR,23.06,16.59,10.23,-7.43,-6.34,453.24,14.65,"7,244.43"
  보통주수정주가(기말)＜당기＞,"29,250","24,900","19,450","16,700","13,150","14,550", , 
  CPS＜당기＞,"1,268","1,501","1,901","-2,247","-2,073",32, , 
펼치기 PSR,3.61,3.21,2.45,5.60,9.56,3.70,70.71,-61.31
  보통주수정주가(기말)＜당기＞,"29,250","24,900","19,450","16,700","13,150","14,550", , 
  SPS＜당기＞,"8,104","7,765","7,934","2,982","1,376","3,934", , 
펼치기 EV/EBITDA,10.20,9.13,6.52,-16.07,-5.95,-74.34,62.97,"-1,149.39"
  EV＜당기＞,"12,653.9","11,071.6","8,730.2","8,060.9","6,514.8","7,992.5", , 
  EBITDA＜당기＞,"1,240.8","1,213.2","1,339.1",-501.6,"-1,095.0",-107.5, , 
펼치기 DPS,730,710,659,,,, , 
  현금DPS,730,710,659,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,2.50,2.85,3.39,,,1.20, , 
  현금배당성향(%),56.07,56.49,56.31,0.00,,-38.37, , 
