항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,346,-578,211,-81,-253,"1,092", ,531
  당기순이익(지배)＜당기＞,44.0,-73.6,26.8,-10.4,-32.3,139.0, , 
  보통주수정평균발행주식수＜당기＞,"12,731,947","12,731,947","12,731,947","12,731,947","12,731,947","12,731,947", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"22,424","21,717","21,895","21,785","21,552","22,644", ,5
  자본총계(지배)＜당기＞,"2,855.1","2,765.0","2,787.7","2,773.6","2,743.9","2,883.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,731,947","12,731,947","12,731,947","12,731,947","12,731,947",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,524,"1,247",917,876,-853,"1,720", ,302
  영업활동현금흐름＜당기＞,66.8,158.7,116.8,111.5,-108.6,183.0, , 
  보통주수정평균발행주식수＜당기＞,"12,731,947","12,731,947","12,731,947","12,731,947","12,731,947","12,731,947", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"17,353","16,151","15,356","14,614","17,798","20,162", ,13
  매출액＜당기＞,"2,209.4","2,056.4","1,955.1","1,860.7","2,266.1","2,567.0", , 
  보통주수정평균발행주식수＜당기＞,"12,731,947","12,731,947","12,731,947","12,731,947","12,731,947","12,731,947", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,36.75,N/A,36.16,N/A,N/A,8.62, ,123.62
  보통주수정주가(기말)＜당기＞,"12,700","10,350","7,620","9,430","9,250","9,410", , 
  EPS＜당기＞,346,-578,211,-81,-253,"1,092", , 
펼치기 PBR,0.57,0.48,0.35,0.43,0.43,0.42, ,-3.18
  보통주수정주가(기말)＜당기＞,"12,700","10,350","7,620","9,430","9,250","9,410", , 
  BPS＜당기＞,"22,424","21,717","21,895","21,785","21,552","22,644", , 
펼치기 PCR,24.22,8.30,8.31,10.77,-10.85,5.47, ,150.44
  보통주수정주가(기말)＜당기＞,"12,700","10,350","7,620","9,430","9,250","9,410", , 
  CPS＜당기＞,524,"1,247",917,876,-853,"1,720", , 
펼치기 PSR,0.73,0.64,0.50,0.65,0.52,0.47, ,-10.20
  보통주수정주가(기말)＜당기＞,"12,700","10,350","7,620","9,430","9,250","9,410", , 
  SPS＜당기＞,"17,353","16,151","15,356","14,614","17,798","20,162", , 
펼치기 EV/EBITDA,5.41,6.64,2.73,8.91,4.87,3.45, ,-29.19
  EV＜당기＞,"1,116.8",711.0,316.5,669.5,"1,133.6",845.1, , 
  EBITDA＜당기＞,206.4,107.1,116.1,75.2,232.7,245.0, , 
펼치기 DPS,70,0,38,,,, , 
  현금DPS,70,0,38,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,0.55,0.00,0.50,,,0.00, , 
  현금배당성향(%),20.26,0.00,18.03,0.00,,, , 
