항목,,,,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,"2,760",, , 
  당기순이익(지배)＜당기＞,,,,,"1,428.7",, , 
  보통주수정평균발행주식수＜당기＞,,,,,"50,784,131","76,280,690", , 
  우선주수정평균발행주식수＜당기＞,,,,,"975,519","1,465,285", , 
펼치기 BPS,,,,,"18,209",, , 
  자본총계(지배)＜당기＞,,,,,"14,146.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"76,234,929","76,234,929", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"1,455,620","1,455,620", , 
펼치기 CPS,,,,,-439,, , 
  영업활동현금흐름＜당기＞,,,,,-227.4,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"50,784,131","76,280,690", , 
  우선주수정평균발행주식수＜당기＞,,,,,"975,519","1,465,285", , 
펼치기 SPS,,,,,"3,590",, , 
  매출액＜당기＞,,,,,"1,858.1",, , 
  보통주수정평균발행주식수＜당기＞,,,,,"50,784,131","76,280,690", , 
  우선주수정평균발행주식수＜당기＞,,,,,"975,519","1,465,285", , 
펼치기 PER,,,,,3.62,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,000","9,720", , 
  EPS＜당기＞,,,,,"2,760",, , 
펼치기 PBR,,,,,0.55,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,000","9,720", , 
  BPS＜당기＞,,,,,"18,209",, , 
펼치기 PCR,,,,,-22.76,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,000","9,720", , 
  CPS＜당기＞,,,,,-439,, , 
펼치기 PSR,,,,,2.79,, , 
  보통주수정주가(기말)＜당기＞,,,,,"10,000","9,720", , 
  SPS＜당기＞,,,,,"3,590",, , 
펼치기 EV/EBITDA,,,,,4.41,, , 
  EV＜당기＞,,,,,"6,545.7",, , 
  EBITDA＜당기＞,,,,,"1,484.2",, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
