항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,240,227,264,212,717,,238, 
  당기순이익(지배)＜당기＞,83.4,79.0,92.0,73.9,249.4,, , 
  보통주수정평균발행주식수＜당기＞,"34,802,000","34,802,000","34,802,000","34,802,000","34,802,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"4,767","4,737","4,975","5,063","5,909",,17, 
  자본총계(지배)＜당기＞,"1,612.5","1,602.5","1,682.7","1,674.0","1,917.4",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"33,826,540","33,826,540","33,826,540","33,062,029","32,451,919","32,451,919", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,437,153,"1,053",643,"1,408",,119, 
  영업활동현금흐름＜당기＞,152.1,53.3,366.3,223.7,490.1,, , 
  보통주수정평균발행주식수＜당기＞,"34,802,000","34,802,000","34,802,000","34,802,000","34,802,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"12,589","12,954","12,960","13,035","13,448",,3, 
  매출액＜당기＞,"4,381.3","4,508.3","4,510.3","4,536.4","4,680.0",, , 
  보통주수정평균발행주식수＜당기＞,"34,802,000","34,802,000","34,802,000","34,802,000","34,802,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,12.61,10.77,8.70,12.13,3.54,,-70.79, 
  보통주수정주가(기말)＜당기＞,"3,020","2,445","2,300","2,575","2,540","2,585", , 
  EPS＜당기＞,240,227,264,212,717,, , 
펼치기 PBR,0.63,0.52,0.46,0.51,0.43,,-15.47, 
  보통주수정주가(기말)＜당기＞,"3,020","2,445","2,300","2,575","2,540","2,585", , 
  BPS＜당기＞,"4,767","4,737","4,975","5,063","5,909",, , 
펼치기 PCR,6.91,15.96,2.19,4.01,1.80,,-54.99, 
  보통주수정주가(기말)＜당기＞,"3,020","2,445","2,300","2,575","2,540","2,585", , 
  CPS＜당기＞,437,153,"1,053",643,"1,408",, , 
펼치기 PSR,0.24,0.19,0.18,0.20,0.19,,-4.39, 
  보통주수정주가(기말)＜당기＞,"3,020","2,445","2,300","2,575","2,540","2,585", , 
  SPS＜당기＞,"12,589","12,954","12,960","13,035","13,448",, , 
펼치기 EV/EBITDA,3.78,2.43,2.68,2.77,3.04,,9.87, 
  EV＜당기＞,561.4,308.4,925.1,800.3,"1,105.5",, , 
  EBITDA＜당기＞,148.6,126.7,345.8,288.9,363.2,, , 
펼치기 DPS,80,80,90,80,100,,25, 
  현금DPS,80,80,90,80,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,2.65,3.27,3.91,3.11,3.94,,0.83, 
  현금배당성향(%),32.46,34.25,33.08,35.91,13.01,,-22.90, 
