항목,,,,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,5,, , 
  당기순이익(지배)＜당기＞,,,,,1.5,, , 
  보통주수정평균발행주식수＜당기＞,,,,,,, , 
  우선주수정평균발행주식수＜당기＞,,,,,,, , 
펼치기 BPS,,,,,"1,951",, , 
  자본총계(지배)＜당기＞,,,,,"1,000.6",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,,"51,290,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,,0,, , 
펼치기 CPS,,,,,-2,, , 
  영업활동현금흐름＜당기＞,,,,,-0.5,, , 
  보통주수정평균발행주식수＜당기＞,,,,,,, , 
  우선주수정평균발행주식수＜당기＞,,,,,,, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,,, , 
  우선주수정평균발행주식수＜당기＞,,,,,,, , 
펼치기 PER,,,,,453.10,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,065","2,140", , 
  EPS＜당기＞,,,,,5,, , 
펼치기 PBR,,,,,1.06,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,065","2,140", , 
  BPS＜당기＞,,,,,"1,951",, , 
펼치기 PCR,,,,,"-1,362.44",, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,065","2,140", , 
  CPS＜당기＞,,,,,-2,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,065","2,140", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,"-2,392.99",, , 
  EV＜당기＞,,,,,"1,211.4",, , 
  EBITDA＜당기＞,,,,,-0.5,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
