항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-214,-581,-50,36,134,,274, 
  당기순이익(지배)＜당기＞,-59.0,-160.0,-13.8,9.8,36.8,, , 
  보통주수정평균발행주식수＜당기＞,"27,549,644","27,549,644","27,549,644","27,549,644","27,549,644","27,549,644", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,470",961,791,752,"1,200",,60, 
  자본총계(지배)＜당기＞,404.9,264.7,218.0,207.2,330.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"27,549,644","27,549,644","27,549,644","27,549,644","27,549,644","27,549,644", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-268,-102,33,104,59,,-44, 
  영업활동현금흐름＜당기＞,-73.9,-28.1,9.0,28.7,16.1,, , 
  보통주수정평균발행주식수＜당기＞,"27,549,644","27,549,644","27,549,644","27,549,644","27,549,644","27,549,644", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,133",800,"1,043",709,"1,049",,48, 
  매출액＜당기＞,312.1,220.3,287.3,195.4,289.0,, , 
  보통주수정평균발행주식수＜당기＞,"27,549,644","27,549,644","27,549,644","27,549,644","27,549,644","27,549,644", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,40.04,22.86,,-42.91, 
  보통주수정주가(기말)＜당기＞,"2,935","1,660","1,485","1,430","3,055","2,065", , 
  EPS＜당기＞,-214,-581,-50,36,134,, , 
펼치기 PBR,2.00,1.73,1.88,1.90,2.55,,33.93, 
  보통주수정주가(기말)＜당기＞,"2,935","1,660","1,485","1,430","3,055","2,065", , 
  BPS＜당기＞,"1,470",961,791,752,"1,200",, , 
펼치기 PCR,-10.94,-16.28,45.28,13.73,52.21,,280.27, 
  보통주수정주가(기말)＜당기＞,"2,935","1,660","1,485","1,430","3,055","2,065", , 
  CPS＜당기＞,-268,-102,33,104,59,, , 
펼치기 PSR,2.59,2.08,1.42,2.02,2.91,,44.44, 
  보통주수정주가(기말)＜당기＞,"2,935","1,660","1,485","1,430","3,055","2,065", , 
  SPS＜당기＞,"1,133",800,"1,043",709,"1,049",, , 
펼치기 EV/EBITDA,-29.97,-5.78,21.27,10.57,15.06,,42.56, 
  EV＜당기＞,709.9,371.8,325.2,318.1,774.0,, , 
  EBITDA＜당기＞,-23.7,-64.3,15.3,30.1,51.4,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
