항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,21,18,11,7,28,,330, 
  당기순이익(지배)＜당기＞,12.4,11.1,6.5,3.9,16.9,, , 
  보통주수정평균발행주식수＜당기＞,"59,900,000","59,900,000","59,900,000","59,900,000","59,900,000","59,900,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,722,731,734,735,760,,4, 
  자본총계(지배)＜당기＞,432.2,437.6,439.5,440.0,455.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"59,900,000","59,900,000","59,900,000","59,900,000","59,900,000","59,900,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,12,56,24,34,20,,-42, 
  영업활동현금흐름＜당기＞,7.1,33.8,14.6,20.3,11.8,, , 
  보통주수정평균발행주식수＜당기＞,"59,900,000","59,900,000","59,900,000","59,900,000","59,900,000","59,900,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,559,564,603,639,664,,4, 
  매출액＜당기＞,334.6,337.6,361.2,382.9,397.6,, , 
  보통주수정평균발행주식수＜당기＞,"59,900,000","59,900,000","59,900,000","59,900,000","59,900,000","59,900,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,52.22,111.12,188.42,372.75,69.97,,-81.23, 
  보통주수정주가(기말)＜당기＞,"1,080","2,050","2,040","2,455","1,980","1,900", , 
  EPS＜당기＞,21,18,11,7,28,, , 
펼치기 PBR,1.50,2.81,2.78,3.34,2.60,,-22.08, 
  보통주수정주가(기말)＜당기＞,"1,080","2,050","2,040","2,455","1,980","1,900", , 
  BPS＜당기＞,722,731,734,735,760,, , 
펼치기 PCR,91.66,36.36,83.51,72.44,100.72,,39.02, 
  보통주수정주가(기말)＜당기＞,"1,080","2,050","2,040","2,455","1,980","1,900", , 
  CPS＜당기＞,12,56,24,34,20,, , 
펼치기 PSR,1.93,3.64,3.38,3.84,2.98,,-22.33, 
  보통주수정주가(기말)＜당기＞,"1,080","2,050","2,040","2,455","1,980","1,900", , 
  SPS＜당기＞,559,564,603,639,664,, , 
펼치기 EV/EBITDA,22.50,42.79,47.74,67.86,32.15,,-52.62, 
  EV＜당기＞,629.2,"1,218.2","1,232.5","1,482.8","1,200.1",, , 
  EBITDA＜당기＞,28.0,28.5,25.8,21.8,37.3,, , 
펼치기 DPS,7,5,5,4,5,,25, 
  현금DPS,7,5,5,4,5,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.65,0.24,0.25,0.16,0.25,,0.09, 
  현금배당성향(%),33.85,27.10,46.18,60.73,17.67,,-43.06, 
