항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,770,329,-407,129,-39,,-131, 
  당기순이익(지배)＜당기＞,540.2,231.7,-286.8,90.6,-27.8,, , 
  보통주수정평균발행주식수＜당기＞,"70,193,295","70,444,707","70,444,707","70,444,706","70,444,706","70,444,706", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,363","2,586","1,494","1,553","1,356",,-13, 
  자본총계(지배)＜당기＞,"1,661.1","1,818.2","1,050.1","1,091.9",932.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"70,307,522","70,303,543","70,298,867","70,293,482","68,787,690","68,787,690", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,150,"2,779","1,401","1,542","1,556",,1, 
  영업활동현금흐름＜당기＞,105.1,"1,957.6",986.8,"1,086.2","1,096.4",, , 
  보통주수정평균발행주식수＜당기＞,"70,193,295","70,444,707","70,444,707","70,444,706","70,444,706","70,444,706", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"9,704","10,297","10,336","11,094","11,199",,1, 
  매출액＜당기＞,"6,811.6","7,253.8","7,280.8","7,815.1","7,889.4",, , 
  보통주수정평균발행주식수＜당기＞,"70,193,295","70,444,707","70,444,707","70,444,706","70,444,706","70,444,706", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,9.80,19.93,N/A,44.02,N/A,,-297.56, 
  보통주수정주가(기말)＜당기＞,"7,541","6,556","5,998","5,664","3,430","3,890", , 
  EPS＜당기＞,770,329,-407,129,-39,, , 
펼치기 PBR,3.19,2.54,4.02,3.65,2.53,,-30.60, 
  보통주수정주가(기말)＜당기＞,"7,541","6,556","5,998","5,664","3,430","3,890", , 
  BPS＜당기＞,"2,363","2,586","1,494","1,553","1,356",, , 
펼치기 PCR,50.36,2.36,4.28,3.67,2.20,,-40.01, 
  보통주수정주가(기말)＜당기＞,"7,541","6,556","5,998","5,664","3,430","3,890", , 
  CPS＜당기＞,150,"2,779","1,401","1,542","1,556",, , 
펼치기 PSR,0.78,0.64,0.58,0.51,0.31,,-40.01, 
  보통주수정주가(기말)＜당기＞,"7,541","6,556","5,998","5,664","3,430","3,890", , 
  SPS＜당기＞,"9,704","10,297","10,336","11,094","11,199",, , 
펼치기 EV/EBITDA,16.33,13.98,18.70,10.49,5.84,,-44.39, 
  EV＜당기＞,"12,043.4","9,544.1","8,900.2","8,420.4","6,251.1",, , 
  EBITDA＜당기＞,737.4,682.8,475.9,802.4,"1,071.1",, , 
펼치기 DPS,66,76,82,85,87,,3, 
  현금DPS,66,76,82,85,87,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.88,1.16,1.37,1.50,2.55,,1.05, 
  현금배당성향(%),8.59,23.16,-20.20,65.83,-216.34,,-282.18, 
