항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,106,81,84,70,129,,84, 
  당기순이익(지배)＜당기＞,78.8,60.0,62.2,52.3,95.9,, , 
  보통주수정평균발행주식수＜당기＞,"56,702,415","56,702,415","56,702,415","56,702,415","56,702,415","56,702,415", , 
  우선주수정평균발행주식수＜당기＞,"17,476,425","17,476,425","17,476,425","17,476,425","17,476,425","17,476,425", , 
펼치기 BPS,"7,387","7,320","7,469","7,778","8,013",,3, 
  자본총계(지배)＜당기＞,"4,594.1","4,560.3","4,584.6","4,716.3","4,858.4",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"46,756,005","46,736,615","46,256,005","45,756,005","45,756,005","45,756,005", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"15,437,850","15,564,970","15,127,570","14,877,570","14,877,570","14,877,570", , 
펼치기 CPS,-139,-134,120,-583,240,,141, 
  영업활동현금흐름＜당기＞,-103.1,-99.6,88.9,-432.4,177.9,, , 
  보통주수정평균발행주식수＜당기＞,"56,702,415","56,702,415","56,702,415","56,702,415","56,702,415","56,702,415", , 
  우선주수정평균발행주식수＜당기＞,"17,476,425","17,476,425","17,476,425","17,476,425","17,476,425","17,476,425", , 
펼치기 SPS,254,283,279,279,300,,7, 
  매출액＜당기＞,188.4,209.7,206.7,207.3,222.5,, , 
  보통주수정평균발행주식수＜당기＞,"56,702,415","56,702,415","56,702,415","56,702,415","56,702,415","56,702,415", , 
  우선주수정평균발행주식수＜당기＞,"17,476,425","17,476,425","17,476,425","17,476,425","17,476,425","17,476,425", , 
펼치기 PER,29.93,33.11,29.45,32.79,20.87,,-36.35, 
  보통주수정주가(기말)＜당기＞,"3,180","2,680","2,470","2,310","2,700","2,555", , 
  EPS＜당기＞,106,81,84,70,129,, , 
펼치기 PBR,0.43,0.37,0.33,0.30,0.34,,13.47, 
  보통주수정주가(기말)＜당기＞,"3,180","2,680","2,470","2,310","2,700","2,555", , 
  BPS＜당기＞,"7,387","7,320","7,469","7,778","8,013",, , 
펼치기 PCR,-22.89,-19.96,20.62,-3.96,11.26,,384.11, 
  보통주수정주가(기말)＜당기＞,"3,180","2,680","2,470","2,310","2,700","2,555", , 
  CPS＜당기＞,-139,-134,120,-583,240,, , 
펼치기 PSR,12.52,9.48,8.87,8.27,9.00,,8.90, 
  보통주수정주가(기말)＜당기＞,"3,180","2,680","2,470","2,310","2,700","2,555", , 
  SPS＜당기＞,254,283,279,279,300,, , 
펼치기 EV/EBITDA,22.75,23.79,22.54,36.79,26.06,,-29.17, 
  EV＜당기＞,"2,009.5","1,699.8","1,795.3","2,344.5","2,409.3",, , 
  EBITDA＜당기＞,88.3,71.5,79.6,63.7,92.4,, , 
펼치기 DPS,120,150,120,110,130,,18, 
  현금DPS,120,150,120,110,130,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,3.77,5.60,4.86,4.76,4.81,,0.05, 
  현금배당성향(%),96.64,158.34,120.82,130.49,83.70,,-46.79, 
