항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,719","1,954","1,907","1,639","1,764",,8, 
  당기순이익(지배)＜당기＞,278.6,316.7,309.2,266.1,286.5,, , 
  보통주수정평균발행주식수＜당기＞,"16,207,322","16,207,322","16,215,780","16,238,144","16,244,822","16,244,822", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"13,622","15,432","17,201","18,654","20,259",,9, 
  자본총계(지배)＜당기＞,"2,016.8","2,284.8","2,551.0","2,768.9","3,007.1",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,805,749","14,805,749","14,830,249","14,843,249","14,843,249","14,843,249", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,708","2,274","2,353","2,276","2,714",,19, 
  영업활동현금흐름＜당기＞,276.8,368.6,381.5,369.6,440.9,, , 
  보통주수정평균발행주식수＜당기＞,"16,207,322","16,207,322","16,215,780","16,238,144","16,244,822","16,244,822", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"12,156","13,077","13,648","13,299","13,607",,2, 
  매출액＜당기＞,"1,970.2","2,119.4","2,213.1","2,159.5","2,210.4",, , 
  보통주수정평균발행주식수＜당기＞,"16,207,322","16,207,322","16,215,780","16,238,144","16,244,822","16,244,822", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,17.71,11.74,9.62,40.51,26.85,,-33.73, 
  보통주수정주가(기말)＜당기＞,"30,450","22,950","18,350","66,400","47,350","26,750", , 
  EPS＜당기＞,"1,719","1,954","1,907","1,639","1,764",, , 
펼치기 PBR,2.24,1.49,1.07,3.56,2.34,,-34.34, 
  보통주수정주가(기말)＜당기＞,"30,450","22,950","18,350","66,400","47,350","26,750", , 
  BPS＜당기＞,"13,622","15,432","17,201","18,654","20,259",, , 
펼치기 PCR,17.83,10.09,7.80,29.17,17.45,,-40.19, 
  보통주수정주가(기말)＜당기＞,"30,450","22,950","18,350","66,400","47,350","26,750", , 
  CPS＜당기＞,"1,708","2,274","2,353","2,276","2,714",, , 
펼치기 PSR,2.50,1.76,1.34,4.99,3.48,,-30.30, 
  보통주수정주가(기말)＜당기＞,"30,450","22,950","18,350","66,400","47,350","26,750", , 
  SPS＜당기＞,"12,156","13,077","13,648","13,299","13,607",, , 
펼치기 EV/EBITDA,12.17,7.53,6.05,20.98,16.60,,-20.88, 
  EV＜당기＞,"4,766.7","3,393.3","2,527.5","10,202.8","6,789.8",, , 
  EBITDA＜당기＞,391.5,450.9,417.5,486.2,409.0,, , 
펼치기 DPS,300,330,330,350,370,,6, 
  현금DPS,300,330,330,350,370,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.99,1.44,1.80,0.53,0.78,,0.25, 
  현금배당성향(%),15.94,15.43,15.83,19.52,19.17,,-0.35, 
