항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,54,96,755,161,380,,136, 
  당기순이익(지배)＜당기＞,5.4,9.6,75.5,16.1,38.0,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,820","1,903","2,658","2,691","2,947",,10, 
  자본총계(지배)＜당기＞,182.0,190.3,265.8,269.1,294.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-18,140,340,268,506,,89, 
  영업활동현금흐름＜당기＞,-1.8,14.0,34.0,26.8,50.6,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,365","3,010","3,511","3,712","5,307",,43, 
  매출액＜당기＞,236.5,301.0,351.1,371.2,530.7,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,30.60,23.44,5.16,24.00,17.86,,-25.59, 
  보통주수정주가(기말)＜당기＞,"1,640","2,245","3,900","3,870","6,790","5,320", , 
  EPS＜당기＞,54,96,755,161,380,, , 
펼치기 PBR,0.90,1.18,1.47,1.44,2.30,,60.23, 
  보통주수정주가(기말)＜당기＞,"1,640","2,245","3,900","3,870","6,790","5,320", , 
  BPS＜당기＞,"1,820","1,903","2,658","2,691","2,947",, , 
펼치기 PCR,-89.22,15.99,11.48,14.44,13.42,,-7.07, 
  보통주수정주가(기말)＜당기＞,"1,640","2,245","3,900","3,870","6,790","5,320", , 
  CPS＜당기＞,-18,140,340,268,506,, , 
펼치기 PSR,0.69,0.75,1.11,1.04,1.28,,22.71, 
  보통주수정주가(기말)＜당기＞,"1,640","2,245","3,900","3,870","6,790","5,320", , 
  SPS＜당기＞,"2,365","3,010","3,511","3,712","5,307",, , 
펼치기 EV/EBITDA,56.82,10.91,10.13,11.50,11.13,,-3.15, 
  EV＜당기＞,199.2,248.6,467.6,467.0,748.1,, , 
  EBITDA＜당기＞,3.5,22.8,46.2,40.6,67.2,, , 
펼치기 DPS,0,0,100,125,175,,40, 
  현금DPS,0,0,100,125,175,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,2.56,3.23,2.58,,-0.65, 
  현금배당성향(%),0.00,0.00,13.24,77.52,46.03,,-31.50, 
