항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,23,-85,-231,-377,-477,,-27, 
  당기순이익(지배)＜당기＞,0.9,-3.5,-9.4,-15.4,-19.4,, , 
  보통주수정평균발행주식수＜당기＞,"4,075,920","4,075,920","4,075,920","4,075,920","4,075,920","4,258,293", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,809","5,728","5,504","5,065","4,561",,-10, 
  자본총계(지배)＜당기＞,236.8,233.5,224.4,206.5,185.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,075,920","4,075,920","4,075,920","4,075,920","4,075,920","4,276,420", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-101,-39,-131,-286,-455,,-59, 
  영업활동현금흐름＜당기＞,-4.1,-1.6,-5.3,-11.7,-18.6,, , 
  보통주수정평균발행주식수＜당기＞,"4,075,920","4,075,920","4,075,920","4,075,920","4,075,920","4,258,293", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,381","1,271","1,263",548,"4,387",,700, 
  매출액＜당기＞,56.3,51.8,51.5,22.3,178.8,, , 
  보통주수정평균발행주식수＜당기＞,"4,075,920","4,075,920","4,075,920","4,075,920","4,075,920","4,258,293", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,315.28,N/A,N/A,N/A,N/A,,-35.97, 
  보통주수정주가(기말)＜당기＞,"7,340","6,550","5,780","6,160","10,600","9,900", , 
  EPS＜당기＞,23,-85,-231,-377,-477,, , 
펼치기 PBR,1.26,1.14,1.05,1.22,2.32,,91.13, 
  보통주수정주가(기말)＜당기＞,"7,340","6,550","5,780","6,160","10,600","9,900", , 
  BPS＜당기＞,"5,809","5,728","5,504","5,065","4,561",, , 
펼치기 PCR,-72.66,-167.30,-44.19,-21.51,-23.29,,-8.27, 
  보통주수정주가(기말)＜당기＞,"7,340","6,550","5,780","6,160","10,600","9,900", , 
  CPS＜당기＞,-101,-39,-131,-286,-455,, , 
펼치기 PSR,5.31,5.15,4.58,11.24,2.42,,-78.50, 
  보통주수정주가(기말)＜당기＞,"7,340","6,550","5,780","6,160","10,600","9,900", , 
  SPS＜당기＞,"1,381","1,271","1,263",548,"4,387",, , 
펼치기 EV/EBITDA,149.91,178.25,164.33,-63.33,-74.54,,-17.71, 
  EV＜당기＞,404.3,368.3,345.7,368.8,625.0,, , 
  EBITDA＜당기＞,2.7,2.1,2.1,-5.8,-8.4,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
