항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"3,586","3,954",616,"2,667","2,399",,-10, 
  당기순이익(지배)＜당기＞,446.5,492.3,76.7,332.1,298.7,, , 
  보통주수정평균발행주식수＜당기＞,"12,450,800","12,450,800","12,450,800","12,450,800","12,450,800","12,450,800", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"28,790","30,949","30,635","32,534","34,410",,6, 
  자본총계(지배)＜당기＞,"3,486.5","3,747.9","3,710.0","3,939.9","4,167.1",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,110,162","12,110,162","12,110,162","12,110,162","12,110,162","10,703,029", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"-5,423","10,169","3,641","8,072","-1,165",,-114, 
  영업활동현금흐름＜당기＞,-675.2,"1,266.1",453.4,"1,005.0",-145.1,, , 
  보통주수정평균발행주식수＜당기＞,"12,450,800","12,450,800","12,450,800","12,450,800","12,450,800","12,450,800", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"45,618","38,165","36,254","33,673","33,912",,1, 
  매출액＜당기＞,"5,679.8","4,751.9","4,513.9","4,192.6","4,222.3",, , 
  보통주수정평균발행주식수＜당기＞,"12,450,800","12,450,800","12,450,800","12,450,800","12,450,800","12,450,800", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,4.22,3.67,18.90,4.67,5.25,,12.50, 
  보통주수정주가(기말)＜당기＞,"15,150","14,500","11,650","12,450","12,600","22,800", , 
  EPS＜당기＞,"3,586","3,954",616,"2,667","2,399",, , 
펼치기 PBR,0.53,0.47,0.38,0.38,0.37,,-4.31, 
  보통주수정주가(기말)＜당기＞,"15,150","14,500","11,650","12,450","12,600","22,800", , 
  BPS＜당기＞,"28,790","30,949","30,635","32,534","34,410",, , 
펼치기 PCR,-2.79,1.43,3.20,1.54,-10.81,,-801.10, 
  보통주수정주가(기말)＜당기＞,"15,150","14,500","11,650","12,450","12,600","22,800", , 
  CPS＜당기＞,"-5,423","10,169","3,641","8,072","-1,165",, , 
펼치기 PSR,0.33,0.38,0.32,0.37,0.37,,0.49, 
  보통주수정주가(기말)＜당기＞,"15,150","14,500","11,650","12,450","12,600","22,800", , 
  SPS＜당기＞,"45,618","38,165","36,254","33,673","33,912",, , 
펼치기 EV/EBITDA,2.59,0.70,-0.04,-0.73,-0.86,,-17.59, 
  EV＜당기＞,"1,612.1",490.3,-13.9,-315.6,-287.0,, , 
  EBITDA＜당기＞,623.3,700.6,324.7,430.1,332.6,, , 
펼치기 DPS,890,930,500,650,"1,000",,54, 
  현금DPS,890,930,500,650,"1,000",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,5.87,6.41,4.29,5.22,7.94,,2.72, 
  현금배당성향(%),24.14,22.88,78.92,23.70,40.54,,16.83, 
