항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,10,-33,28,-1,-63,,"-8,601", 
  당기순이익(지배)＜당기＞,18.7,-61.0,50.3,-1.3,-115.8,, , 
  보통주수정평균발행주식수＜당기＞,"182,676,043","182,892,731","182,892,731","182,892,731","182,892,731","182,892,731", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,654,610,633,626,573,,-8, 
  자본총계(지배)＜당기＞,"1,196.5","1,116.1","1,157.5","1,144.3","1,048.9",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"182,892,455","182,892,455","182,892,454","182,892,454","182,892,454","182,892,454", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,17,7,51,79,46,,-42, 
  영업활동현금흐름＜당기＞,31.5,12.7,92.8,145.0,83.7,, , 
  보통주수정평균발행주식수＜당기＞,"182,676,043","182,892,731","182,892,731","182,892,731","182,892,731","182,892,731", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,068","1,019","1,206","1,140","1,072",,-6, 
  매출액＜당기＞,"1,950.1","1,864.1","2,205.2","2,084.6","1,960.7",, , 
  보통주수정평균발행주식수＜당기＞,"182,676,043","182,892,731","182,892,731","182,892,731","182,892,731","182,892,731", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,858.75,N/A,241.07,N/A,N/A,,99.24, 
  보통주수정주가(기말)＜당기＞,"8,780","5,940","6,630","8,040","5,290","4,605", , 
  EPS＜당기＞,10,-33,28,-1,-63,, , 
펼치기 PBR,13.42,9.73,10.48,12.85,9.22,,-28.22, 
  보통주수정주가(기말)＜당기＞,"8,780","5,940","6,630","8,040","5,290","4,605", , 
  BPS＜당기＞,654,610,633,626,573,, , 
펼치기 PCR,508.89,852.61,130.63,101.43,115.62,,14.00, 
  보통주수정주가(기말)＜당기＞,"8,780","5,940","6,630","8,040","5,290","4,605", , 
  CPS＜당기＞,17,7,51,79,46,, , 
펼치기 PSR,8.22,5.83,5.50,7.05,4.93,,-30.04, 
  보통주수정주가(기말)＜당기＞,"8,780","5,940","6,630","8,040","5,290","4,605", , 
  SPS＜당기＞,"1,068","1,019","1,206","1,140","1,072",, , 
펼치기 EV/EBITDA,168.19,246.22,69.58,181.01,-150.79,,-183.31, 
  EV＜당기＞,"16,197.7","10,968.4","12,265.6","14,773.1","9,801.0",, , 
  EBITDA＜당기＞,96.3,44.5,176.3,81.6,-65.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
