항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,124,128,-696,470,-848,,-280, 
  당기순이익(지배)＜당기＞,10.7,18.9,-102.4,69.2,-124.7,, , 
  보통주수정평균발행주식수＜당기＞,"8,621,487","14,704,872","14,704,872","14,704,872","14,704,872",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"12,107","12,581","11,554","11,800","11,534",,-2, 
  자본총계(지배)＜당기＞,"1,779.9","1,849.3","1,688.6","1,723.9","1,682.1",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,701,327","14,699,378","14,614,458","14,609,436","14,584,738","14,571,517", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-488,"1,459","1,969","-1,295","1,299",,200, 
  영업활동현금흐름＜당기＞,-42.1,214.5,289.6,-190.5,191.0,, , 
  보통주수정평균발행주식수＜당기＞,"8,621,487","14,704,872","14,704,872","14,704,872","14,704,872",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"43,101","42,644","45,659","47,013","47,650",,1, 
  매출액＜당기＞,"3,715.9","6,270.7","6,714.1","6,913.2","7,006.9",, , 
  보통주수정평균발행주식수＜당기＞,"8,621,487","14,704,872","14,704,872","14,704,872","14,704,872",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,358.38,362.75,N/A,133.10,N/A,,-129.98, 
  보통주수정주가(기말)＜당기＞,"44,378","46,600","36,200","62,600","33,850","24,450", , 
  EPS＜당기＞,124,128,-696,470,-848,, , 
펼치기 PBR,3.67,3.70,3.13,5.30,2.93,,-44.68, 
  보통주수정주가(기말)＜당기＞,"44,378","46,600","36,200","62,600","33,850","24,450", , 
  BPS＜당기＞,"12,107","12,581","11,554","11,800","11,534",, , 
펼치기 PCR,-90.88,31.94,18.38,-48.33,26.06,,153.92, 
  보통주수정주가(기말)＜당기＞,"44,378","46,600","36,200","62,600","33,850","24,450", , 
  CPS＜당기＞,-488,"1,459","1,969","-1,295","1,299",, , 
펼치기 PSR,1.03,1.09,0.79,1.33,0.71,,-46.65, 
  보통주수정주가(기말)＜당기＞,"44,378","46,600","36,200","62,600","33,850","24,450", , 
  SPS＜당기＞,"43,101","42,644","45,659","47,013","47,650",, , 
펼치기 EV/EBITDA,79.05,51.42,69.07,43.99,-370.33,,-941.87, 
  EV＜당기＞,"6,979.4","7,206.3","5,512.2","9,632.4","5,175.6",, , 
  EBITDA＜당기＞,88.3,140.2,79.8,219.0,-14.0,, , 
펼치기 DPS,50,60,70,70,65,,-7, 
  현금DPS,50,60,70,70,65,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.11,0.13,0.19,0.11,0.19,,0.08, 
  현금배당성향(%),68.37,46.36,-9.99,14.79,-7.60,,-22.39, 
