항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,164,41,139,139,364,,162, 
  당기순이익(지배)＜당기＞,218.3,60.5,203.4,204.0,534.1,, , 
  보통주수정평균발행주식수＜당기＞,"132,028,983","145,368,362","145,471,745","145,471,745","145,471,745",, , 
  우선주수정평균발행주식수＜당기＞,"1,152,026","1,152,026","1,152,026","1,152,026","1,152,026",, , 
펼치기 BPS,518,538,665,811,"1,166",,44, 
  자본총계(지배)＜당기＞,758.7,788.0,974.1,"1,188.5","1,709.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"145,294,951","145,413,614","145,413,614","145,413,614","145,413,614",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"1,151,953","1,151,953","1,151,953","1,151,953","1,151,953",, , 
펼치기 CPS,-86,166,-300,281,350,,25, 
  영업활동현금흐름＜당기＞,-114.2,242.7,-439.2,412.2,513.8,, , 
  보통주수정평균발행주식수＜당기＞,"132,028,983","145,368,362","145,471,745","145,471,745","145,471,745",, , 
  우선주수정평균발행주식수＜당기＞,"1,152,026","1,152,026","1,152,026","1,152,026","1,152,026",, , 
펼치기 SPS,"4,305","4,581","3,727","2,573","3,030",,18, 
  매출액＜당기＞,"5,733.1","6,711.6","5,465.3","3,772.5","4,442.4",, , 
  보통주수정평균발행주식수＜당기＞,"132,028,983","145,368,362","145,471,745","145,471,745","145,471,745",, , 
  우선주수정평균발행주식수＜당기＞,"1,152,026","1,152,026","1,152,026","1,152,026","1,152,026",, , 
펼치기 PER,11.68,49.98,16.65,18.65,5.98,,-67.92, 
  보통주수정주가(기말)＜당기＞,"1,915","2,065","2,310","2,595","2,180","2,150", , 
  EPS＜당기＞,164,41,139,139,364,, , 
펼치기 PBR,3.70,3.84,3.48,3.20,1.87,,-41.60, 
  보통주수정주가(기말)＜당기＞,"1,915","2,065","2,310","2,595","2,180","2,150", , 
  BPS＜당기＞,518,538,665,811,"1,166",, , 
펼치기 PCR,-22.32,12.47,-7.71,9.23,6.22,,-32.60, 
  보통주수정주가(기말)＜당기＞,"1,915","2,065","2,310","2,595","2,180","2,150", , 
  CPS＜당기＞,-86,166,-300,281,350,, , 
펼치기 PSR,0.44,0.45,0.62,1.01,0.72,,-28.66, 
  보통주수정주가(기말)＜당기＞,"1,915","2,065","2,310","2,595","2,180","2,150", , 
  SPS＜당기＞,"4,305","4,581","3,727","2,573","3,030",, , 
펼치기 EV/EBITDA,6.13,7.57,12.41,22.66,6.38,,-71.83, 
  EV＜당기＞,"2,575.7","2,685.1","3,669.9","3,854.8","2,840.6",, , 
  EBITDA＜당기＞,420.2,354.5,295.8,170.1,445.0,, , 
펼치기 DPS,0,,,,,, , 
  현금DPS,0,,,,,, , 
  주식DPS,0,,,,,, , 
  현금배당수익률,0.00,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
