항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,248","1,876",564,449,922,,106, 
  당기순이익(지배)＜당기＞,175.8,264.8,79.6,63.3,130.2,, , 
  보통주수정평균발행주식수＜당기＞,"14,079,851","14,116,015","14,116,015","14,116,015","14,116,015","14,116,015", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"7,953","8,025","8,562","9,161","10,174",,11, 
  자본총계(지배)＜당기＞,"1,095.9","1,085.8","1,158.5","1,199.3","1,331.8",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,779,671","13,530,270","13,530,270","13,090,490","13,090,490","13,090,490", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-677,"3,625",-886,"2,506","-1,294",,-152, 
  영업활동현금흐름＜당기＞,-95.3,511.7,-125.1,353.8,-182.7,, , 
  보통주수정평균발행주식수＜당기＞,"14,079,851","14,116,015","14,116,015","14,116,015","14,116,015","14,116,015", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"12,845","18,511","13,791","14,258","16,131",,13, 
  매출액＜당기＞,"1,808.5","2,613.0","1,946.7","2,012.7","2,277.0",, , 
  보통주수정평균발행주식수＜당기＞,"14,079,851","14,116,015","14,116,015","14,116,015","14,116,015","14,116,015", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,9.13,4.26,12.89,12.70,9.32,,-26.67, 
  보통주수정주가(기말)＜당기＞,"11,400","8,000","7,270","5,700","8,590","9,880", , 
  EPS＜당기＞,"1,248","1,876",564,449,922,, , 
펼치기 PBR,1.43,1.00,0.85,0.62,0.84,,35.70, 
  보통주수정주가(기말)＜당기＞,"11,400","8,000","7,270","5,700","8,590","9,880", , 
  BPS＜당기＞,"7,953","8,025","8,562","9,161","10,174",, , 
펼치기 PCR,-16.84,2.21,-8.20,2.27,-6.64,,-391.80, 
  보통주수정주가(기말)＜당기＞,"11,400","8,000","7,270","5,700","8,590","9,880", , 
  CPS＜당기＞,-677,"3,625",-886,"2,506","-1,294",, , 
펼치기 PSR,0.89,0.43,0.53,0.40,0.53,,33.21, 
  보통주수정주가(기말)＜당기＞,"11,400","8,000","7,270","5,700","8,590","9,880", , 
  SPS＜당기＞,"12,845","18,511","13,791","14,258","16,131",, , 
펼치기 EV/EBITDA,8.24,2.20,6.64,1.92,5.13,,167.39, 
  EV＜당기＞,"1,675.5",739.0,872.0,291.4,896.8,, , 
  EBITDA＜당기＞,203.4,335.2,131.3,151.8,174.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
