항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"6,035","-19,564","-2,209","2,413","1,853","-18,763",-23,"-1,112"
  당기순이익(지배)＜당기＞,698.8,"-2,265.2",-255.8,279.4,214.6,"-2,172.5", , 
  보통주수정평균발행주식수＜당기＞,"11,578,744","11,578,744","11,578,744","11,578,744","11,578,744","11,578,744", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"158,025","134,743","132,086","155,780","157,459","138,517",1,-12
  자본총계(지배)＜당기＞,"18,297.3","15,601.5","15,293.9","18,037.3","18,231.8","16,038.5", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"11,578,744","11,578,744","11,578,744","11,578,744","11,578,744",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"38,468","33,027","16,304","32,983","36,069","4,707",9,-87
  영업활동현금흐름＜당기＞,"4,454.1","3,824.1","1,887.8","3,819.0","4,176.3",93.0, , 
  보통주수정평균발행주식수＜당기＞,"11,578,744","11,578,744","11,578,744","11,578,744","11,578,744","11,578,744", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"158,430","214,819","204,505","181,272","219,091","286,801",21,31
  매출액＜당기＞,"18,344.2","24,873.3","23,679.1","20,989.1","25,368.0","33,208.0", , 
  보통주수정평균발행주식수＜당기＞,"11,578,744","11,578,744","11,578,744","11,578,744","11,578,744","11,578,744", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,12.10,N/A,N/A,16.72,20.91,N/A,25.02,-108.97
  보통주수정주가(기말)＜당기＞,"73,000","57,000","47,300","40,350","38,750","35,200", , 
  EPS＜당기＞,"6,035","-19,564","-2,209","2,413","1,853","-18,763", , 
펼치기 PBR,0.46,0.42,0.36,0.26,0.25,0.25,-4.99,3.26
  보통주수정주가(기말)＜당기＞,"73,000","57,000","47,300","40,350","38,750","35,200", , 
  BPS＜당기＞,"158,025","134,743","132,086","155,780","157,459","138,517", , 
펼치기 PCR,1.90,1.73,2.90,1.22,1.07,7.48,-12.18,596.10
  보통주수정주가(기말)＜당기＞,"73,000","57,000","47,300","40,350","38,750","35,200", , 
  CPS＜당기＞,"38,468","33,027","16,304","32,983","36,069","4,707", , 
펼치기 PSR,0.46,0.27,0.23,0.22,0.18,0.12,-20.54,-30.61
  보통주수정주가(기말)＜당기＞,"73,000","57,000","47,300","40,350","38,750","35,200", , 
  SPS＜당기＞,"158,430","214,819","204,505","181,272","219,091","286,801", , 
펼치기 EV/EBITDA,10.83,13.80,12.72,8.57,11.26,80.61,31.41,616.04
  EV＜당기＞,"34,745.5","33,466.3","35,525.3","32,947.6","34,346.7","36,153.7", , 
  EBITDA＜당기＞,"3,206.8","2,425.9","2,793.7","3,846.0","3,050.9",448.5, , 
펼치기 DPS,"2,820",0,0,965,797,,-17, 
  현금DPS,"2,820",0,0,965,797,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,3.86,0.00,0.00,2.39,2.06,3.82,-0.33,1.76
  현금배당성향(%),46.73,0.00,0.00,40.00,43.00,-7.16,3.01,-50.16
