항목,,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,"-2,164","-6,096","-10,665","-1,042",-75,90
  당기순이익(지배)＜당기＞,,,-889.5,"-4,314.5","-8,142.3",-924.7, , 
  보통주수정평균발행주식수＜당기＞,,,"41,106,577","70,773,116","76,345,719","88,773,116", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 BPS,,,"79,450","75,746","63,015","62,964",-17,-0
  자본총계(지배)＜당기＞,,,"56,229.1","53,607.8","55,940.2","55,895.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"70,773,116","70,773,116","88,773,116","88,773,116", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,"-14,235","-2,826","9,982",870,453,-91
  영업활동현금흐름＜당기＞,,,"-5,851.6","-2,000.0","7,620.6","-2,422.0", , 
  보통주수정평균발행주식수＜당기＞,,,"41,106,577","70,773,116","76,345,719","88,773,116", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 SPS,,,"132,744","117,446","108,864","111,811",-7,3
  매출액＜당기＞,,,"54,566.7","83,120.1","83,112.8","99,258.0", , 
  보통주수정평균발행주식수＜당기＞,,,"41,106,577","70,773,116","76,345,719","88,773,116", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 PER,,,,,N/A,N/A, ,"-1,249.78"
  보통주수정주가(기말)＜당기＞,,,,,"95,200","125,500", , 
  EPS＜당기＞,,,"-2,164","-6,096","-10,665","-1,042", , 
펼치기 PBR,,,0.00,0.00,1.51,1.99, ,31.94
  보통주수정주가(기말)＜당기＞,,,,,"95,200","125,500", , 
  BPS＜당기＞,,,"79,450","75,746","63,015","62,964", , 
펼치기 PCR,,,,,9.54,144.25, ,"1,412.48"
  보통주수정주가(기말)＜당기＞,,,,,"95,200","125,500", , 
  CPS＜당기＞,,,"-14,235","-2,826","9,982",870, , 
펼치기 PSR,,,,,0.87,1.12, ,28.35
  보통주수정주가(기말)＜당기＞,,,,,"95,200","125,500", , 
  SPS＜당기＞,,,"132,744","117,446","108,864","111,811", , 
펼치기 EV/EBITDA,,,,,-17.20,89.46, ,620.11
  EV＜당기＞,,,,,"96,473.7","122,407.8", , 
  EBITDA＜당기＞,,,"2,796.5","2,848.2","-5,609.0","1,368.3", , 
펼치기 DPS,,,0,0,,, , 
  현금DPS,,,0,0,,, , 
  주식DPS,,,0,0,,, , 
  현금배당수익률,,,,,,0.00, , 
  현금배당성향(%),,,0.00,0.00,,, , 
