항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"12,306","11,384","-6,293","8,788","19,207",,119, 
  당기순이익(지배)＜당기＞,844.2,780.9,-431.7,602.9,"1,317.6",, , 
  보통주수정평균발행주식수＜당기＞,"6,860,000","6,860,000","6,860,000","6,860,000","6,860,000","6,860,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"203,112","214,142","197,299","204,909","226,210",,10, 
  자본총계(지배)＜당기＞,"11,743.4","12,381.1","11,407.4","11,847.3","13,078.9",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,781,751","5,781,751","5,781,751","5,781,751","5,781,751","5,781,751", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"-18,801","26,930","7,973","25,523","7,478",,-71, 
  영업활동현금흐름＜당기＞,"-1,289.7","1,847.4",546.9,"1,750.9",513.0,, , 
  보통주수정평균발행주식수＜당기＞,"6,860,000","6,860,000","6,860,000","6,860,000","6,860,000","6,860,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"642,597","674,956","671,759","572,530","751,064",,31, 
  매출액＜당기＞,"44,082.2","46,302.0","46,082.7","39,275.5","51,523.0",, , 
  보통주수정평균발행주식수＜당기＞,"6,860,000","6,860,000","6,860,000","6,860,000","6,860,000","6,860,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,4.62,4.90,N/A,5.08,2.51,,-50.61, 
  보통주수정주가(기말)＜당기＞,"56,900","55,800","48,300","44,650","48,200","49,450", , 
  EPS＜당기＞,"12,306","11,384","-6,293","8,788","19,207",, , 
펼치기 PBR,0.28,0.26,0.24,0.22,0.21,,-2.21, 
  보통주수정주가(기말)＜당기＞,"56,900","55,800","48,300","44,650","48,200","49,450", , 
  BPS＜당기＞,"203,112","214,142","197,299","204,909","226,210",, , 
펼치기 PCR,-3.03,2.07,6.06,1.75,6.45,,268.44, 
  보통주수정주가(기말)＜당기＞,"56,900","55,800","48,300","44,650","48,200","49,450", , 
  CPS＜당기＞,"-18,801","26,930","7,973","25,523","7,478",, , 
펼치기 PSR,0.09,0.08,0.07,0.08,0.06,,-17.71, 
  보통주수정주가(기말)＜당기＞,"56,900","55,800","48,300","44,650","48,200","49,450", , 
  SPS＜당기＞,"642,597","674,956","671,759","572,530","751,064",, , 
펼치기 EV/EBITDA,13.26,28.22,8.23,11.53,16.03,,38.99, 
  EV＜당기＞,"18,093.6","16,366.2","18,132.8","18,531.5","18,937.0",, , 
  EBITDA＜당기＞,"1,364.3",580.0,"2,202.0","1,606.9","1,181.4",, , 
펼치기 DPS,"2,000","2,000","2,200","2,200","2,200",,0, 
  현금DPS,"2,000","2,000","2,200","2,200","2,200",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,3.51,3.58,4.55,4.93,4.56,,-0.36, 
  현금배당성향(%),13.70,14.81,-29.47,21.10,9.65,,-11.44, 
