항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,703,619,542,241,181,,-25, 
  당기순이익(지배)＜당기＞,288.5,254.2,222.6,99.1,74.1,, , 
  보통주수정평균발행주식수＜당기＞,"41,040,895","41,040,895","41,040,895","41,040,895","41,040,895","41,040,895", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"10,322","11,509","11,861","11,971","12,126",,1, 
  자본총계(지배)＜당기＞,"3,898.0","4,346.3","4,479.3","4,520.8","4,579.4",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"37,764,632","37,764,632","37,764,632","37,764,632","37,764,632",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,766,226,639,146,342,,135, 
  영업활동현금흐름＜당기＞,314.2,92.9,262.3,59.8,140.3,, , 
  보통주수정평균발행주식수＜당기＞,"41,040,895","41,040,895","41,040,895","41,040,895","41,040,895","41,040,895", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,347","4,238","3,880","3,283","2,977",,-9, 
  매출액＜당기＞,"1,784.2","1,739.5","1,592.3","1,347.2","1,221.7",, , 
  보통주수정평균발행주식수＜당기＞,"41,040,895","41,040,895","41,040,895","41,040,895","41,040,895","41,040,895", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,7.00,5.55,6.01,12.20,16.53,,35.53, 
  보통주수정주가(기말)＜당기＞,"4,920","3,435","3,260","2,945","2,985","3,420", , 
  EPS＜당기＞,703,619,542,241,181,, , 
펼치기 PBR,0.48,0.30,0.27,0.25,0.25,,0.06, 
  보통주수정주가(기말)＜당기＞,"4,920","3,435","3,260","2,945","2,985","3,420", , 
  BPS＜당기＞,"10,322","11,509","11,861","11,971","12,126",, , 
펼치기 PCR,6.43,15.18,5.10,20.23,8.73,,-56.83, 
  보통주수정주가(기말)＜당기＞,"4,920","3,435","3,260","2,945","2,985","3,420", , 
  CPS＜당기＞,766,226,639,146,342,, , 
펼치기 PSR,1.13,0.81,0.84,0.90,1.00,,11.77, 
  보통주수정주가(기말)＜당기＞,"4,920","3,435","3,260","2,945","2,985","3,420", , 
  SPS＜당기＞,"4,347","4,238","3,880","3,283","2,977",, , 
펼치기 EV/EBITDA,3.67,2.67,2.53,4.39,4.08,,-7.08, 
  EV＜당기＞,"1,536.4","1,047.6",880.6,867.7,655.8,, , 
  EBITDA＜당기＞,418.4,392.2,347.9,197.5,160.6,, , 
펼치기 DPS,50,50,30,30,30,,0, 
  현금DPS,50,50,30,30,30,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.02,1.46,0.92,1.02,1.01,,-0.01, 
  현금배당성향(%),6.54,7.43,5.09,11.43,15.29,,3.85, 
