항목,,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,"2,818","1,521","1,393","1,161",-8,-17
  당기순이익(지배)＜당기＞,,,636.8,881.6,953.5,827.7, , 
  보통주수정평균발행주식수＜당기＞,,,"22,602,740","57,958,831","68,437,778","71,297,592", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 BPS,,,"13,139","19,258","31,084","32,283",61,4
  자본총계(지배)＜당기＞,,,"3,941.7","12,082.5","22,162.0","23,016.7", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"30,000,000","62,741,592","71,297,592","71,296,372", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,"3,910","2,003","1,599","3,472",-20,117
  영업활동현금흐름＜당기＞,,,883.8,"1,161.2","1,094.0","2,170.0", , 
  보통주수정평균발행주식수＜당기＞,,,"22,602,740","57,958,831","68,437,778","71,297,592", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 SPS,,,"11,637","8,097","8,822","11,453",9,30
  매출액＜당기＞,,,"2,630.4","4,693.1","6,037.7","8,165.6", , 
  보통주수정평균발행주식수＜당기＞,,,"22,602,740","57,958,831","68,437,778","71,297,592", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 PER,,,,,120.58,100.78, ,-16.42
  보통주수정주가(기말)＜당기＞,,,,,"168,000","117,000", , 
  EPS＜당기＞,,,"2,818","1,521","1,393","1,161", , 
펼치기 PBR,,,0.00,0.00,5.40,3.62, ,-32.94
  보통주수정주가(기말)＜당기＞,,,,,"168,000","117,000", , 
  BPS＜당기＞,,,"13,139","19,258","31,084","32,283", , 
펼치기 PCR,,,,,105.10,33.70, ,-67.94
  보통주수정주가(기말)＜당기＞,,,,,"168,000","117,000", , 
  CPS＜당기＞,,,"3,910","2,003","1,599","3,472", , 
펼치기 PSR,,,,,19.04,10.22, ,-46.35
  보통주수정주가(기말)＜당기＞,,,,,"168,000","117,000", , 
  SPS＜당기＞,,,"11,637","8,097","8,822","11,453", , 
펼치기 EV/EBITDA,,,,,56.91,35.18, ,-38.19
  EV＜당기＞,,,,,"117,730.3","87,758.2", , 
  EBITDA＜당기＞,,,"1,253.3","1,965.7","2,068.6","2,494.6", , 
펼치기 DPS,,,0,0,,, , 
  현금DPS,,,0,0,,, , 
  주식DPS,,,0,0,,, , 
  현금배당수익률,,,,,,0.00, , 
  현금배당성향(%),,,0.00,0.00,,, , 
