항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"72,204","37,584","33,238","62,047",-894,"32,555",-101,"3,741"
  당기순이익(지배)＜당기＞,950.7,425.4,376.2,702.3,-10.5,371.5, , 
  보통주수정평균발행주식수＜당기＞,"1,316,716","1,131,870","1,131,870","1,131,870","1,170,780","1,141,159", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"731,399","750,128","778,196","836,655","796,390","933,462",-5,17
  자본총계(지배)＜당기＞,"6,654.3","6,824.7","7,080.1","7,612.0","7,860.3","7,969.5", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"909,810","909,810","909,810","909,809","986,994","853,757", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"68,977","85,533","42,097","115,003","40,716","76,852",-65,89
  영업활동현금흐름＜당기＞,908.2,968.1,476.5,"1,301.7",476.7,910.5, , 
  보통주수정평균발행주식수＜당기＞,"1,316,716","1,131,870","1,131,870","1,131,870","1,170,780","1,141,159", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,381,135","1,599,839","1,579,714","1,344,961","1,373,277","1,473,896",2,7
  매출액＜당기＞,"18,185.6","18,108.1","17,880.3","15,223.2","16,078.1","16,819.5", , 
  보통주수정평균발행주식수＜당기＞,"1,316,716","1,131,870","1,131,870","1,131,870","1,170,780","1,141,159", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,7.66,18.86,12.43,5.34,N/A,10.06,"-7,311.37",102.61
  보통주수정주가(기말)＜당기＞,"553,000","709,000","413,000","331,500","344,500","327,500", , 
  EPS＜당기＞,"72,204","37,584","33,238","62,047",-894,"32,555", , 
펼치기 PBR,0.76,0.95,0.53,0.40,0.43,0.35,9.18,-18.90
  보통주수정주가(기말)＜당기＞,"553,000","709,000","413,000","331,500","344,500","327,500", , 
  BPS＜당기＞,"731,399","750,128","778,196","836,655","796,390","933,462", , 
펼치기 PCR,8.02,8.29,9.81,2.88,8.46,4.26,193.53,-49.63
  보통주수정주가(기말)＜당기＞,"553,000","709,000","413,000","331,500","344,500","327,500", , 
  CPS＜당기＞,"68,977","85,533","42,097","115,003","40,716","76,852", , 
펼치기 PSR,0.40,0.44,0.26,0.25,0.25,0.22,1.78,-11.42
  보통주수정주가(기말)＜당기＞,"553,000","709,000","413,000","331,500","344,500","327,500", , 
  SPS＜당기＞,"1,381,135","1,599,839","1,579,714","1,344,961","1,373,277","1,473,896", , 
펼치기 EV/EBITDA,7.14,8.39,6.53,5.12,6.20,4.57,21.20,-26.28
  EV＜당기＞,"8,128.2","9,518.5","6,582.1","4,978.0","5,839.4","4,769.7", , 
  EBITDA＜당기＞,"1,139.0","1,135.1","1,008.2",973.1,941.8,"1,043.5", , 
펼치기 DPS,"22,000","15,000","12,000","12,000","10,000",,-17, 
  현금DPS,"22,000","15,000","12,000","12,000","10,000",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,3.98,2.12,2.91,3.62,2.90,3.21,-0.72,0.30
  현금배당성향(%),21.05,32.08,29.02,15.55,-942.82,34.17,-958.37,976.99
