항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"3,892","4,567","3,876",694,660,,-5, 
  당기순이익(지배)＜당기＞,83.8,98.4,83.5,15.0,14.2,, , 
  보통주수정평균발행주식수＜당기＞,"2,154,379","2,154,379","2,154,379","2,154,379","2,154,379","2,154,379", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"72,659","75,369","79,015","79,063","78,782",,-0, 
  자본총계(지배)＜당기＞,"1,342.2","1,389.1","1,451.0","1,441.6","1,436.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"1,847,331","1,843,083","1,836,316","1,823,317","1,823,317","1,823,317", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"3,915","6,905","7,595","6,695","6,359",,-5, 
  영업활동현금흐름＜당기＞,84.3,148.8,163.6,144.2,137.0,, , 
  보통주수정평균발행주식수＜당기＞,"2,154,379","2,154,379","2,154,379","2,154,379","2,154,379","2,154,379", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"48,685","50,153","53,835","65,109","69,600",,7, 
  매출액＜당기＞,"1,048.9","1,080.5","1,159.8","1,402.7","1,499.5",, , 
  보통주수정평균발행주식수＜당기＞,"2,154,379","2,154,379","2,154,379","2,154,379","2,154,379","2,154,379", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,13.31,10.26,11.75,56.76,65.89,,16.08, 
  보통주수정주가(기말)＜당기＞,"51,800","46,850","45,550","39,400","43,500","44,550", , 
  EPS＜당기＞,"3,892","4,567","3,876",694,660,, , 
펼치기 PBR,0.71,0.62,0.58,0.50,0.55,,10.80, 
  보통주수정주가(기말)＜당기＞,"51,800","46,850","45,550","39,400","43,500","44,550", , 
  BPS＜당기＞,"72,659","75,369","79,015","79,063","78,782",, , 
펼치기 PCR,13.23,6.78,6.00,5.89,6.84,,16.24, 
  보통주수정주가(기말)＜당기＞,"51,800","46,850","45,550","39,400","43,500","44,550", , 
  CPS＜당기＞,"3,915","6,905","7,595","6,695","6,359",, , 
펼치기 PSR,1.06,0.93,0.85,0.61,0.63,,3.28, 
  보통주수정주가(기말)＜당기＞,"51,800","46,850","45,550","39,400","43,500","44,550", , 
  SPS＜당기＞,"48,685","50,153","53,835","65,109","69,600",, , 
펼치기 EV/EBITDA,5.81,5.04,9.24,7.45,8.47,,13.68, 
  EV＜당기＞,914.7,801.0,"1,404.2","1,367.1","1,498.1",, , 
  EBITDA＜당기＞,157.5,159.0,152.0,183.4,176.8,, , 
펼치기 DPS,"1,400","1,350","1,350","1,250","1,250",,0, 
  현금DPS,"1,400","1,350","1,350","1,250","1,250",, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,2.70,2.88,2.96,3.17,2.87,,-0.30, 
  현금배당성향(%),30.93,25.31,29.69,152.42,160.25,,7.84, 
