항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,585,"1,119",162,-139,298,545,315,83
  당기순이익(지배)＜당기＞,364.9,697.8,101.0,-86.4,185.9,340.0, , 
  보통주수정평균발행주식수＜당기＞,"62,368,324","62,368,324","62,368,324","62,368,324","62,368,324","62,368,324", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"9,029","9,890","9,842","9,521","9,788","10,102",3,3
  자본총계(지배)＜당기＞,"5,631.0","6,167.7","6,138.1","5,937.8","6,104.0","6,300.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"62,363,778","62,363,778","62,363,778","62,363,778","62,363,778",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,686","1,639",837,514,-246,"1,411",-148,674
  영업활동현금흐름＜당기＞,"1,051.3","1,022.0",522.3,320.8,-153.3,660.0, , 
  보통주수정평균발행주식수＜당기＞,"62,368,324","62,368,324","62,368,324","62,368,324","62,368,324","62,368,324", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"9,747","10,441","10,121","8,464","9,840","11,673",16,19
  매출액＜당기＞,"6,079.2","6,511.8","6,312.6","5,279.1","6,137.0","7,280.0", , 
  보통주수정평균발행주식수＜당기＞,"62,368,324","62,368,324","62,368,324","62,368,324","62,368,324","62,368,324", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,7.75,5.42,26.08,N/A,14.54,8.63,155.66,-40.66
  보통주수정주가(기말)＜당기＞,"4,535","6,060","4,225","3,620","4,335","4,705", , 
  EPS＜당기＞,585,"1,119",162,-139,298,545, , 
펼치기 PBR,0.50,0.61,0.43,0.38,0.44,0.47,16.49,5.16
  보통주수정주가(기말)＜당기＞,"4,535","6,060","4,225","3,620","4,335","4,705", , 
  BPS＜당기＞,"9,029","9,890","9,842","9,521","9,788","10,102", , 
펼치기 PCR,2.69,3.70,5.05,7.04,-17.64,3.33,-350.65,118.91
  보통주수정주가(기말)＜당기＞,"4,535","6,060","4,225","3,620","4,335","4,705", , 
  CPS＜당기＞,"1,686","1,639",837,514,-246,"1,411", , 
펼치기 PSR,0.47,0.58,0.42,0.43,0.44,0.40,3.01,-8.51
  보통주수정주가(기말)＜당기＞,"4,535","6,060","4,225","3,620","4,335","4,705", , 
  SPS＜당기＞,"9,747","10,441","10,121","8,464","9,840","11,673", , 
펼치기 EV/EBITDA,6.23,4.65,7.06,12.86,10.17,,-20.94, 
  EV＜당기＞,"5,849.7","7,062.7","7,066.1","6,834.8","8,182.3",, , 
  EBITDA＜당기＞,938.6,"1,518.2","1,000.9",531.4,804.7,"1,020.0", , 
펼치기 DPS,150,250,175,125,125,,0, 
  현금DPS,150,250,175,125,125,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,3.31,4.13,4.14,3.45,2.88,2.66,-0.57,-0.23
  현금배당성향(%),25.64,22.34,108.01,-90.22,41.93,22.93,132.16,-19.00
